# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240100
# River:                 KABUL RIVER
# Station:               DAKAH
# Country:               AF
# Latitude (DD):       34.233333
# Longitude (DD):      71.033333
# Catchment area (km²):      67370.0
# Altitude (m ASL):        420.0
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968-02 - 1980-07
# No. of years:          13
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4536
# DATA
YYYY-MM-DD;hh:mm; Value
1968-02-21;--:--;    206.000
1968-02-22;--:--;    217.000
1968-02-23;--:--;    227.000
1968-02-24;--:--;    232.000
1968-02-25;--:--;    221.000
1968-02-26;--:--;    207.000
1968-02-27;--:--;    195.000
1968-02-28;--:--;    209.000
1968-02-29;--:--;    197.000
1968-03-01;--:--;    184.000
1968-03-02;--:--;    192.000
1968-03-03;--:--;    198.000
1968-03-04;--:--;    196.000
1968-03-05;--:--;    191.000
1968-03-06;--:--;    197.000
1968-03-07;--:--;    194.000
1968-03-08;--:--;    214.000
1968-03-09;--:--;    205.000
1968-03-10;--:--;    293.000
1968-03-11;--:--;    415.000
1968-03-12;--:--;    335.000
1968-03-13;--:--;    364.000
1968-03-14;--:--;    440.000
1968-03-15;--:--;    408.000
1968-03-16;--:--;    420.000
1968-03-17;--:--;    450.000
1968-03-18;--:--;    642.000
1968-03-19;--:--;    662.000
1968-03-20;--:--;    596.000
1968-03-21;--:--;    531.000
1968-03-22;--:--;    490.000
1968-03-23;--:--;    468.000
1968-03-24;--:--;    467.000
1968-03-25;--:--;    476.000
1968-03-26;--:--;    406.000
1968-03-27;--:--;    437.000
1968-03-28;--:--;    444.000
1968-03-29;--:--;    391.000
1968-03-30;--:--;    462.000
1968-03-31;--:--;    310.000
1968-04-01;--:--;    307.000
1968-04-02;--:--;    312.000
1968-04-03;--:--;    312.000
1968-04-04;--:--;    324.000
1968-04-05;--:--;    423.000
1968-04-06;--:--;    561.000
1968-04-07;--:--;    778.000
1968-04-08;--:--;    696.000
1968-04-09;--:--;    657.000
1968-04-10;--:--;    688.000
1968-04-11;--:--;    649.000
1968-04-12;--:--;    658.000
1968-04-13;--:--;    667.000
1968-04-14;--:--;    716.000
1968-04-15;--:--;    803.000
1968-04-16;--:--;    665.000
1968-04-17;--:--;    651.000
1968-04-18;--:--;    653.000
1968-04-19;--:--;    692.000
1968-04-20;--:--;    776.000
1968-04-21;--:--;    898.000
1968-04-22;--:--;   1046.000
1968-04-23;--:--;   1279.000
1968-04-24;--:--;   1159.000
1968-04-25;--:--;   1281.000
1968-04-26;--:--;   1370.000
1968-04-27;--:--;   1582.000
1968-04-28;--:--;   1481.000
1968-04-29;--:--;   1583.000
1968-04-30;--:--;   2166.000
1968-05-01;--:--;   2100.000
1968-05-02;--:--;   1834.000
1968-05-03;--:--;   1541.000
1968-05-04;--:--;   1411.000
1968-05-05;--:--;   1256.000
1968-05-06;--:--;   1130.000
1968-05-07;--:--;   1065.000
1968-05-08;--:--;   1060.000
1968-05-09;--:--;   1060.000
1968-05-10;--:--;    782.000
1968-05-11;--:--;    772.000
1968-05-12;--:--;    725.000
1968-05-13;--:--;    822.000
1968-05-14;--:--;    892.000
1968-05-15;--:--;    930.000
1968-05-16;--:--;    850.000
1968-05-17;--:--;    839.000
1968-05-18;--:--;    855.000
1968-05-19;--:--;    948.000
1968-05-20;--:--;   1069.000
1968-05-21;--:--;   1153.000
1968-05-22;--:--;   1104.000
1968-05-23;--:--;   1178.000
1968-05-24;--:--;   1413.000
1968-05-25;--:--;   1332.000
1968-05-26;--:--;   1441.000
1968-05-27;--:--;   1397.000
1968-05-28;--:--;   1284.000
1968-05-29;--:--;   1355.000
1968-05-30;--:--;   1543.000
1968-05-31;--:--;   1633.000
1968-06-01;--:--;   1602.000
1968-06-02;--:--;   1623.000
1968-06-03;--:--;   1727.000
1968-06-04;--:--;   1810.000
1968-06-05;--:--;   1860.000
1968-06-06;--:--;   1899.000
1968-06-07;--:--;   1992.000
1968-06-08;--:--;   2089.000
1968-06-09;--:--;   2352.000
1968-06-10;--:--;   2599.000
1968-06-11;--:--;   2655.000
1968-06-12;--:--;   2562.000
1968-06-13;--:--;   2449.000
1968-06-14;--:--;   2469.000
1968-06-15;--:--;   2222.000
1968-06-16;--:--;   2200.000
1968-06-17;--:--;   2279.000
1968-06-18;--:--;   2396.000
1968-06-19;--:--;   2325.000
1968-06-20;--:--;   2310.000
1968-06-21;--:--;   2277.000
1968-06-22;--:--;   2337.000
1968-06-23;--:--;   2448.000
1968-06-24;--:--;   2508.000
1968-06-25;--:--;   2480.000
1968-06-26;--:--;   2512.000
1968-06-27;--:--;   2369.000
1968-06-28;--:--;   2296.000
1968-06-29;--:--;   2063.000
1968-06-30;--:--;   1916.000
1968-07-01;--:--;   1900.000
1968-07-02;--:--;   1962.000
1968-07-03;--:--;   2020.000
1968-07-04;--:--;   2020.000
1968-07-05;--:--;   2173.000
1968-07-06;--:--;   2061.000
1968-07-07;--:--;   2125.000
1968-07-08;--:--;   2305.000
1968-07-09;--:--;   2492.000
1968-07-10;--:--;   2333.000
1968-07-11;--:--;   2255.000
1968-07-12;--:--;   2284.000
1968-07-13;--:--;   2229.000
1968-07-14;--:--;   2234.000
1968-07-15;--:--;   2124.000
1968-07-16;--:--;   1915.000
1968-07-17;--:--;   1741.000
1968-07-18;--:--;   1769.000
1968-07-19;--:--;   1652.000
1968-07-20;--:--;   1627.000
1968-07-21;--:--;   1590.000
1968-07-22;--:--;   1531.000
1968-07-23;--:--;   1445.000
1968-07-24;--:--;   1373.000
1968-07-25;--:--;   1393.000
1968-07-26;--:--;   1453.000
1968-07-27;--:--;   1571.000
1968-07-28;--:--;   1651.000
1968-07-29;--:--;   1654.000
1968-07-30;--:--;   1621.000
1968-07-31;--:--;   1582.000
1968-08-01;--:--;   1555.000
1968-08-02;--:--;   1522.000
1968-08-03;--:--;   1520.000
1968-08-04;--:--;   1485.000
1968-08-05;--:--;   1512.000
1968-08-06;--:--;   1551.000
1968-08-07;--:--;   1624.000
1968-08-08;--:--;   1549.000
1968-08-09;--:--;   1480.000
1968-08-10;--:--;   1452.000
1968-08-11;--:--;   1517.000
1968-08-12;--:--;   1440.000
1968-08-13;--:--;   1351.000
1968-08-14;--:--;   1342.000
1968-08-15;--:--;   1329.000
1968-08-16;--:--;   1314.000
1968-08-17;--:--;   1276.000
1968-08-18;--:--;   1260.000
1968-08-19;--:--;   1255.000
1968-08-20;--:--;   1245.000
1968-08-21;--:--;   1225.000
1968-08-22;--:--;   1191.000
1968-08-23;--:--;   1118.000
1968-08-24;--:--;   1011.000
1968-08-25;--:--;    892.000
1968-08-26;--:--;    834.000
1968-08-27;--:--;    747.000
1968-08-28;--:--;    676.000
1968-08-29;--:--;    625.000
1968-08-30;--:--;    598.000
1968-08-31;--:--;    564.000
1968-09-01;--:--;    535.000
1968-09-02;--:--;    510.000
1968-09-03;--:--;    498.000
1968-09-04;--:--;    500.000
1968-09-05;--:--;    518.000
1968-09-06;--:--;    539.000
1968-09-07;--:--;    541.000
1968-09-08;--:--;    545.000
1968-09-09;--:--;    543.000
1968-09-10;--:--;    553.000
1968-09-11;--:--;    535.000
1968-09-12;--:--;    535.000
1968-09-13;--:--;    544.000
1968-09-14;--:--;    553.000
1968-09-15;--:--;    562.000
1968-09-16;--:--;    580.000
1968-09-17;--:--;    571.000
1968-09-18;--:--;    553.000
1968-09-19;--:--;    535.000
1968-09-20;--:--;    501.000
1968-09-21;--:--;    544.000
1968-09-22;--:--;    441.000
1968-09-23;--:--;    449.000
1968-09-24;--:--;    434.000
1968-09-25;--:--;    419.000
1968-09-26;--:--;    412.000
1968-09-27;--:--;    396.000
1968-09-28;--:--;    388.000
1968-09-29;--:--;    373.000
1968-09-30;--:--;    381.000
1968-10-01;--:--;    346.000
1968-10-02;--:--;    346.000
1968-10-03;--:--;    359.000
1968-10-04;--:--;    346.000
1968-10-05;--:--;    332.000
1968-10-06;--:--;    325.000
1968-10-07;--:--;    332.000
1968-10-08;--:--;    325.000
1968-10-09;--:--;    292.000
1968-10-10;--:--;    286.000
1968-10-11;--:--;    299.000
1968-10-12;--:--;    267.000
1968-10-13;--:--;    279.000
1968-10-14;--:--;    305.000
1968-10-15;--:--;    312.000
1968-10-16;--:--;    286.000
1968-10-17;--:--;    248.000
1968-10-18;--:--;    255.000
1968-10-19;--:--;    279.000
1968-10-20;--:--;    346.000
1968-10-21;--:--;    305.000
1968-10-22;--:--;    292.000
1968-10-23;--:--;    305.000
1968-10-24;--:--;    312.000
1968-10-25;--:--;    312.000
1968-10-26;--:--;    312.000
1968-10-27;--:--;    312.000
1968-10-28;--:--;    312.000
1968-10-29;--:--;    332.000
1968-10-30;--:--;    292.000
1968-10-31;--:--;    292.000
1968-11-01;--:--;    332.000
1968-11-02;--:--;    353.000
1968-11-03;--:--;    292.000
1968-11-04;--:--;    255.000
1968-11-05;--:--;    260.000
1968-11-06;--:--;    232.000
1968-11-07;--:--;    248.000
1968-11-08;--:--;    232.000
1968-11-09;--:--;    232.000
1968-11-10;--:--;    255.000
1968-11-11;--:--;    222.000
1968-11-12;--:--;    242.000
1968-11-13;--:--;    248.000
1968-11-14;--:--;    255.000
1968-11-15;--:--;    255.000
1968-11-16;--:--;    232.000
1968-11-17;--:--;    255.000
1968-11-18;--:--;    242.000
1968-11-19;--:--;    232.000
1968-11-20;--:--;    267.000
1968-11-21;--:--;    292.000
1968-11-22;--:--;    260.000
1968-11-23;--:--;    279.000
1968-11-24;--:--;    255.000
1968-11-25;--:--;    242.000
1968-11-26;--:--;    237.000
1968-11-27;--:--;    242.000
1968-11-28;--:--;    237.000
1968-11-29;--:--;    227.000
1968-11-30;--:--;    227.000
1968-12-01;--:--;    222.000
1968-12-02;--:--;    217.000
1968-12-03;--:--;    232.000
1968-12-04;--:--;    232.000
1968-12-05;--:--;    242.000
1968-12-06;--:--;    222.000
1968-12-07;--:--;    227.000
1968-12-08;--:--;    237.000
1968-12-09;--:--;    222.000
1968-12-10;--:--;    242.000
1968-12-11;--:--;    312.000
1968-12-12;--:--;    292.000
1968-12-13;--:--;    292.000
1968-12-14;--:--;    279.000
1968-12-15;--:--;    274.000
1968-12-16;--:--;    197.000
1968-12-17;--:--;    222.000
1968-12-18;--:--;    242.000
1968-12-19;--:--;    237.000
1968-12-20;--:--;    222.000
1968-12-21;--:--;    232.000
1968-12-22;--:--;    222.000
1968-12-23;--:--;    237.000
1968-12-24;--:--;    212.000
1968-12-25;--:--;    267.000
1968-12-26;--:--;    202.000
1968-12-27;--:--;    165.000
1968-12-28;--:--;    165.000
1968-12-29;--:--;    192.000
1968-12-30;--:--;    202.000
1968-12-31;--:--;    212.000
1969-01-01;--:--;    207.000
1969-01-02;--:--;    202.000
1969-01-03;--:--;    192.000
1969-01-04;--:--;    178.000
1969-01-05;--:--;    160.000
1969-01-06;--:--;    160.000
1969-01-07;--:--;    174.000
1969-01-08;--:--;    170.000
1969-01-09;--:--;    188.000
1969-01-10;--:--;    232.000
1969-01-11;--:--;    217.000
1969-01-12;--:--;    202.000
1969-01-13;--:--;    212.000
1969-01-14;--:--;    197.000
1969-01-15;--:--;    192.000
1969-01-16;--:--;    217.000
1969-01-17;--:--;    212.000
1969-01-18;--:--;    192.000
1969-01-19;--:--;    202.000
1969-01-20;--:--;    232.000
1969-01-21;--:--;    178.000
1969-01-22;--:--;    192.000
1969-01-23;--:--;    192.000
1969-01-24;--:--;    165.000
1969-01-25;--:--;    183.000
1969-01-26;--:--;    217.000
1969-01-27;--:--;    212.000
1969-01-28;--:--;    212.000
1969-01-29;--:--;    202.000
1969-01-30;--:--;    197.000
1969-01-31;--:--;    212.000
1969-02-01;--:--;    192.000
1969-02-02;--:--;    170.000
1969-02-03;--:--;    178.000
1969-02-04;--:--;    174.000
1969-02-05;--:--;    165.000
1969-02-06;--:--;    170.000
1969-02-07;--:--;    156.000
1969-02-08;--:--;    160.000
1969-02-09;--:--;    147.000
1969-02-10;--:--;    170.000
1969-02-11;--:--;    156.000
1969-02-12;--:--;    160.000
1969-02-13;--:--;    170.000
1969-02-14;--:--;    156.000
1969-02-15;--:--;    165.000
1969-02-16;--:--;    174.000
1969-02-17;--:--;    183.000
1969-02-18;--:--;    178.000
1969-02-19;--:--;    156.000
1969-02-20;--:--;    174.000
1969-02-21;--:--;    147.000
1969-02-22;--:--;    143.000
1969-02-23;--:--;    152.000
1969-02-24;--:--;    152.000
1969-02-25;--:--;    152.000
1969-02-26;--:--;    139.000
1969-02-27;--:--;    147.000
1969-02-28;--:--;    152.000
1969-03-01;--:--;    147.000
1969-03-02;--:--;    217.000
1969-03-03;--:--;    197.000
1969-03-04;--:--;    165.000
1969-03-05;--:--;    156.000
1969-03-06;--:--;    152.000
1969-03-07;--:--;    222.000
1969-03-08;--:--;    197.000
1969-03-09;--:--;    178.000
1969-03-10;--:--;    217.000
1969-03-11;--:--;    366.000
1969-03-12;--:--;    248.000
1969-03-13;--:--;    212.000
1969-03-14;--:--;    232.000
1969-03-15;--:--;    419.000
1969-03-16;--:--;    411.000
1969-03-17;--:--;    373.000
1969-03-18;--:--;    403.000
1969-03-19;--:--;    535.000
1969-03-20;--:--;    535.000
1969-03-21;--:--;    483.000
1969-03-22;--:--;    449.000
1969-03-23;--:--;    476.000
1969-03-24;--:--;    466.000
1969-03-25;--:--;    466.000
1969-03-26;--:--;    571.000
1969-03-27;--:--;    518.000
1969-03-28;--:--;    476.000
1969-03-29;--:--;    434.000
1969-03-30;--:--;    373.000
1969-03-31;--:--;    388.000
1969-04-01;--:--;    403.000
1969-04-02;--:--;    419.000
1969-04-03;--:--;    381.000
1969-04-04;--:--;    388.000
1969-04-05;--:--;    449.000
1969-04-06;--:--;    466.000
1969-04-07;--:--;    518.000
1969-04-08;--:--;    544.000
1969-04-09;--:--;    571.000
1969-04-10;--:--;    770.000
1969-04-11;--:--;    880.000
1969-04-12;--:--;   1020.000
1969-04-13;--:--;    900.000
1969-04-14;--:--;    740.000
1969-04-15;--:--;    870.000
1969-04-16;--:--;   1120.000
1969-04-17;--:--;    920.000
1969-04-18;--:--;    760.000
1969-04-19;--:--;    720.000
1969-04-20;--:--;    880.000
1969-04-21;--:--;    880.000
1969-04-22;--:--;    790.000
1969-04-23;--:--;    644.000
1969-04-24;--:--;    607.000
1969-04-25;--:--;    580.000
1969-04-26;--:--;    553.000
1969-04-27;--:--;    492.000
1969-04-28;--:--;    535.000
1969-04-29;--:--;    476.000
1969-04-30;--:--;    381.000
1969-05-01;--:--;    373.000
1969-05-02;--:--;    388.000
1969-05-03;--:--;    373.000
1969-05-04;--:--;    395.000
1969-05-05;--:--;    395.000
1969-05-06;--:--;    426.000
1969-05-07;--:--;    483.000
1969-05-08;--:--;    710.000
1969-05-09;--:--;    840.000
1969-05-10;--:--;    960.000
1969-05-11;--:--;    880.000
1969-05-12;--:--;    880.000
1969-05-13;--:--;    900.000
1969-05-14;--:--;    900.000
1969-05-15;--:--;    940.000
1969-05-16;--:--;    682.000
1969-05-17;--:--;    682.000
1969-05-18;--:--;    720.000
1969-05-19;--:--;    740.000
1969-05-20;--:--;    682.000
1969-05-21;--:--;    720.000
1969-05-22;--:--;    800.000
1969-05-23;--:--;    880.000
1969-05-24;--:--;    880.000
1969-05-25;--:--;    880.000
1969-05-26;--:--;    920.000
1969-05-27;--:--;    960.000
1969-05-28;--:--;   1062.000
1969-05-29;--:--;   1120.000
1969-05-30;--:--;   1356.000
1969-05-31;--:--;   1524.000
1969-06-01;--:--;   1545.000
1969-06-02;--:--;   1598.000
1969-06-03;--:--;   1598.000
1969-06-04;--:--;   1566.000
1969-06-05;--:--;   1514.000
1969-06-06;--:--;   1314.000
1969-06-07;--:--;   1356.000
1969-06-08;--:--;   1450.000
1969-06-09;--:--;   1461.000
1969-06-10;--:--;   1566.000
1969-06-11;--:--;   1618.000
1969-06-12;--:--;   1576.000
1969-06-13;--:--;   1618.000
1969-06-14;--:--;   1692.000
1969-06-15;--:--;   1734.000
1969-06-16;--:--;   1692.000
1969-06-17;--:--;   1934.000
1969-06-18;--:--;   1923.000
1969-06-19;--:--;   1976.000
1969-06-20;--:--;   1996.000
1969-06-21;--:--;   1750.000
1969-06-22;--:--;   1650.000
1969-06-23;--:--;   1412.000
1969-06-24;--:--;   1380.000
1969-06-25;--:--;   1370.000
1969-06-26;--:--;   1338.000
1969-06-27;--:--;   1391.000
1969-06-28;--:--;   1454.000
1969-06-29;--:--;   1454.000
1969-06-30;--:--;   1454.000
1969-07-01;--:--;   1430.000
1969-07-02;--:--;   1410.000
1969-07-03;--:--;   1410.000
1969-07-04;--:--;   1450.000
1969-07-05;--:--;   1480.000
