# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240100
# River:                 KABUL RIVER
# Station:               DAKAH
# Country:               AF
# Latitude (DD):       34.233333
# Longitude (DD):      71.033333
# Catchment area (km²):      67370.0
# Altitude (m ASL):        420.0
# Next downstream station:      2335200
# Remarks:               USGS-ID: 341400071020000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 1980
# No. of years:          13
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 150
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-02-01;--:--;   -999.000;   -999.000;  31
1968-03-01;--:--;   -999.000;    376.710; 100
1968-04-01;--:--;   -999.000;    861.100; 100
1968-05-01;--:--;   -999.000;   1186.258; 100
1968-06-01;--:--;   -999.000;   2220.867; 100
1968-07-01;--:--;   -999.000;   1873.710; 100
1968-08-01;--:--;   -999.000;   1227.742; 100
1968-09-01;--:--;   -999.000;    499.600; 100
1968-10-01;--:--;   -999.000;    307.839; 100
1968-11-01;--:--;   -999.000;    254.633; 100
1968-12-01;--:--;   -999.000;    231.355; 100
1969-01-01;--:--;   -999.000;    196.774; 100
1969-02-01;--:--;   -999.000;    162.071; 100
1969-03-01;--:--;   -999.000;    344.581; 100
1969-04-01;--:--;   -999.000;    655.233; 100
1969-05-01;--:--;   -999.000;    788.742; 100
1969-06-01;--:--;   -999.000;   1579.333; 100
1969-07-01;--:--;   -999.000;   1456.452; 100
1969-08-01;--:--;   -999.000;   1121.968; 100
1969-09-01;--:--;   -999.000;    540.367; 100
1969-10-01;--:--;   -999.000;    308.968; 100
1969-11-01;--:--;   -999.000;    267.867; 100
1969-12-01;--:--;   -999.000;    248.387; 100
1970-01-01;--:--;   -999.000;    252.258; 100
1970-02-01;--:--;   -999.000;    226.929; 100
1970-03-01;--:--;   -999.000;    222.484; 100
1970-04-01;--:--;   -999.000;    507.067; 100
1970-05-01;--:--;   -999.000;    857.677; 100
1970-06-01;--:--;   -999.000;   1147.067; 100
1970-07-01;--:--;   -999.000;   1033.871; 100
