# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240101
# River:                 KABUL RIVER
# Station:               NEAR DARONTA
# Country:               AF
# Latitude (DD):       34.466667
# Longitude (DD):      70.366667
# Catchment area (km²):      34375.0
# Altitude (m ASL):        585.0
# Next downstream station:      2240100
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959-10 - 1964-09
# No. of years:          6
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1827
# DATA
YYYY-MM-DD;hh:mm; Value
1959-10-01;--:--;     59.000
1959-10-02;--:--;     64.000
1959-10-03;--:--;     59.000
1959-10-04;--:--;     55.000
1959-10-05;--:--;     59.000
1959-10-06;--:--;     49.000
1959-10-07;--:--;     53.000
1959-10-08;--:--;     57.000
1959-10-09;--:--;     61.000
1959-10-10;--:--;     54.000
1959-10-11;--:--;     48.000
1959-10-12;--:--;     48.000
1959-10-13;--:--;     45.000
1959-10-14;--:--;     53.000
1959-10-15;--:--;     48.000
1959-10-16;--:--;     31.000
1959-10-17;--:--;     58.000
1959-10-18;--:--;     46.000
1959-10-19;--:--;     53.000
1959-10-20;--:--;     40.000
1959-10-21;--:--;     50.000
1959-10-22;--:--;     36.000
1959-10-23;--:--;     45.000
1959-10-24;--:--;     50.000
1959-10-25;--:--;     48.000
1959-10-26;--:--;     37.000
1959-10-27;--:--;     42.000
1959-10-28;--:--;     54.000
1959-10-29;--:--;     52.000
1959-10-30;--:--;     52.000
1959-10-31;--:--;     49.000
1959-11-01;--:--;     48.000
1959-11-02;--:--;     43.000
1959-11-03;--:--;     68.000
1959-11-04;--:--;    107.000
1959-11-05;--:--;    103.000
1959-11-06;--:--;    178.000
1959-11-07;--:--;    129.000
1959-11-08;--:--;    116.000
1959-11-09;--:--;    107.000
1959-11-10;--:--;     90.000
1959-11-11;--:--;     93.000
1959-11-12;--:--;     87.000
1959-11-13;--:--;     73.000
1959-11-14;--:--;    103.000
1959-11-15;--:--;     89.000
1959-11-16;--:--;     84.000
1959-11-17;--:--;     87.000
1959-11-18;--:--;     82.000
1959-11-19;--:--;     82.000
1959-11-20;--:--;     82.000
1959-11-21;--:--;     82.000
1959-11-22;--:--;     82.000
1959-11-23;--:--;     52.000
1959-11-24;--:--;     74.000
1959-11-25;--:--;     77.000
1959-11-26;--:--;     82.000
1959-11-27;--:--;     82.000
1959-11-28;--:--;    100.000
1959-11-29;--:--;     84.000
1959-11-30;--:--;     84.000
1959-12-01;--:--;     77.000
1959-12-02;--:--;     82.000
1959-12-03;--:--;     82.000
1959-12-04;--:--;     85.000
1959-12-05;--:--;     84.000
1959-12-06;--:--;     90.000
1959-12-07;--:--;     78.000
1959-12-08;--:--;     73.000
1959-12-09;--:--;     80.000
1959-12-10;--:--;     80.000
1959-12-11;--:--;     80.000
1959-12-12;--:--;     84.000
1959-12-13;--:--;     78.000
1959-12-14;--:--;     78.000
1959-12-15;--:--;     75.000
1959-12-16;--:--;     93.000
1959-12-17;--:--;    107.000
1959-12-18;--:--;     93.000
1959-12-19;--:--;     90.000
1959-12-20;--:--;     78.000
1959-12-21;--:--;     90.000
1959-12-22;--:--;     92.000
1959-12-23;--:--;     90.000
1959-12-24;--:--;     92.000
1959-12-25;--:--;     92.000
1959-12-26;--:--;     90.000
1959-12-27;--:--;     90.000
1959-12-28;--:--;     90.000
1959-12-29;--:--;     90.000
1959-12-30;--:--;     89.000
1959-12-31;--:--;     87.000
1960-01-01;--:--;     87.000
1960-01-02;--:--;     85.000
1960-01-03;--:--;     84.000
1960-01-04;--:--;     84.000
1960-01-05;--:--;     81.000
1960-01-06;--:--;     74.000
1960-01-07;--:--;     84.000
1960-01-08;--:--;     82.000
1960-01-09;--:--;     84.000
1960-01-10;--:--;     80.000
1960-01-11;--:--;     82.000
1960-01-12;--:--;     80.000
1960-01-13;--:--;     80.000
1960-01-14;--:--;     80.000
1960-01-15;--:--;     80.000
1960-01-16;--:--;     80.000
1960-01-17;--:--;     80.000
1960-01-18;--:--;     78.000
1960-01-19;--:--;     78.000
1960-01-20;--:--;     77.000
1960-01-21;--:--;     76.000
1960-01-22;--:--;     77.000
1960-01-23;--:--;     77.000
1960-01-24;--:--;     78.000
1960-01-25;--:--;     78.000
1960-01-26;--:--;     76.000
1960-01-27;--:--;     76.000
1960-01-28;--:--;     76.000
1960-01-29;--:--;     87.000
1960-01-30;--:--;     85.000
1960-01-31;--:--;     80.000
1960-02-01;--:--;     82.000
1960-02-02;--:--;     84.000
1960-02-03;--:--;     80.000
1960-02-04;--:--;     78.000
1960-02-05;--:--;     78.000
1960-02-06;--:--;     80.000
1960-02-07;--:--;     77.000
1960-02-08;--:--;     76.000
1960-02-09;--:--;     73.000
1960-02-10;--:--;     73.000
1960-02-11;--:--;     71.000
1960-02-12;--:--;     71.000
1960-02-13;--:--;     73.000
1960-02-14;--:--;     76.000
1960-02-15;--:--;     93.000
1960-02-16;--:--;    103.000
1960-02-17;--:--;     96.000
1960-02-18;--:--;     92.000
1960-02-19;--:--;     81.000
1960-02-20;--:--;     81.000
1960-02-21;--:--;     84.000
1960-02-22;--:--;     81.000
1960-02-23;--:--;     70.000
