# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240101
# River:                 KABUL RIVER
# Station:               NEAR DARONTA
# Country:               AF
# Latitude (DD):       34.466667
# Longitude (DD):      70.366667
# Catchment area (km²):      34375.0
# Altitude (m ASL):        585.0
# Next downstream station:      2240100
# Remarks:               USGS-ID: 342800070220000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959 - 1964
# No. of years:          6
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 60
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-10-01;--:--;   -999.000;     50.161; 100
1959-11-01;--:--;   -999.000;     88.333; 100
1959-12-01;--:--;   -999.000;     85.774; 100
1960-01-01;--:--;   -999.000;     80.194; 100
1960-02-01;--:--;   -999.000;     78.931; 100
1960-03-01;--:--;   -999.000;    182.839; 100
1960-04-01;--:--;   -999.000;    475.967; 100
1960-05-01;--:--;   -999.000;    622.774; 100
1960-06-01;--:--;   -999.000;    670.433; 100
1960-07-01;--:--;   -999.000;    587.903; 100
1960-08-01;--:--;   -999.000;    256.419; 100
1960-09-01;--:--;   -999.000;     82.067; 100
1960-10-01;--:--;   -999.000;     67.661; 100
1960-11-01;--:--;   -999.000;     82.000; 100
1960-12-01;--:--;   -999.000;     88.645; 100
1961-01-01;--:--;   -999.000;     92.152; 100
1961-02-01;--:--;   -999.000;     82.957; 100
1961-03-01;--:--;   -999.000;    110.194; 100
1961-04-01;--:--;   -999.000;    353.233; 100
1961-05-01;--:--;   -999.000;    471.710; 100
1961-06-01;--:--;   -999.000;    568.333; 100
1961-07-01;--:--;   -999.000;    342.258; 100
1961-08-01;--:--;   -999.000;    100.523; 100
1961-09-01;--:--;   -999.000;     62.747; 100
1961-10-01;--:--;   -999.000;     61.442; 100
1961-11-01;--:--;   -999.000;     77.757; 100
1961-12-01;--:--;   -999.000;     83.645; 100
1962-01-01;--:--;   -999.000;     81.306; 100
1962-02-01;--:--;   -999.000;     73.754; 100
1962-03-01;--:--;   -999.000;     70.468; 100
1962-04-01;--:--;   -999.000;    175.833; 100
1962-05-01;--:--;   -999.000;    202.452; 100
1962-06-01;--:--;   -999.000;    536.333; 100
1962-07-01;--:--;   -999.000;    309.935; 100
1962-08-01;--:--;   -999.000;    103.148; 100
1962-09-01;--:--;   -999.000;     51.890; 100
1962-10-01;--:--;   -999.000;     53.000; 100
1962-11-01;--:--;   -999.000;     64.867; 100
1962-12-01;--:--;   -999.000;     85.065; 100
1963-01-01;--:--;   -999.000;     92.065; 100
1963-02-01;--:--;   -999.000;     75.964; 100
1963-03-01;--:--;   -999.000;     81.903; 100
1963-04-01;--:--;   -999.000;    163.833; 100
1963-05-01;--:--;   -999.000;    460.484; 100
1963-06-01;--:--;   -999.000;    723.367; 100
1963-07-01;--:--;   -999.000;    461.323; 100
1963-08-01;--:--;   -999.000;    157.452; 100
1963-09-01;--:--;   -999.000;     60.067; 100
1963-10-01;--:--;   -999.000;     60.226; 100
1963-11-01;--:--;   -999.000;     69.933; 100
1963-12-01;--:--;   -999.000;     85.484; 100
1964-01-01;--:--;   -999.000;    104.097; 100
1964-02-01;--:--;   -999.000;     94.414; 100
1964-03-01;--:--;   -999.000;    137.419; 100
1964-04-01;--:--;   -999.000;    382.233; 100
1964-05-01;--:--;   -999.000;    314.581; 100
1964-06-01;--:--;   -999.000;    414.533; 100
1964-07-01;--:--;   -999.000;    295.677; 100
1964-08-01;--:--;   -999.000;     94.097; 100
1964-09-01;--:--;   -999.000;     57.233; 100
