# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240102
# River:                 KABUL RIVER
# Station:               NAGHLU
# Country:               AF
# Latitude (DD):       34.616667
# Longitude (DD):      69.716667
# Catchment area (km²):      26046.0
# Altitude (m ASL):        985.0
# Next downstream station:      2240101
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959-10 - 1980-09
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7671
# DATA
YYYY-MM-DD;hh:mm; Value
1959-10-01;--:--;     44.000
1959-10-02;--:--;     42.000
1959-10-03;--:--;     42.000
1959-10-04;--:--;     42.000
1959-10-05;--:--;     42.000
1959-10-06;--:--;     42.000
1959-10-07;--:--;     42.000
1959-10-08;--:--;     40.000
1959-10-09;--:--;     40.000
1959-10-10;--:--;     40.000
1959-10-11;--:--;     40.000
1959-10-12;--:--;     37.000
1959-10-13;--:--;     37.000
1959-10-14;--:--;     37.000
1959-10-15;--:--;     37.000
1959-10-16;--:--;     36.000
1959-10-17;--:--;     36.000
1959-10-18;--:--;     36.000
1959-10-19;--:--;     36.000
1959-10-20;--:--;     36.000
1959-10-21;--:--;     37.000
1959-10-22;--:--;     37.000
1959-10-23;--:--;     38.000
1959-10-24;--:--;     39.000
1959-10-25;--:--;     39.000
1959-10-26;--:--;     39.000
1959-10-27;--:--;     39.000
1959-10-28;--:--;     40.000
1959-10-29;--:--;     42.000
1959-10-30;--:--;     43.000
1959-10-31;--:--;     43.000
1959-11-01;--:--;     44.000
1959-11-02;--:--;     54.000
1959-11-03;--:--;     62.000
1959-11-04;--:--;     67.000
1959-11-05;--:--;     78.000
1959-11-06;--:--;    107.000
1959-11-07;--:--;     87.000
1959-11-08;--:--;     81.000
1959-11-09;--:--;     78.000
1959-11-10;--:--;     76.000
1959-11-11;--:--;     75.000
1959-11-12;--:--;     72.000
1959-11-13;--:--;     70.000
1959-11-14;--:--;     70.000
1959-11-15;--:--;     68.000
1959-11-16;--:--;     68.000
1959-11-17;--:--;     67.000
1959-11-18;--:--;     67.000
1959-11-19;--:--;     65.000
1959-11-20;--:--;     65.000
1959-11-21;--:--;     65.000
1959-11-22;--:--;     64.000
1959-11-23;--:--;     64.000
1959-11-24;--:--;     62.000
1959-11-25;--:--;     65.000
1959-11-26;--:--;     68.000
1959-11-27;--:--;     72.000
1959-11-28;--:--;     75.000
1959-11-29;--:--;     73.000
1959-11-30;--:--;     72.000
1959-12-01;--:--;     72.000
1959-12-02;--:--;     72.000
1959-12-03;--:--;     73.000
1959-12-04;--:--;     75.000
1959-12-05;--:--;     75.000
1959-12-06;--:--;     73.000
1959-12-07;--:--;     72.000
1959-12-08;--:--;     72.000
1959-12-09;--:--;     72.000
1959-12-10;--:--;     72.000
1959-12-11;--:--;     72.000
1959-12-12;--:--;     72.000
1959-12-13;--:--;     72.000
1959-12-14;--:--;     72.000
1959-12-15;--:--;     72.000
1959-12-16;--:--;     87.000
1959-12-17;--:--;     85.000
1959-12-18;--:--;     80.000
1959-12-19;--:--;     76.000
1959-12-20;--:--;     78.000
1959-12-21;--:--;     80.000
1959-12-22;--:--;     78.000
1959-12-23;--:--;     78.000
1959-12-24;--:--;     78.000
1959-12-25;--:--;     78.000
1959-12-26;--:--;     78.000
1959-12-27;--:--;     76.000
1959-12-28;--:--;     76.000
1959-12-29;--:--;     76.000
1959-12-30;--:--;     76.000
1959-12-31;--:--;     75.000
1960-01-01;--:--;     75.000
1960-01-02;--:--;     75.000
1960-01-03;--:--;     76.000
1960-01-04;--:--;     76.000
1960-01-05;--:--;     78.000
1960-01-06;--:--;     78.000
1960-01-07;--:--;     78.000
1960-01-08;--:--;     78.000
1960-01-09;--:--;     78.000
1960-01-10;--:--;     78.000
1960-01-11;--:--;     78.000
1960-01-12;--:--;     78.000
1960-01-13;--:--;     76.000
1960-01-14;--:--;     73.000
1960-01-15;--:--;     72.000
1960-01-16;--:--;     75.000
1960-01-17;--:--;     72.000
1960-01-18;--:--;     70.000
1960-01-19;--:--;     72.000
1960-01-20;--:--;     70.000
1960-01-21;--:--;     70.000
1960-01-22;--:--;     72.000
1960-01-23;--:--;     73.000
1960-01-24;--:--;     72.000
1960-01-25;--:--;     72.000
1960-01-26;--:--;     72.000
1960-01-27;--:--;     68.000
1960-01-28;--:--;     70.000
1960-01-29;--:--;     80.000
1960-01-30;--:--;     76.000
1960-01-31;--:--;     73.000
1960-02-01;--:--;     75.000
1960-02-02;--:--;     76.000
1960-02-03;--:--;     73.000
1960-02-04;--:--;     72.000
1960-02-05;--:--;     68.000
1960-02-06;--:--;     67.000
