# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240102
# River:                 KABUL RIVER
# Station:               NAGHLU
# Country:               AF
# Latitude (DD):       34.616667
# Longitude (DD):      69.716667
# Catchment area (km²):      26046.0
# Altitude (m ASL):        985.0
# Next downstream station:      2240101
# Remarks:               USGS-ID: 343700069430000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959 - 1980
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 252
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-10-01;--:--;   -999.000;     39.355; 100
1959-11-01;--:--;   -999.000;     70.033; 100
1959-12-01;--:--;   -999.000;     75.581; 100
1960-01-01;--:--;   -999.000;     74.323; 100
1960-02-01;--:--;   -999.000;     65.862; 100
1960-03-01;--:--;   -999.000;    112.935; 100
1960-04-01;--:--;   -999.000;    361.867; 100
1960-05-01;--:--;   -999.000;    474.935; 100
1960-06-01;--:--;   -999.000;    563.367; 100
1960-07-01;--:--;   -999.000;    524.226; 100
1960-08-01;--:--;   -999.000;    177.516; 100
1960-09-01;--:--;   -999.000;     62.000; 100
1960-10-01;--:--;   -999.000;     41.810; 100
1960-11-01;--:--;   -999.000;     58.887; 100
1960-12-01;--:--;   -999.000;     60.465; 100
1961-01-01;--:--;   -999.000;     61.990; 100
1961-02-01;--:--;   -999.000;     58.254; 100
1961-03-01;--:--;   -999.000;     60.468; 100
1961-04-01;--:--;   -999.000;    279.047; 100
1961-05-01;--:--;   -999.000;    305.226; 100
1961-06-01;--:--;   -999.000;    394.467; 100
