# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240103
# River:                 KABUL RIVER
# Station:               TANG-I-GHARU
# Country:               AF
# Latitude (DD):       34.566667
# Longitude (DD):      69.4
# Catchment area (km²):      12850.0
# Altitude (m ASL):        1770.0
# Next downstream station:      2240102
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959-10 - 1980-09
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7671
# DATA
YYYY-MM-DD;hh:mm; Value
1959-10-01;--:--;      2.300
1959-10-02;--:--;      2.400
1959-10-03;--:--;      2.500
1959-10-04;--:--;      2.500
1959-10-05;--:--;      2.500
1959-10-06;--:--;      2.400
1959-10-07;--:--;      2.200
1959-10-08;--:--;      2.100
1959-10-09;--:--;      1.900
1959-10-10;--:--;      1.800
1959-10-11;--:--;      1.700
1959-10-12;--:--;      1.700
1959-10-13;--:--;      1.900
1959-10-14;--:--;      2.100
1959-10-15;--:--;      2.200
1959-10-16;--:--;      2.400
1959-10-17;--:--;      2.600
1959-10-18;--:--;      2.800
1959-10-19;--:--;      2.900
1959-10-20;--:--;      3.100
1959-10-21;--:--;      3.600
1959-10-22;--:--;      3.800
1959-10-23;--:--;      4.400
1959-10-24;--:--;      5.100
1959-10-25;--:--;      5.500
1959-10-26;--:--;      6.100
1959-10-27;--:--;      6.300
1959-10-28;--:--;      7.100
1959-10-29;--:--;      7.600
1959-10-30;--:--;      8.600
1959-10-31;--:--;      8.900
1959-11-01;--:--;      9.200
1959-11-02;--:--;     11.300
1959-11-03;--:--;     13.200
1959-11-04;--:--;     16.600
1959-11-05;--:--;     20.200
1959-11-06;--:--;     24.000
1959-11-07;--:--;     24.000
1959-11-08;--:--;     23.000
1959-11-09;--:--;     22.700
1959-11-10;--:--;     22.000
1959-11-11;--:--;     21.400
1959-11-12;--:--;     20.200
1959-11-13;--:--;     20.200
1959-11-14;--:--;     20.200
1959-11-15;--:--;     19.600
1959-11-16;--:--;     19.600
1959-11-17;--:--;     19.000
1959-11-18;--:--;     19.000
1959-11-19;--:--;     19.000
1959-11-20;--:--;     19.000
1959-11-21;--:--;     19.600
1959-11-22;--:--;     19.600
1959-11-23;--:--;     19.600
1959-11-24;--:--;     19.600
1959-11-25;--:--;     20.200
1959-11-26;--:--;     20.800
1959-11-27;--:--;     22.000
1959-11-28;--:--;     23.600
1959-11-29;--:--;     22.700
1959-11-30;--:--;     22.700
1959-12-01;--:--;     22.700
1959-12-02;--:--;     22.700
1959-12-03;--:--;     23.000
1959-12-04;--:--;     22.700
1959-12-05;--:--;     22.500
1959-12-06;--:--;     22.700
1959-12-07;--:--;     22.700
1959-12-08;--:--;     22.000
1959-12-09;--:--;     21.400
1959-12-10;--:--;     21.400
1959-12-11;--:--;     21.400
1959-12-12;--:--;     21.400
1959-12-13;--:--;     21.400
1959-12-14;--:--;     21.400
1959-12-15;--:--;     21.400
1959-12-16;--:--;     22.700
1959-12-17;--:--;     22.000
1959-12-18;--:--;     22.000
1959-12-19;--:--;     22.000
1959-12-20;--:--;     22.000
1959-12-21;--:--;     22.000
1959-12-22;--:--;     22.500
1959-12-23;--:--;     22.500
1959-12-24;--:--;     22.500
1959-12-25;--:--;     22.500
1959-12-26;--:--;     23.000
1959-12-27;--:--;     23.000
1959-12-28;--:--;     23.000
1959-12-29;--:--;     23.000
1959-12-30;--:--;     23.000
1959-12-31;--:--;     22.500
1960-01-01;--:--;     22.500
1960-01-02;--:--;     22.000
1960-01-03;--:--;     22.000
1960-01-04;--:--;     22.500
1960-01-05;--:--;     22.000
1960-01-06;--:--;     22.000
1960-01-07;--:--;     22.000
1960-01-08;--:--;     22.000
1960-01-09;--:--;     21.400
1960-01-10;--:--;     21.400
1960-01-11;--:--;     21.400
1960-01-12;--:--;     21.400
1960-01-13;--:--;     21.400
1960-01-14;--:--;     21.400
1960-01-15;--:--;     20.800
1960-01-16;--:--;     20.200
1960-01-17;--:--;     20.200
1960-01-18;--:--;     20.200
1960-01-19;--:--;     20.200
1960-01-20;--:--;     20.200
1960-01-21;--:--;     20.200
1960-01-22;--:--;     20.200
1960-01-23;--:--;     20.200
1960-01-24;--:--;     20.200
1960-01-25;--:--;     20.200
1960-01-26;--:--;     20.200
1960-01-27;--:--;     19.600
1960-01-28;--:--;     19.600
1960-01-29;--:--;     20.200
1960-01-30;--:--;     20.200
1960-01-31;--:--;     20.800
1960-02-01;--:--;     20.800
1960-02-02;--:--;     20.200
1960-02-03;--:--;     20.800
1960-02-04;--:--;     20.800
1960-02-05;--:--;     21.400
1960-02-06;--:--;     21.400
1960-02-07;--:--;     21.400
1960-02-08;--:--;     21.400
1960-02-09;--:--;     21.400
1960-02-10;--:--;     21.400
1960-02-11;--:--;     21.400
1960-02-12;--:--;     21.400
1960-02-13;--:--;     21.800
1960-02-14;--:--;     22.000
1960-02-15;--:--;     23.500
1960-02-16;--:--;     24.000
1960-02-17;--:--;     23.500
1960-02-18;--:--;     23.000
1960-02-19;--:--;     22.500
1960-02-20;--:--;     22.000
1960-02-21;--:--;     22.000
1960-02-22;--:--;     22.000
1960-02-23;--:--;     22.000
1960-02-24;--:--;     22.000
1960-02-25;--:--;     22.000
1960-02-26;--:--;     22.000
1960-02-27;--:--;     22.000
1960-02-28;--:--;     21.400
1960-02-29;--:--;     21.400
1960-03-01;--:--;     21.400
1960-03-02;--:--;     21.400
1960-03-03;--:--;     21.400
1960-03-04;--:--;     22.000
1960-03-05;--:--;     22.000
1960-03-06;--:--;     22.500
1960-03-07;--:--;     22.500
1960-03-08;--:--;     22.500
1960-03-09;--:--;     22.500
1960-03-10;--:--;     24.000
1960-03-11;--:--;     24.000
1960-03-12;--:--;     24.000
1960-03-13;--:--;     25.000
1960-03-14;--:--;     25.500
1960-03-15;--:--;     26.500
1960-03-16;--:--;     26.000
1960-03-17;--:--;     25.500
1960-03-18;--:--;     26.000
1960-03-19;--:--;     27.000
1960-03-20;--:--;     27.500
1960-03-21;--:--;     28.500
1960-03-22;--:--;     28.500
1960-03-23;--:--;     28.000
1960-03-24;--:--;     28.000
1960-03-25;--:--;     27.500
1960-03-26;--:--;     29.500
1960-03-27;--:--;     34.500
1960-03-28;--:--;     35.500
1960-03-29;--:--;     35.000
1960-03-30;--:--;     35.000
1960-03-31;--:--;     34.500
1960-04-01;--:--;     35.500
1960-04-02;--:--;     35.500
1960-04-03;--:--;     36.000
1960-04-04;--:--;     38.500
1960-04-05;--:--;     40.500
1960-04-06;--:--;     41.000
1960-04-07;--:--;     41.500
1960-04-08;--:--;     42.000
1960-04-09;--:--;     42.500
1960-04-10;--:--;     41.500
1960-04-11;--:--;     40.500
1960-04-12;--:--;     41.000
1960-04-13;--:--;     47.000
