# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240103
# River:                 KABUL RIVER
# Station:               TANG-I-GHARU
# Country:               AF
# Latitude (DD):       34.566667
# Longitude (DD):      69.4
# Catchment area (km²):      12850.0
# Altitude (m ASL):        1770.0
# Next downstream station:      2240102
# Remarks:               USGS-ID: 343400069240000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959 - 1980
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 252
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-10-01;--:--;   -999.000;      3.645; 100
1959-11-01;--:--;   -999.000;     19.793; 100
1959-12-01;--:--;   -999.000;     22.290; 100
1960-01-01;--:--;   -999.000;     20.929; 100
1960-02-01;--:--;   -999.000;     21.824; 100
1960-03-01;--:--;   -999.000;     26.571; 100
1960-04-01;--:--;   -999.000;     83.120; 100
1960-05-01;--:--;   -999.000;     75.403; 100
1960-06-01;--:--;   -999.000;     18.390; 100
1960-07-01;--:--;   -999.000;      7.219; 100
1960-08-01;--:--;   -999.000;      1.745; 100
1960-09-01;--:--;   -999.000;      1.487; 100
1960-10-01;--:--;   -999.000;      9.852; 100
1960-11-01;--:--;   -999.000;     24.440; 100
1960-12-01;--:--;   -999.000;     24.581; 100
1961-01-01;--:--;   -999.000;     26.097; 100
1961-02-01;--:--;   -999.000;     25.571; 100
1961-03-01;--:--;   -999.000;     28.239; 100
1961-04-01;--:--;   -999.000;     69.413; 100
1961-05-01;--:--;   -999.000;     41.274; 100
1961-06-01;--:--;   -999.000;      6.887; 100
1961-07-01;--:--;   -999.000;      5.506; 100
1961-08-01;--:--;   -999.000;      1.474; 100
1961-09-01;--:--;   -999.000;      1.072; 100
1961-10-01;--:--;   -999.000;      6.881; 100
1961-11-01;--:--;   -999.000;     22.177; 100
1961-12-01;--:--;   -999.000;     22.471; 100
1962-01-01;--:--;   -999.000;     23.584; 100
1962-02-01;--:--;   -999.000;     23.521; 100
1962-03-01;--:--;   -999.000;     21.661; 100
1962-04-01;--:--;   -999.000;     28.770; 100
1962-05-01;--:--;   -999.000;      6.218; 100
1962-06-01;--:--;   -999.000;      0.593; 100
1962-07-01;--:--;   -999.000;      0.621; 100
1962-08-01;--:--;   -999.000;      0.337; 100
1962-09-01;--:--;   -999.000;      0.287; 100
1962-10-01;--:--;   -999.000;      2.325; 100
1962-11-01;--:--;   -999.000;     10.220; 100
1962-12-01;--:--;   -999.000;     19.806; 100
1963-01-01;--:--;   -999.000;     20.397; 100
1963-02-01;--:--;   -999.000;     18.739; 100
1963-03-01;--:--;   -999.000;     17.361; 100
1963-04-01;--:--;   -999.000;     13.540; 100
1963-05-01;--:--;   -999.000;     50.494; 100
1963-06-01;--:--;   -999.000;      4.433; 100
1963-07-01;--:--;   -999.000;      0.386; 100
1963-08-01;--:--;   -999.000;      0.850; 100
1963-09-01;--:--;   -999.000;      0.293; 100
1963-10-01;--:--;   -999.000;      0.671; 100
1963-11-01;--:--;   -999.000;     11.227; 100
1963-12-01;--:--;   -999.000;     17.565; 100
1964-01-01;--:--;   -999.000;     19.426; 100
1964-02-01;--:--;   -999.000;     19.493; 100
1964-03-01;--:--;   -999.000;     34.765; 100
1964-04-01;--:--;   -999.000;     96.250; 100
1964-05-01;--:--;   -999.000;     21.542; 100
1964-06-01;--:--;   -999.000;      2.803; 100
1964-07-01;--:--;   -999.000;      1.002; 100
1964-08-01;--:--;   -999.000;      0.432; 100
1964-09-01;--:--;   -999.000;      0.351; 100
1964-10-01;--:--;   -999.000;      1.812; 100
1964-11-01;--:--;   -999.000;     15.342; 100
1964-12-01;--:--;   -999.000;     19.794; 100
1965-01-01;--:--;   -999.000;     18.668; 100
1965-02-01;--:--;   -999.000;     21.921; 100
1965-03-01;--:--;   -999.000;     28.423; 100
1965-04-01;--:--;   -999.000;     89.540; 100
1965-05-01;--:--;   -999.000;     93.110; 100
1965-06-01;--:--;   -999.000;     31.067; 100
1965-07-01;--:--;   -999.000;     13.631; 100
1965-08-01;--:--;   -999.000;      3.861; 100
1965-09-01;--:--;   -999.000;      3.761; 100
1965-10-01;--:--;   -999.000;      9.616; 100
1965-11-01;--:--;   -999.000;     22.160; 100
1965-12-01;--:--;   -999.000;     26.632; 100
1966-01-01;--:--;   -999.000;     25.406; 100
1966-02-01;--:--;   -999.000;     24.304; 100
1966-03-01;--:--;   -999.000;     26.752; 100
1966-04-01;--:--;   -999.000;     42.233; 100
1966-05-01;--:--;   -999.000;     12.286; 100
1966-06-01;--:--;   -999.000;      2.085; 100
1966-07-01;--:--;   -999.000;      1.151; 100
1966-08-01;--:--;   -999.000;      0.851; 100
1966-09-01;--:--;   -999.000;      1.733; 100
1966-10-01;--:--;   -999.000;      5.318; 100
1966-11-01;--:--;   -999.000;     15.960; 100
1966-12-01;--:--;   -999.000;     20.239; 100
1967-01-01;--:--;   -999.000;     22.497; 100
1967-02-01;--:--;   -999.000;     23.614; 100
1967-03-01;--:--;   -999.000;     23.658; 100
1967-04-01;--:--;   -999.000;     59.983; 100
1967-05-01;--:--;   -999.000;     74.258; 100
