# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240200
# River:                 KUNAR SIND
# Station:               PUL-I-KAMA
# Country:               AF
# Latitude (DD):       34.466667
# Longitude (DD):      70.55
# Catchment area (km²):      26005.0
# Altitude (m ASL):        555.0
# Next downstream station:      2240100
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966-12 - 1979-09
# No. of years:          14
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4660
# DATA
YYYY-MM-DD;hh:mm; Value
1966-12-28;--:--;    120.000
1966-12-29;--:--;    120.000
1966-12-30;--:--;    120.000
1966-12-31;--:--;    120.000
1967-01-01;--:--;    120.000
1967-01-02;--:--;    118.000
1967-01-03;--:--;    116.000
1967-01-04;--:--;    115.000
1967-01-05;--:--;    115.000
1967-01-06;--:--;    116.000
1967-01-07;--:--;    116.000
1967-01-08;--:--;    116.000
1967-01-09;--:--;    115.000
1967-01-10;--:--;    113.000
1967-01-11;--:--;    113.000
1967-01-12;--:--;    111.000
1967-01-13;--:--;    113.000
1967-01-14;--:--;    111.000
1967-01-15;--:--;    111.000
1967-01-16;--:--;    111.000
1967-01-17;--:--;    111.000
1967-01-18;--:--;    110.000
1967-01-19;--:--;    108.000
1967-01-20;--:--;    108.000
1967-01-21;--:--;    106.000
1967-01-22;--:--;    108.000
1967-01-23;--:--;    108.000
1967-01-24;--:--;    108.000
1967-01-25;--:--;    108.000
1967-01-26;--:--;    106.000
1967-01-27;--:--;    106.000
1967-01-28;--:--;    106.000
1967-01-29;--:--;    106.000
1967-01-30;--:--;    105.000
1967-01-31;--:--;    105.000
1967-02-01;--:--;    105.000
1967-02-02;--:--;    105.000
1967-02-03;--:--;    105.000
1967-02-04;--:--;    106.000
1967-02-05;--:--;    106.000
1967-02-06;--:--;    105.000
1967-02-07;--:--;    105.000
1967-02-08;--:--;    113.000
1967-02-09;--:--;    110.000
1967-02-10;--:--;    108.000
1967-02-11;--:--;    108.000
1967-02-12;--:--;    106.000
1967-02-13;--:--;    106.000
1967-02-14;--:--;    106.000
1967-02-15;--:--;    106.000
1967-02-16;--:--;    110.000
1967-02-17;--:--;    118.000
1967-02-18;--:--;    115.000
1967-02-19;--:--;    115.000
1967-02-20;--:--;    116.000
1967-02-21;--:--;    115.000
1967-02-22;--:--;    111.000
1967-02-23;--:--;    110.000
1967-02-24;--:--;    108.000
1967-02-25;--:--;    108.000
1967-02-26;--:--;    108.000
1967-02-27;--:--;    106.000
1967-02-28;--:--;    108.000
1967-03-01;--:--;    110.000
1967-03-02;--:--;    110.000
1967-03-03;--:--;    108.000
1967-03-04;--:--;    106.000
1967-03-05;--:--;    106.000
1967-03-06;--:--;    106.000
1967-03-07;--:--;    108.000
1967-03-08;--:--;    108.000
1967-03-09;--:--;    111.000
1967-03-10;--:--;    116.000
1967-03-11;--:--;    129.000
1967-03-12;--:--;    137.000
1967-03-13;--:--;    142.000
1967-03-14;--:--;    131.000
1967-03-15;--:--;    129.000
1967-03-16;--:--;    135.000
1967-03-17;--:--;    129.000
1967-03-18;--:--;    124.000
1967-03-19;--:--;    122.000
1967-03-20;--:--;    120.000
1967-03-21;--:--;    120.000
1967-03-22;--:--;    120.000
1967-03-23;--:--;    120.000
1967-03-24;--:--;    124.000
1967-03-25;--:--;    204.000
1967-03-26;--:--;    235.000
1967-03-27;--:--;    176.000
1967-03-28;--:--;    171.000
1967-03-29;--:--;    166.000
1967-03-30;--:--;    166.000
1967-03-31;--:--;    166.000
1967-04-01;--:--;    186.000
1967-04-02;--:--;    180.000
1967-04-03;--:--;    173.000
1967-04-04;--:--;    168.000
1967-04-05;--:--;    190.000
1967-04-06;--:--;    183.000
1967-04-07;--:--;    173.000
1967-04-08;--:--;    173.000
1967-04-09;--:--;    173.000
1967-04-10;--:--;    173.000
1967-04-11;--:--;    176.000
1967-04-12;--:--;    178.000
1967-04-13;--:--;    178.000
1967-04-14;--:--;    186.000
1967-04-15;--:--;    209.000
1967-04-16;--:--;    235.000
1967-04-17;--:--;    287.000
1967-04-18;--:--;    347.000
1967-04-19;--:--;    302.000
1967-04-20;--:--;    302.000
1967-04-21;--:--;    321.000
1967-04-22;--:--;    352.000
1967-04-23;--:--;    380.000
1967-04-24;--:--;    437.000
1967-04-25;--:--;    485.000
1967-04-26;--:--;    552.000
1967-04-27;--:--;    845.000
1967-04-28;--:--;   1159.000
1967-04-29;--:--;   1075.000
1967-04-30;--:--;    748.000
1967-05-01;--:--;    640.000
1967-05-02;--:--;    539.000
1967-05-03;--:--;    497.000
1967-05-04;--:--;    474.000
1967-05-05;--:--;    453.000
1967-05-06;--:--;    427.000
1967-05-07;--:--;    411.000
1967-05-08;--:--;    443.000
1967-05-09;--:--;    558.000
1967-05-10;--:--;    648.000
1967-05-11;--:--;    618.000
1967-05-12;--:--;    539.000
1967-05-13;--:--;    491.000
1967-05-14;--:--;    480.000
1967-05-15;--:--;    485.000
1967-05-16;--:--;    515.000
1967-05-17;--:--;    571.000
1967-05-18;--:--;    640.000
1967-05-19;--:--;    721.000
1967-05-20;--:--;    805.000
1967-05-21;--:--;    885.000
1967-05-22;--:--;    895.000
1967-05-23;--:--;    885.000
1967-05-24;--:--;    825.000
1967-05-25;--:--;    618.000
1967-05-26;--:--;    539.000
1967-05-27;--:--;    480.000
1967-05-28;--:--;    443.000
1967-05-29;--:--;    464.000
1967-05-30;--:--;    552.000
1967-05-31;--:--;    670.000
1967-06-01;--:--;    825.000
1967-06-02;--:--;    955.000
1967-06-03;--:--;    995.000
1967-06-04;--:--;    975.000
1967-06-05;--:--;    995.000
1967-06-06;--:--;    965.000
1967-06-07;--:--;   1075.000
1967-06-08;--:--;   1183.000
1967-06-09;--:--;   1270.000
1967-06-10;--:--;   1295.000
1967-06-11;--:--;   1346.000
1967-06-12;--:--;   1515.000
1967-06-13;--:--;   1437.000
1967-06-14;--:--;   1437.000
1967-06-15;--:--;   1320.000
1967-06-16;--:--;   1183.000
1967-06-17;--:--;    905.000
1967-06-18;--:--;    757.000
1967-06-19;--:--;    748.000
1967-06-20;--:--;    875.000
1967-06-21;--:--;    975.000
1967-06-22;--:--;   1094.000
1967-06-23;--:--;   1171.000
1967-06-24;--:--;   1220.000
1967-06-25;--:--;   1295.000
1967-06-26;--:--;   1385.000
1967-06-27;--:--;   1398.000
1967-06-28;--:--;   1450.000
1967-06-29;--:--;   1528.000
1967-06-30;--:--;   1554.000
1967-07-01;--:--;   1567.000
1967-07-02;--:--;   1490.000
1967-07-03;--:--;   1500.000
1967-07-04;--:--;   1460.000
1967-07-05;--:--;   1380.000
1967-07-06;--:--;   1380.000
1967-07-07;--:--;   1420.000
1967-07-08;--:--;   1450.000
1967-07-09;--:--;   1400.000
1967-07-10;--:--;   1360.000
1967-07-11;--:--;   1350.000
1967-07-12;--:--;   1400.000
1967-07-13;--:--;   1460.000
1967-07-14;--:--;   1480.000
1967-07-15;--:--;   1480.000
1967-07-16;--:--;   1450.000
1967-07-17;--:--;   1440.000
1967-07-18;--:--;   1450.000
1967-07-19;--:--;   1400.000
1967-07-20;--:--;   1420.000
1967-07-21;--:--;   1480.000
1967-07-22;--:--;   1550.000
1967-07-23;--:--;   1610.000
1967-07-24;--:--;   1610.000
1967-07-25;--:--;   1580.000
1967-07-26;--:--;   1530.000
1967-07-27;--:--;   1520.000
1967-07-28;--:--;   1450.000
1967-07-29;--:--;   1380.000
1967-07-30;--:--;   1350.000
1967-07-31;--:--;   1320.000
1967-08-01;--:--;   1320.000
1967-08-02;--:--;   1330.000
1967-08-03;--:--;   1370.000
1967-08-04;--:--;   1410.000
1967-08-05;--:--;   1420.000
1967-08-06;--:--;   1350.000
1967-08-07;--:--;   1260.000
1967-08-08;--:--;   1180.000
1967-08-09;--:--;   1120.000
1967-08-10;--:--;   1060.000
1967-08-11;--:--;   1060.000
1967-08-12;--:--;   1080.000
1967-08-13;--:--;   1110.000
1967-08-14;--:--;   1160.000
1967-08-15;--:--;   1170.000
1967-08-16;--:--;   1180.000
1967-08-17;--:--;   1170.000
1967-08-18;--:--;   1150.000
1967-08-19;--:--;   1090.000
1967-08-20;--:--;   1080.000
1967-08-21;--:--;   1040.000
1967-08-22;--:--;   1000.000
1967-08-23;--:--;    995.000
1967-08-24;--:--;   1000.000
1967-08-25;--:--;    965.000
1967-08-26;--:--;    925.000
1967-08-27;--:--;    855.000
1967-08-28;--:--;    815.000
1967-08-29;--:--;    795.000
1967-08-30;--:--;    757.000
1967-08-31;--:--;    739.000
1967-09-01;--:--;    712.000
1967-09-02;--:--;    703.000
1967-09-03;--:--;    685.000
1967-09-04;--:--;    703.000
1967-09-05;--:--;    703.000
1967-09-06;--:--;    721.000
1967-09-07;--:--;    748.000
1967-09-08;--:--;    785.000
1967-09-09;--:--;    785.000
1967-09-10;--:--;    805.000
1967-09-11;--:--;    805.000
1967-09-12;--:--;    805.000
1967-09-13;--:--;    825.000
1967-09-14;--:--;    855.000
1967-09-15;--:--;    815.000
1967-09-16;--:--;    748.000
1967-09-17;--:--;    678.000
1967-09-18;--:--;    573.000
1967-09-19;--:--;    483.000
1967-09-20;--:--;    436.000
1967-09-21;--:--;    410.000
1967-09-22;--:--;    397.000
1967-09-23;--:--;    390.000
1967-09-24;--:--;    385.000
1967-09-25;--:--;    403.000
1967-09-26;--:--;    436.000
1967-09-27;--:--;    410.000
1967-09-28;--:--;    337.000
1967-09-29;--:--;    280.000
1967-09-30;--:--;    258.000
1967-10-01;--:--;    245.000
1967-10-02;--:--;    237.000
1967-10-03;--:--;    229.000
1967-10-04;--:--;    222.000
1967-10-05;--:--;    218.000
1967-10-06;--:--;    214.000
1967-10-07;--:--;    206.000
1967-10-08;--:--;    203.000
1967-10-09;--:--;    210.000
1967-10-10;--:--;    218.000
1967-10-11;--:--;    226.000
1967-10-12;--:--;    226.000
1967-10-13;--:--;    229.000
