# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240200
# River:                 KUNAR SIND
# Station:               PUL-I-KAMA
# Country:               AF
# Latitude (DD):       34.466667
# Longitude (DD):      70.55
# Catchment area (km²):      26005.0
# Altitude (m ASL):        555.0
# Next downstream station:      2240100
# Remarks:               USGS-ID: 342800070330000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 1979
# No. of years:          14
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 154
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-12-01;--:--;   -999.000;   -999.000;  13
1967-01-01;--:--;   -999.000;    110.935; 100
1967-02-01;--:--;   -999.000;    108.857; 100
1967-03-01;--:--;   -999.000;    134.032; 100
1967-04-01;--:--;   -999.000;    350.867; 100
1967-05-01;--:--;   -999.000;    587.452; 100
1967-06-01;--:--;   -999.000;   1170.867; 100
1967-07-01;--:--;   -999.000;   1455.387; 100
1967-08-01;--:--;   -999.000;   1095.355; 100
1967-09-01;--:--;   -999.000;    602.633; 100
1967-10-01;--:--;   -999.000;    232.710; 100
1967-11-01;--:--;   -999.000;    189.100; 100
1967-12-01;--:--;   -999.000;    139.710; 100
1968-01-01;--:--;   -999.000;    115.290; 100
1968-02-01;--:--;   -999.000;    127.448; 100
1968-03-01;--:--;   -999.000;    175.516; 100
1968-04-01;--:--;   -999.000;    492.967; 100
1968-05-01;--:--;   -999.000;    745.097; 100
1968-06-01;--:--;   -999.000;   1359.333; 100
1968-07-01;--:--;   -999.000;   1383.226; 100
1968-08-01;--:--;   -999.000;   1091.065; 100
1968-09-01;--:--;   -999.000;    457.100; 100
1968-10-01;--:--;   -999.000;    234.645; 100
1968-11-01;--:--;   -999.000;    163.567; 100
1968-12-01;--:--;   -999.000;    130.774; 100
1969-01-01;--:--;   -999.000;    102.032; 100
1969-02-01;--:--;   -999.000;     93.786; 100
1969-03-01;--:--;   -999.000;    204.645; 100
1969-04-01;--:--;   -999.000;    407.767; 100
1969-05-01;--:--;   -999.000;    534.645; 100
1969-06-01;--:--;   -999.000;   1028.167; 100
1969-07-01;--:--;   -999.000;   1137.226; 100
1969-08-01;--:--;   -999.000;    979.806; 100
1969-09-01;--:--;   -999.000;    494.367; 100
1969-10-01;--:--;   -999.000;    245.516; 100
1969-11-01;--:--;   -999.000;    188.967; 100
1969-12-01;--:--;   -999.000;    173.355; 100
1970-01-01;--:--;   -999.000;    146.548; 100
1970-02-01;--:--;   -999.000;    131.000; 100
1970-03-01;--:--;   -999.000;    150.419; 100
1970-04-01;--:--;   -999.000;    345.367; 100
1970-05-01;--:--;   -999.000;    611.355; 100
1970-06-01;--:--;   -999.000;    800.333; 100
1970-07-01;--:--;   -999.000;    882.516; 100
1970-08-01;--:--;   -999.000;   1073.452; 100
1970-09-01;--:--;   -999.000;    588.100; 100
1970-10-01;--:--;   -999.000;    203.419; 100
1970-11-01;--:--;   -999.000;    122.967; 100
1970-12-01;--:--;   -999.000;    110.194; 100
1971-01-01;--:--;   -999.000;     99.677; 100
1971-02-01;--:--;   -999.000;     93.750; 100
1971-03-01;--:--;   -999.000;    114.806; 100
1971-04-01;--:--;   -999.000;    222.600; 100
1971-05-01;--:--;   -999.000;    539.387; 100
1971-06-01;--:--;   -999.000;    929.867; 100
1971-07-01;--:--;   -999.000;    923.452; 100
1971-08-01;--:--;   -999.000;    838.613; 100
1971-09-01;--:--;   -999.000;    402.500; 100
1971-10-01;--:--;   -999.000;    212.903; 100
1971-11-01;--:--;   -999.000;    195.000; 100
1971-12-01;--:--;   -999.000;    147.419; 100
1972-01-01;--:--;   -999.000;    107.742; 100
1972-02-01;--:--;   -999.000;     96.897; 100
1972-03-01;--:--;   -999.000;    128.710; 100
1972-04-01;--:--;   -999.000;    247.367; 100
1972-05-01;--:--;   -999.000;    630.097; 100
1972-06-01;--:--;   -999.000;   1341.567; 100
1972-07-01;--:--;   -999.000;   1319.355; 100
1972-08-01;--:--;   -999.000;   1109.355; 100
1972-09-01;--:--;   -999.000;    614.733; 100
1972-10-01;--:--;   -999.000;    241.065; 100
1972-11-01;--:--;   -999.000;    157.533; 100
1972-12-01;--:--;   -999.000;    137.516; 100
1973-01-01;--:--;   -999.000;    114.355; 100
1973-02-01;--:--;   -999.000;    116.429; 100
1973-03-01;--:--;   -999.000;    198.194; 100
1973-04-01;--:--;   -999.000;    776.133; 100
1973-05-01;--:--;   -999.000;   1383.258; 100
