# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240210
# River:                 DARAH-YE PECH
# Station:               CHAGHASARAI
# Country:               AF
# Latitude (DD):       34.9
# Longitude (DD):      71.133333
# Catchment area (km²):      3855.0
# Altitude (m ASL):        790.0
# Next downstream station:      2240200
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960-02 - 1979-02
# No. of years:          20
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6946
# DATA
YYYY-MM-DD;hh:mm; Value
1960-02-23;--:--;     14.700
1960-02-24;--:--;     14.700
1960-02-25;--:--;     14.700
1960-02-26;--:--;     14.700
1960-02-27;--:--;     14.700
1960-02-28;--:--;     14.700
1960-02-29;--:--;     14.700
1960-03-01;--:--;     14.000
1960-03-02;--:--;     13.400
1960-03-03;--:--;     23.300
1960-03-04;--:--;     45.800
1960-03-05;--:--;     32.000
1960-03-06;--:--;     24.200
1960-03-07;--:--;     26.000
1960-03-08;--:--;     24.200
1960-03-09;--:--;     24.200
1960-03-10;--:--;     23.300
1960-03-11;--:--;     26.000
1960-03-12;--:--;     24.200
1960-03-13;--:--;     24.200
1960-03-14;--:--;     22.400
1960-03-15;--:--;     41.000
1960-03-16;--:--;     35.000
1960-03-17;--:--;     26.000
1960-03-18;--:--;     29.000
1960-03-19;--:--;     40.000
1960-03-20;--:--;     48.200
1960-03-21;--:--;     35.200
1960-03-22;--:--;     32.000
1960-03-23;--:--;     32.000
1960-03-24;--:--;     33.000
1960-03-25;--:--;     34.000
1960-03-26;--:--;     42.200
1960-03-27;--:--;     67.400
