# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240210
# River:                 DARAH-YE PECH
# Station:               CHAGHASARAI
# Country:               AF
# Latitude (DD):       34.9
# Longitude (DD):      71.133333
# Catchment area (km²):      3855.0
# Altitude (m ASL):        790.0
# Next downstream station:      2240200
# Remarks:               USGS-ID: 345400071080000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960 - 1979
# No. of years:          20
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 229
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1960-02-01;--:--;   -999.000;   -999.000;  24
1960-03-01;--:--;   -999.000;     33.271; 100
1960-04-01;--:--;   -999.000;     85.780; 100
1960-05-01;--:--;   -999.000;     92.290; 100
1960-06-01;--:--;   -999.000;    165.567; 100
1960-07-01;--:--;   -999.000;    168.297; 100
1960-08-01;--:--;   -999.000;     64.481; 100
1960-09-01;--:--;   -999.000;     18.307; 100
1960-10-01;--:--;   -999.000;     10.458; 100
1960-11-01;--:--;   -999.000;     13.530; 100
1960-12-01;--:--;   -999.000;      8.181; 100
1961-01-01;--:--;   -999.000;      6.458; 100
1961-02-01;--:--;   -999.000;      8.489; 100
1961-03-01;--:--;   -999.000;     15.352; 100
1961-04-01;--:--;   -999.000;     58.413; 100
1961-05-01;--:--;   -999.000;    123.794; 100
1961-06-01;--:--;   -999.000;    178.667; 100
1961-07-01;--:--;   -999.000;     85.503; 100
1961-08-01;--:--;   -999.000;     41.516; 100
1961-09-01;--:--;   -999.000;     30.660; 100
1961-10-01;--:--;   -999.000;     10.048; 100
1961-11-01;--:--;   -999.000;     12.317; 100
1961-12-01;--:--;   -999.000;      9.735; 100
1962-01-01;--:--;   -999.000;      8.032; 100
1962-02-01;--:--;   -999.000;      8.957; 100
1962-03-01;--:--;   -999.000;     12.419; 100
1962-04-01;--:--;   -999.000;     55.933; 100
1962-05-01;--:--;   -999.000;     75.781; 100
1962-06-01;--:--;   -999.000;    129.070; 100
1962-07-01;--:--;   -999.000;     68.181; 100
1962-08-01;--:--;   -999.000;     32.523; 100
1962-09-01;--:--;   -999.000;     19.043; 100
1962-10-01;--:--;   -999.000;     22.106; 100
1962-11-01;--:--;   -999.000;     15.107; 100
1962-12-01;--:--;   -999.000;      7.965; 100
1963-01-01;--:--;   -999.000;      6.577; 100
1963-02-01;--:--;   -999.000;      7.864; 100
1963-03-01;--:--;   -999.000;     26.977; 100
1963-04-01;--:--;   -999.000;     74.867; 100
1963-05-01;--:--;   -999.000;    145.006; 100
1963-06-01;--:--;   -999.000;    215.767; 100
1963-07-01;--:--;   -999.000;    124.065; 100
1963-08-01;--:--;   -999.000;     53.303; 100
1963-09-01;--:--;   -999.000;     20.453; 100
1963-10-01;--:--;   -999.000;     11.797; 100
1963-11-01;--:--;   -999.000;      9.300; 100
1963-12-01;--:--;   -999.000;     11.797; 100
1964-01-01;--:--;   -999.000;      7.787; 100
1964-02-01;--:--;   -999.000;      8.941; 100
1964-03-01;--:--;   -999.000;     18.677; 100
1964-04-01;--:--;   -999.000;     71.557; 100
1964-05-01;--:--;   -999.000;    129.426; 100
1964-06-01;--:--;   -999.000;    174.733; 100
1964-07-01;--:--;   -999.000;    111.574; 100
1964-08-01;--:--;   -999.000;     52.374; 100
1964-09-01;--:--;   -999.000;     18.650; 100
1964-10-01;--:--;   -999.000;     10.213; 100
1964-11-01;--:--;   -999.000;      8.467; 100
1964-12-01;--:--;   -999.000;      9.029; 100
1965-01-01;--:--;   -999.000;      8.261; 100
1965-02-01;--:--;   -999.000;      9.179; 100
1965-03-01;--:--;   -999.000;     21.713; 100
1965-04-01;--:--;   -999.000;     93.003; 100
1965-05-01;--:--;   -999.000;    166.452; 100
1965-06-01;--:--;   -999.000;    271.733; 100
1965-07-01;--:--;   -999.000;    219.161; 100
1965-08-01;--:--;   -999.000;     61.181; 100
1965-09-01;--:--;   -999.000;     26.900; 100
1965-10-01;--:--;   -999.000;     13.029; 100
1965-11-01;--:--;   -999.000;      9.237; 100
1965-12-01;--:--;   -999.000;      9.023; 100
1966-01-01;--:--;   -999.000;      9.261; 100
1966-02-01;--:--;   -999.000;     14.111; 100
1966-03-01;--:--;   -999.000;     37.752; 100
1966-04-01;--:--;   -999.000;    105.387; 100
1966-05-01;--:--;   -999.000;    152.974; 100
1966-06-01;--:--;   -999.000;    223.100; 100
1966-07-01;--:--;   -999.000;    141.710; 100
1966-08-01;--:--;   -999.000;     63.768; 100
1966-09-01;--:--;   -999.000;     32.497; 100
1966-10-01;--:--;   -999.000;     24.558; 100
1966-11-01;--:--;   -999.000;     15.910; 100
1966-12-01;--:--;   -999.000;      8.365; 100
1967-01-01;--:--;   -999.000;      6.169; 100
1967-02-01;--:--;   -999.000;      7.890; 100
1967-03-01;--:--;   -999.000;     18.352; 100
1967-04-01;--:--;   -999.000;     77.867; 100
1967-05-01;--:--;   -999.000;    149.442; 100
1967-06-01;--:--;   -999.000;    246.467; 100
1967-07-01;--:--;   -999.000;    160.984; 100
1967-08-01;--:--;   -999.000;     56.052; 100
1967-09-01;--:--;   -999.000;     33.843; 100
1967-10-01;--:--;   -999.000;     21.329; 100
1967-11-01;--:--;   -999.000;     15.969; 100
1967-12-01;--:--;   -999.000;     10.453; 100
1968-01-01;--:--;   -999.000;      9.636; 100
1968-02-01;--:--;   -999.000;     15.293; 100
1968-03-01;--:--;   -999.000;     39.639; 100
1968-04-01;--:--;   -999.000;     99.950; 100
1968-05-01;--:--;   -999.000;    152.887; 100
1968-06-01;--:--;   -999.000;    258.567; 100
1968-07-01;--:--;   -999.000;    203.774; 100
1968-08-01;--:--;   -999.000;     84.519; 100
1968-09-01;--:--;   -999.000;     25.120; 100
1968-10-01;--:--;   -999.000;     19.577; 100
1968-11-01;--:--;   -999.000;     13.833; 100
1968-12-01;--:--;   -999.000;     12.623; 100
1969-01-01;--:--;   -999.000;     10.195; 100
1969-02-01;--:--;   -999.000;     13.507; 100
1969-03-01;--:--;   -999.000;     54.703; 100
1969-04-01;--:--;   -999.000;    101.737; 100
1969-05-01;--:--;   -999.000;    162.984; 100
1969-06-01;--:--;   -999.000;    290.333; 100
1969-07-01;--:--;   -999.000;    144.729; 100
1969-08-01;--:--;   -999.000;     52.097; 100
1969-09-01;--:--;   -999.000;     24.320; 100
1969-10-01;--:--;   -999.000;     30.129; 100
1969-11-01;--:--;   -999.000;     23.130; 100
1969-12-01;--:--;   -999.000;     10.361; 100
1970-01-01;--:--;   -999.000;      9.492; 100
1970-02-01;--:--;   -999.000;      8.726; 100
1970-03-01;--:--;   -999.000;     17.361; 100
1970-04-01;--:--;   -999.000;     63.743; 100
1970-05-01;--:--;   -999.000;    136.700; 100
1970-06-01;--:--;   -999.000;    119.880; 100
1970-07-01;--:--;   -999.000;     33.474; 100
1970-08-01;--:--;   -999.000;     31.403; 100
1970-09-01;--:--;   -999.000;     18.860; 100
1970-10-01;--:--;   -999.000;      9.316; 100
1970-11-01;--:--;   -999.000;      6.437; 100
1970-12-01;--:--;   -999.000;      4.734; 100
1971-01-01;--:--;   -999.000;      3.495; 100
1971-02-01;--:--;   -999.000;      4.243; 100
1971-03-01;--:--;   -999.000;     14.485; 100
1971-04-01;--:--;   -999.000;     46.117; 100
1971-05-01;--:--;   -999.000;    127.471; 100
1971-06-01;--:--;   -999.000;     96.413; 100
1971-07-01;--:--;   -999.000;     38.158; 100
1971-08-01;--:--;   -999.000;     19.416; 100
1971-09-01;--:--;   -999.000;      9.167; 100
1971-10-01;--:--;   -999.000;      6.735; 100
1971-11-01;--:--;   -999.000;      5.939; 100
1971-12-01;--:--;   -999.000;      4.011; 100
1972-01-01;--:--;   -999.000;      4.572; 100
1972-02-01;--:--;   -999.000;     12.673; 100
1972-03-01;--:--;   -999.000;     39.539; 100
1972-04-01;--:--;   -999.000;    105.367; 100
1972-05-01;--:--;   -999.000;    196.323; 100
1972-06-01;--:--;   -999.000;    330.867; 100
1972-07-01;--:--;   -999.000;    123.232; 100
1972-08-01;--:--;   -999.000;     32.645; 100
1972-09-01;--:--;   -999.000;     20.747; 100
1972-10-01;--:--;   -999.000;     15.106; 100
1972-11-01;--:--;   -999.000;     13.210; 100
1972-12-01;--:--;   -999.000;     13.061; 100
1973-01-01;--:--;   -999.000;     13.168; 100
1973-02-01;--:--;   -999.000;     16.929; 100
1973-03-01;--:--;   -999.000;     46.106; 100
1973-04-01;--:--;   -999.000;    173.987; 100
1973-05-01;--:--;   -999.000;    277.613; 100
1973-06-01;--:--;   -999.000;    306.033; 100
1973-07-01;--:--;   -999.000;    151.206; 100
1973-08-01;--:--;   -999.000;     60.142; 100
1973-09-01;--:--;   -999.000;     20.100; 100
1973-10-01;--:--;   -999.000;     13.145; 100
1973-11-01;--:--;   -999.000;      8.782; 100
1973-12-01;--:--;   -999.000;      7.713; 100
1974-01-01;--:--;   -999.000;      6.244; 100
1974-02-01;--:--;   -999.000;      8.393; 100
1974-03-01;--:--;   -999.000;     19.671; 100
1974-04-01;--:--;   -999.000;     64.587; 100
1974-05-01;--:--;   -999.000;    141.603; 100
1974-06-01;--:--;   -999.000;    174.367; 100
1974-07-01;--:--;   -999.000;     67.500; 100
1974-08-01;--:--;   -999.000;     16.952; 100
1974-09-01;--:--;   -999.000;     10.270; 100
1974-10-01;--:--;   -999.000;      8.603; 100
1974-11-01;--:--;   -999.000;      7.851; 100
1974-12-01;--:--;   -999.000;      6.844; 100
1975-01-01;--:--;   -999.000;      6.847; 100
1975-02-01;--:--;   -999.000;      6.146; 100
1975-03-01;--:--;   -999.000;     11.416; 100
1975-04-01;--:--;   -999.000;     87.240; 100
1975-05-01;--:--;   -999.000;    137.903; 100
1975-06-01;--:--;   -999.000;    212.933; 100
