# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240300
# River:                 DARYA-YE PANJSHAYR
# Station:               SHUKHI
# Country:               AF
# Latitude (DD):       34.933333
# Longitude (DD):      69.483333
# Catchment area (km²):      10850.0
# Altitude (m ASL):        1400.0
# Next downstream station:      2240102
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966-10 - 1980-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5114
# DATA
YYYY-MM-DD;hh:mm; Value
1966-10-01;--:--;     28.800
1966-10-02;--:--;     28.800
1966-10-03;--:--;     27.500
1966-10-04;--:--;     27.500
1966-10-05;--:--;     27.500
1966-10-06;--:--;     27.500
1966-10-07;--:--;     27.500
1966-10-08;--:--;     27.500
1966-10-09;--:--;     27.500
1966-10-10;--:--;     28.800
1966-10-11;--:--;     28.800
1966-10-12;--:--;     28.800
1966-10-13;--:--;     28.800
1966-10-14;--:--;     27.500
1966-10-15;--:--;     27.500
1966-10-16;--:--;     27.500
1966-10-17;--:--;     27.500
1966-10-18;--:--;     27.500
1966-10-19;--:--;     27.500
1966-10-20;--:--;     27.500
1966-10-21;--:--;     27.500
1966-10-22;--:--;     27.500
1966-10-23;--:--;     27.500
1966-10-24;--:--;     27.500
1966-10-25;--:--;     27.500
1966-10-26;--:--;     27.500
1966-10-27;--:--;     27.500
1966-10-28;--:--;     27.500
1966-10-29;--:--;     27.500
1966-10-30;--:--;     27.500
1966-10-31;--:--;     27.500
1966-11-01;--:--;     26.400
1966-11-02;--:--;     26.400
1966-11-03;--:--;     26.400
1966-11-04;--:--;     26.400
1966-11-05;--:--;     25.200
1966-11-06;--:--;     25.200
1966-11-07;--:--;     26.400
1966-11-08;--:--;     26.400
1966-11-09;--:--;     26.400
1966-11-10;--:--;     26.400
1966-11-11;--:--;     28.800
1966-11-12;--:--;     28.800
1966-11-13;--:--;     29.800
1966-11-14;--:--;     29.800
1966-11-15;--:--;     28.800
1966-11-16;--:--;     28.800
1966-11-17;--:--;     28.800
1966-11-18;--:--;     28.800
1966-11-19;--:--;     29.800
1966-11-20;--:--;     29.800
1966-11-21;--:--;     29.800
1966-11-22;--:--;     29.800
1966-11-23;--:--;     29.800
1966-11-24;--:--;     28.800
1966-11-25;--:--;     28.800
1966-11-26;--:--;     28.800
1966-11-27;--:--;     29.800
1966-11-28;--:--;     29.800
1966-11-29;--:--;     29.000
1966-11-30;--:--;     31.000
1966-12-01;--:--;     31.000
1966-12-02;--:--;     31.000
1966-12-03;--:--;     31.000
1966-12-04;--:--;     32.100
1966-12-05;--:--;     32.100
1966-12-06;--:--;     32.100
1966-12-07;--:--;     33.200
1966-12-08;--:--;     33.200
1966-12-09;--:--;     34.500
1966-12-10;--:--;     34.500
1966-12-11;--:--;     34.500
1966-12-12;--:--;     34.500
1966-12-13;--:--;     34.500
1966-12-14;--:--;     34.500
1966-12-15;--:--;     33.200
1966-12-16;--:--;     33.200
1966-12-17;--:--;     33.200
1966-12-18;--:--;     32.100
1966-12-19;--:--;     32.100
1966-12-20;--:--;     32.100
1966-12-21;--:--;     32.100
1966-12-22;--:--;     34.500
1966-12-23;--:--;     33.200
1966-12-24;--:--;     32.100
1966-12-25;--:--;     31.000
1966-12-26;--:--;     35.800
1966-12-27;--:--;     35.800
1966-12-28;--:--;     38.200
1966-12-29;--:--;     39.500
1966-12-30;--:--;     39.500
1966-12-31;--:--;     37.000
1967-01-01;--:--;     37.000
1967-01-02;--:--;     37.000
1967-01-03;--:--;     37.000
1967-01-04;--:--;     38.200
1967-01-05;--:--;     42.500
1967-01-06;--:--;     41.000
1967-01-07;--:--;     38.200
1967-01-08;--:--;     35.800
1967-01-09;--:--;     37.000
1967-01-10;--:--;     37.000
1967-01-11;--:--;     41.000
1967-01-12;--:--;     39.500
1967-01-13;--:--;     39.500
1967-01-14;--:--;     42.500
1967-01-15;--:--;     42.500
1967-01-16;--:--;     41.000
1967-01-17;--:--;     38.200
1967-01-18;--:--;     37.000
1967-01-19;--:--;     37.000
1967-01-20;--:--;     35.800
1967-01-21;--:--;     34.500
1967-01-22;--:--;     34.500
1967-01-23;--:--;     33.200
1967-01-24;--:--;     34.500
1967-01-25;--:--;     32.100
1967-01-26;--:--;     32.100
1967-01-27;--:--;     29.800
1967-01-28;--:--;     27.500
1967-01-29;--:--;     27.500
1967-01-30;--:--;     28.800
1967-01-31;--:--;     29.800
1967-02-01;--:--;     29.800
1967-02-02;--:--;     29.800
1967-02-03;--:--;     29.800
1967-02-04;--:--;     27.500
1967-02-05;--:--;     24.700
1967-02-06;--:--;     24.100
1967-02-07;--:--;     28.000
1967-02-08;--:--;     26.900
1967-02-09;--:--;     24.700
1967-02-10;--:--;     24.100
1967-02-11;--:--;     23.600
1967-02-12;--:--;     23.600
1967-02-13;--:--;     23.600
1967-02-14;--:--;     24.700
1967-02-15;--:--;     26.300
1967-02-16;--:--;     30.000
1967-02-17;--:--;     28.000
1967-02-18;--:--;     26.300
1967-02-19;--:--;     28.000
1967-02-20;--:--;     26.300
1967-02-21;--:--;     24.700
1967-02-22;--:--;     24.100
1967-02-23;--:--;     23.600
1967-02-24;--:--;     23.600
1967-02-25;--:--;     23.600
1967-02-26;--:--;     23.600
1967-02-27;--:--;     24.100
1967-02-28;--:--;     24.100
1967-03-01;--:--;     23.600
1967-03-02;--:--;     23.600
1967-03-03;--:--;     23.600
1967-03-04;--:--;     23.600
1967-03-05;--:--;     23.000
1967-03-06;--:--;     23.000
1967-03-07;--:--;     23.000
1967-03-08;--:--;     22.500
1967-03-09;--:--;     23.000
1967-03-10;--:--;     30.000
1967-03-11;--:--;     34.500
1967-03-12;--:--;     28.000
1967-03-13;--:--;     26.900
1967-03-14;--:--;     25.800
1967-03-15;--:--;     30.800
1967-03-16;--:--;     33.800
1967-03-17;--:--;     28.000
1967-03-18;--:--;     27.400
1967-03-19;--:--;     26.900
1967-03-20;--:--;     27.400
1967-03-21;--:--;     26.900
1967-03-22;--:--;     26.900
1967-03-23;--:--;     26.900
1967-03-24;--:--;     31.500
1967-03-25;--:--;     45.900
1967-03-26;--:--;     39.600
1967-03-27;--:--;     36.900
1967-03-28;--:--;     36.000
1967-03-29;--:--;     36.900
1967-03-30;--:--;     36.900
1967-03-31;--:--;     44.100
1967-04-01;--:--;     46.800
1967-04-02;--:--;     43.200
1967-04-03;--:--;     48.600
1967-04-04;--:--;     46.800
1967-04-05;--:--;     43.200
1967-04-06;--:--;     42.300
1967-04-07;--:--;     43.200
1967-04-08;--:--;     44.100
1967-04-09;--:--;     43.200
1967-04-10;--:--;     44.100
1967-04-11;--:--;     45.000
1967-04-12;--:--;     48.600
1967-04-13;--:--;     49.500
1967-04-14;--:--;     50.400
1967-04-15;--:--;     53.100
1967-04-16;--:--;     62.800
1967-04-17;--:--;     96.500
1967-04-18;--:--;    104.000
1967-04-19;--:--;     95.000
1967-04-20;--:--;     98.000
1967-04-21;--:--;    107.000
1967-04-22;--:--;    118.000
1967-04-23;--:--;    127.000
1967-04-24;--:--;    137.000
1967-04-25;--:--;    163.000
1967-04-26;--:--;    227.000
1967-04-27;--:--;    535.000
1967-04-28;--:--;    481.000
1967-04-29;--:--;    321.000
1967-04-30;--:--;    283.000
1967-05-01;--:--;    247.000
1967-05-02;--:--;    221.000
1967-05-03;--:--;    205.000
1967-05-04;--:--;    221.000
1967-05-05;--:--;    175.000
1967-05-06;--:--;    160.000
1967-05-07;--:--;    156.000
1967-05-08;--:--;    163.000
1967-05-09;--:--;    175.000
