# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240300
# River:                 DARYA-YE PANJSHAYR
# Station:               SHUKHI
# Country:               AF
# Latitude (DD):       34.933333
# Longitude (DD):      69.483333
# Catchment area (km²):      10850.0
# Altitude (m ASL):        1400.0
# Next downstream station:      2240102
# Remarks:               USGS-ID: 345600069290000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 1980
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 168
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-10-01;--:--;   -999.000;     27.752; 100
1966-11-01;--:--;   -999.000;     28.300; 100
1966-12-01;--:--;   -999.000;     33.784; 100
1967-01-01;--:--;   -999.000;     36.097; 100
1967-02-01;--:--;   -999.000;     25.757; 100
1967-03-01;--:--;   -999.000;     29.577; 100
1967-04-01;--:--;   -999.000;    121.580; 100
1967-05-01;--:--;   -999.000;    176.419; 100
1967-06-01;--:--;   -999.000;    390.100; 100
1967-07-01;--:--;   -999.000;    267.516; 100
1967-08-01;--:--;   -999.000;     69.961; 100
1967-09-01;--:--;   -999.000;     32.487; 100
1967-10-01;--:--;   -999.000;     29.452; 100
1967-11-01;--:--;   -999.000;     30.167; 100
1967-12-01;--:--;   -999.000;     37.155; 100
1968-01-01;--:--;   -999.000;     42.258; 100
1968-02-01;--:--;   -999.000;     35.979; 100
1968-03-01;--:--;   -999.000;     56.097; 100
1968-04-01;--:--;   -999.000;    143.233; 100
1968-05-01;--:--;   -999.000;    200.742; 100
1968-06-01;--:--;   -999.000;    493.333; 100
1968-07-01;--:--;   -999.000;    362.387; 100
1968-08-01;--:--;   -999.000;    112.032; 100
