# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240301
# River:                 DARYA-YE PANJSHAYR
# Station:               GULBAHAR
# Country:               AF
# Latitude (DD):       35.166667
# Longitude (DD):      69.283333
# Catchment area (km²):      3565.0
# Altitude (m ASL):        1605.0
# Next downstream station:      2240300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959-10 - 1980-09
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7671
# DATA
YYYY-MM-DD;hh:mm; Value
1959-10-01;--:--;     23.000
1959-10-02;--:--;     22.000
1959-10-03;--:--;     21.000
1959-10-04;--:--;     21.000
1959-10-05;--:--;     20.000
1959-10-06;--:--;     20.000
1959-10-07;--:--;     20.000
1959-10-08;--:--;     20.000
1959-10-09;--:--;     19.000
1959-10-10;--:--;     19.000
1959-10-11;--:--;     18.000
1959-10-12;--:--;     18.000
1959-10-13;--:--;     18.000
1959-10-14;--:--;     17.000
1959-10-15;--:--;     17.000
1959-10-16;--:--;     17.000
1959-10-17;--:--;     16.000
1959-10-18;--:--;     16.000
1959-10-19;--:--;     16.000
1959-10-20;--:--;     16.000
1959-10-21;--:--;     16.000
1959-10-22;--:--;     16.000
1959-10-23;--:--;     16.000
1959-10-24;--:--;     15.000
1959-10-25;--:--;     15.000
1959-10-26;--:--;     15.000
1959-10-27;--:--;     14.000
1959-10-28;--:--;     14.000
1959-10-29;--:--;     14.000
1959-10-30;--:--;     14.000
1959-10-31;--:--;     14.000
1959-11-01;--:--;     16.000
1959-11-02;--:--;     18.000
1959-11-03;--:--;     19.000
1959-11-04;--:--;     18.000
1959-11-05;--:--;     19.000
1959-11-06;--:--;     20.000
1959-11-07;--:--;     17.000
1959-11-08;--:--;     17.000
1959-11-09;--:--;     16.000
1959-11-10;--:--;     16.000
1959-11-11;--:--;     15.000
1959-11-12;--:--;     15.000
1959-11-13;--:--;     15.000
1959-11-14;--:--;     15.000
1959-11-15;--:--;     15.000
1959-11-16;--:--;     15.000
1959-11-17;--:--;     15.000
1959-11-18;--:--;     14.000
1959-11-19;--:--;     14.000
1959-11-20;--:--;     14.000
1959-11-21;--:--;     14.000
1959-11-22;--:--;     14.000
1959-11-23;--:--;     14.000
1959-11-24;--:--;     14.000
1959-11-25;--:--;     14.000
1959-11-26;--:--;     14.000
1959-11-27;--:--;     14.000
1959-11-28;--:--;     14.000
1959-11-29;--:--;     13.000
1959-11-30;--:--;     13.000
1959-12-01;--:--;     13.000
1959-12-02;--:--;     13.000
1959-12-03;--:--;     14.000
1959-12-04;--:--;     14.000
1959-12-05;--:--;     14.000
1959-12-06;--:--;     13.000
1959-12-07;--:--;     13.000
1959-12-08;--:--;     13.000
1959-12-09;--:--;     13.000
1959-12-10;--:--;     13.000
1959-12-11;--:--;     12.000
1959-12-12;--:--;     12.000
1959-12-13;--:--;     12.000
