# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240301
# River:                 DARYA-YE PANJSHAYR
# Station:               GULBAHAR
# Country:               AF
# Latitude (DD):       35.166667
# Longitude (DD):      69.283333
# Catchment area (km²):      3565.0
# Altitude (m ASL):        1605.0
# Next downstream station:      2240300
# Remarks:               USGS-ID: 351000069170000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959 - 1980
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 252
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-10-01;--:--;   -999.000;     17.323; 100
1959-11-01;--:--;   -999.000;     15.367; 100
1959-12-01;--:--;   -999.000;     12.226; 100
1960-01-01;--:--;   -999.000;      9.581; 100
1960-02-01;--:--;   -999.000;     10.069; 100
1960-03-01;--:--;   -999.000;     16.194; 100
1960-04-01;--:--;   -999.000;     37.800; 100
1960-05-01;--:--;   -999.000;    109.871; 100
1960-06-01;--:--;   -999.000;    305.767; 100
1960-07-01;--:--;   -999.000;    298.226; 100
1960-08-01;--:--;   -999.000;     93.484; 100
1960-09-01;--:--;   -999.000;     33.467; 100
1960-10-01;--:--;   -999.000;     20.342; 100
1960-11-01;--:--;   -999.000;     16.123; 100
1960-12-01;--:--;   -999.000;     12.387; 100
1961-01-01;--:--;   -999.000;      9.642; 100
1961-02-01;--:--;   -999.000;      8.071; 100
1961-03-01;--:--;   -999.000;      9.145; 100
1961-04-01;--:--;   -999.000;     25.393; 100
1961-05-01;--:--;   -999.000;     92.371; 100
1961-06-01;--:--;   -999.000;    234.933; 100
1961-07-01;--:--;   -999.000;    137.861; 100
1961-08-01;--:--;   -999.000;     52.810; 100
1961-09-01;--:--;   -999.000;     27.693; 100
1961-10-01;--:--;   -999.000;     17.684; 100
1961-11-01;--:--;   -999.000;     14.720; 100
1961-12-01;--:--;   -999.000;     10.526; 100
1962-01-01;--:--;   -999.000;      8.823; 100
1962-02-01;--:--;   -999.000;      7.843; 100
1962-03-01;--:--;   -999.000;      8.481; 100
1962-04-01;--:--;   -999.000;     24.343; 100
1962-05-01;--:--;   -999.000;     57.758; 100
1962-06-01;--:--;   -999.000;    237.740; 100
1962-07-01;--:--;   -999.000;    153.155; 100
1962-08-01;--:--;   -999.000;     48.639; 100
1962-09-01;--:--;   -999.000;     29.490; 100
1962-10-01;--:--;   -999.000;     17.858; 100
1962-11-01;--:--;   -999.000;     13.430; 100
1962-12-01;--:--;   -999.000;      9.697; 100
1963-01-01;--:--;   -999.000;      7.435; 100
1963-02-01;--:--;   -999.000;      7.571; 100
1963-03-01;--:--;   -999.000;     11.735; 100
1963-04-01;--:--;   -999.000;     27.400; 100
1963-05-01;--:--;   -999.000;     75.632; 100
1963-06-01;--:--;   -999.000;    315.967; 100
1963-07-01;--:--;   -999.000;    161.519; 100
1963-08-01;--:--;   -999.000;     41.223; 100
1963-09-01;--:--;   -999.000;     13.650; 100
1963-10-01;--:--;   -999.000;     12.271; 100
1963-11-01;--:--;   -999.000;     10.513; 100
1963-12-01;--:--;   -999.000;      9.742; 100
1964-01-01;--:--;   -999.000;      7.784; 100
1964-02-01;--:--;   -999.000;      7.459; 100
1964-03-01;--:--;   -999.000;     12.603; 100
1964-04-01;--:--;   -999.000;     40.770; 100
1964-05-01;--:--;   -999.000;     99.671; 100
1964-06-01;--:--;   -999.000;    225.770; 100
1964-07-01;--:--;   -999.000;    190.916; 100
1964-08-01;--:--;   -999.000;     54.074; 100
1964-09-01;--:--;   -999.000;     21.573; 100
1964-10-01;--:--;   -999.000;     15.416; 100
1964-11-01;--:--;   -999.000;     13.387; 100
1964-12-01;--:--;   -999.000;     12.939; 100
1965-01-01;--:--;   -999.000;     11.916; 100
1965-02-01;--:--;   -999.000;     11.661; 100
1965-03-01;--:--;   -999.000;     15.181; 100
1965-04-01;--:--;   -999.000;     38.440; 100
1965-05-01;--:--;   -999.000;     90.565; 100
1965-06-01;--:--;   -999.000;    202.400; 100
1965-07-01;--:--;   -999.000;    231.226; 100
1965-08-01;--:--;   -999.000;     68.458; 100
1965-09-01;--:--;   -999.000;     28.190; 100
1965-10-01;--:--;   -999.000;     22.358; 100
1965-11-01;--:--;   -999.000;     18.147; 100
1965-12-01;--:--;   -999.000;     14.845; 100
1966-01-01;--:--;   -999.000;     10.748; 100
1966-02-01;--:--;   -999.000;     10.553; 100
1966-03-01;--:--;   -999.000;     14.439; 100
1966-04-01;--:--;   -999.000;     38.970; 100
1966-05-01;--:--;   -999.000;     80.706; 100
1966-06-01;--:--;   -999.000;    227.767; 100
1966-07-01;--:--;   -999.000;    120.000; 100
1966-08-01;--:--;   -999.000;     55.968; 100
1966-09-01;--:--;   -999.000;     25.110; 100
1966-10-01;--:--;   -999.000;     16.665; 100
1966-11-01;--:--;   -999.000;     12.993; 100
1966-12-01;--:--;   -999.000;     10.732; 100
1967-01-01;--:--;   -999.000;      9.216; 100
1967-02-01;--:--;   -999.000;     12.879; 100
1967-03-01;--:--;   -999.000;     14.087; 100
1967-04-01;--:--;   -999.000;     35.497; 100
1967-05-01;--:--;   -999.000;     77.103; 100
1967-06-01;--:--;   -999.000;    218.700; 100
1967-07-01;--:--;   -999.000;    183.581; 100
1967-08-01;--:--;   -999.000;     72.313; 100
