# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240302
# River:                 DARYA-YE PANJSHAYR
# Station:               OMARZ
# Country:               AF
# Latitude (DD):       35.366667
# Longitude (DD):      69.633333
# Catchment area (km²):      2240.0
# Altitude (m ASL):        2010.0
# Next downstream station:      2240301
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1962-10 - 1980-09
# No. of years:          19
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6575
# DATA
YYYY-MM-DD;hh:mm; Value
1962-10-01;--:--;     13.500
1962-10-02;--:--;     13.000
1962-10-03;--:--;     13.000
1962-10-04;--:--;     13.000
1962-10-05;--:--;     13.000
1962-10-06;--:--;     12.600
1962-10-07;--:--;     12.200
1962-10-08;--:--;     12.200
1962-10-09;--:--;     12.200
1962-10-10;--:--;     12.200
1962-10-11;--:--;     11.800
1962-10-12;--:--;     11.800
1962-10-13;--:--;     12.200
1962-10-14;--:--;     12.600
1962-10-15;--:--;     12.600
1962-10-16;--:--;     12.200
1962-10-17;--:--;     12.200
1962-10-18;--:--;     11.800
1962-10-19;--:--;     11.800
1962-10-20;--:--;     11.800
1962-10-21;--:--;     11.800
1962-10-22;--:--;     11.800
1962-10-23;--:--;     11.800
1962-10-24;--:--;     11.400
1962-10-25;--:--;     11.400
1962-10-26;--:--;     11.800
1962-10-27;--:--;     11.400
1962-10-28;--:--;     11.400
1962-10-29;--:--;     11.400
1962-10-30;--:--;     11.400
1962-10-31;--:--;     11.000
1962-11-01;--:--;     11.000
1962-11-02;--:--;     10.600
1962-11-03;--:--;     11.000
1962-11-04;--:--;     10.600
1962-11-05;--:--;     10.600
1962-11-06;--:--;     10.600
1962-11-07;--:--;     10.600
1962-11-08;--:--;     10.600
1962-11-09;--:--;     10.600
1962-11-10;--:--;     10.600
1962-11-11;--:--;     10.600
1962-11-12;--:--;     10.600
1962-11-13;--:--;     10.600
1962-11-14;--:--;     10.600
1962-11-15;--:--;     10.600
1962-11-16;--:--;     10.600
1962-11-17;--:--;     10.600
1962-11-18;--:--;     10.600
1962-11-19;--:--;     10.600
1962-11-20;--:--;     10.200
1962-11-21;--:--;     10.200
1962-11-22;--:--;     10.200
1962-11-23;--:--;      9.800
1962-11-24;--:--;      9.400
1962-11-25;--:--;     10.200
1962-11-26;--:--;     10.200
1962-11-27;--:--;     10.200
1962-11-28;--:--;     10.200
1962-11-29;--:--;     10.200
1962-11-30;--:--;     10.200
1962-12-01;--:--;      9.400
1962-12-02;--:--;      9.400
1962-12-03;--:--;      9.400
1962-12-04;--:--;      9.000
1962-12-05;--:--;      9.400
1962-12-06;--:--;      9.000
1962-12-07;--:--;      9.000
1962-12-08;--:--;      9.000
1962-12-09;--:--;      9.000
1962-12-10;--:--;      8.700
1962-12-11;--:--;      8.700
1962-12-12;--:--;      8.700
1962-12-13;--:--;      8.700
1962-12-14;--:--;      8.700
1962-12-15;--:--;      8.400
1962-12-16;--:--;      8.700
1962-12-17;--:--;      8.700
1962-12-18;--:--;      8.700
1962-12-19;--:--;      8.700
1962-12-20;--:--;      8.700
1962-12-21;--:--;      8.400
1962-12-22;--:--;      8.400
1962-12-23;--:--;      8.400
1962-12-24;--:--;      8.400
1962-12-25;--:--;      8.400
1962-12-26;--:--;      8.400
1962-12-27;--:--;      8.400
1962-12-28;--:--;      8.400
1962-12-29;--:--;      8.400
1962-12-30;--:--;      8.200
1962-12-31;--:--;      8.200
1963-01-01;--:--;      8.200
1963-01-02;--:--;      8.200
1963-01-03;--:--;      7.900
1963-01-04;--:--;      7.900
1963-01-05;--:--;      7.900
1963-01-06;--:--;      7.900
1963-01-07;--:--;      7.900
1963-01-08;--:--;      7.900
1963-01-09;--:--;      7.600
1963-01-10;--:--;      7.600
1963-01-11;--:--;      7.600
1963-01-12;--:--;      7.600
1963-01-13;--:--;      7.600
1963-01-14;--:--;      7.300
1963-01-15;--:--;      7.300
1963-01-16;--:--;      7.300
1963-01-17;--:--;      7.300
1963-01-18;--:--;      7.300
1963-01-19;--:--;      7.300
1963-01-20;--:--;      7.300
1963-01-21;--:--;      7.300
1963-01-22;--:--;      7.300
1963-01-23;--:--;      7.600
1963-01-24;--:--;      7.600
1963-01-25;--:--;      7.600
1963-01-26;--:--;      7.600
1963-01-27;--:--;      7.600
1963-01-28;--:--;      7.600
1963-01-29;--:--;      7.600
1963-01-30;--:--;      7.600
1963-01-31;--:--;      7.600
1963-02-01;--:--;      7.600
1963-02-02;--:--;      7.600
1963-02-03;--:--;      7.600
1963-02-04;--:--;      7.600
1963-02-05;--:--;      7.600
1963-02-06;--:--;      7.600
1963-02-07;--:--;      7.300
1963-02-08;--:--;      7.300
1963-02-09;--:--;      7.300
1963-02-10;--:--;      7.300
1963-02-11;--:--;      7.300
1963-02-12;--:--;      7.300
1963-02-13;--:--;      7.300
1963-02-14;--:--;      7.300
1963-02-15;--:--;      7.300
1963-02-16;--:--;      7.300
1963-02-17;--:--;      7.300
1963-02-18;--:--;      7.300
1963-02-19;--:--;      7.000
1963-02-20;--:--;      7.000
1963-02-21;--:--;   -999.000
1963-02-22;--:--;   -999.000
1963-02-23;--:--;   -999.000
1963-02-24;--:--;   -999.000
1963-02-25;--:--;   -999.000
1963-02-26;--:--;   -999.000
1963-02-27;--:--;   -999.000
1963-02-28;--:--;   -999.000
1963-03-01;--:--;   -999.000
1963-03-02;--:--;   -999.000
1963-03-03;--:--;   -999.000
1963-03-04;--:--;   -999.000
1963-03-05;--:--;   -999.000
1963-03-06;--:--;   -999.000
1963-03-07;--:--;   -999.000
1963-03-08;--:--;   -999.000
1963-03-09;--:--;   -999.000
1963-03-10;--:--;   -999.000
1963-03-11;--:--;   -999.000
1963-03-12;--:--;   -999.000
1963-03-13;--:--;   -999.000
1963-03-14;--:--;   -999.000
1963-03-15;--:--;   -999.000
1963-03-16;--:--;   -999.000
1963-03-17;--:--;   -999.000
1963-03-18;--:--;   -999.000
1963-03-19;--:--;   -999.000
1963-03-20;--:--;   -999.000
1963-03-21;--:--;   -999.000
1963-03-22;--:--;   -999.000
1963-03-23;--:--;   -999.000
1963-03-24;--:--;   -999.000
1963-03-25;--:--;   -999.000
1963-03-26;--:--;   -999.000
1963-03-27;--:--;   -999.000
1963-03-28;--:--;   -999.000
1963-03-29;--:--;   -999.000
1963-03-30;--:--;   -999.000
1963-03-31;--:--;   -999.000
1963-04-01;--:--;   -999.000
1963-04-02;--:--;   -999.000
1963-04-03;--:--;   -999.000
1963-04-04;--:--;   -999.000
1963-04-05;--:--;   -999.000
1963-04-06;--:--;   -999.000
1963-04-07;--:--;   -999.000
1963-04-08;--:--;   -999.000
1963-04-09;--:--;   -999.000
1963-04-10;--:--;   -999.000
1963-04-11;--:--;   -999.000
1963-04-12;--:--;   -999.000
1963-04-13;--:--;   -999.000
1963-04-14;--:--;   -999.000
1963-04-15;--:--;   -999.000
1963-04-16;--:--;   -999.000
1963-04-17;--:--;   -999.000
1963-04-18;--:--;   -999.000
1963-04-19;--:--;   -999.000
1963-04-20;--:--;   -999.000
1963-04-21;--:--;   -999.000
1963-04-22;--:--;   -999.000
1963-04-23;--:--;   -999.000
1963-04-24;--:--;   -999.000
1963-04-25;--:--;   -999.000
1963-04-26;--:--;   -999.000
1963-04-27;--:--;   -999.000
1963-04-28;--:--;   -999.000
1963-04-29;--:--;   -999.000
1963-04-30;--:--;   -999.000
1963-05-01;--:--;   -999.000
1963-05-02;--:--;   -999.000
1963-05-03;--:--;   -999.000
1963-05-04;--:--;   -999.000
1963-05-05;--:--;   -999.000
1963-05-06;--:--;   -999.000
1963-05-07;--:--;   -999.000
1963-05-08;--:--;   -999.000
1963-05-09;--:--;   -999.000
1963-05-10;--:--;   -999.000
1963-05-11;--:--;   -999.000
1963-05-12;--:--;   -999.000
1963-05-13;--:--;   -999.000
1963-05-14;--:--;   -999.000
