# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240302
# River:                 DARYA-YE PANJSHAYR
# Station:               OMARZ
# Country:               AF
# Latitude (DD):       35.366667
# Longitude (DD):      69.633333
# Catchment area (km²):      2240.0
# Altitude (m ASL):        2010.0
# Next downstream station:      2240301
# Remarks:               USGS-ID: 352200069380000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1962 - 1980
# No. of years:          19
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 216
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1962-10-01;--:--;   -999.000;     12.074; 100
1962-11-01;--:--;   -999.000;     10.440; 100
1962-12-01;--:--;   -999.000;      8.710; 100
1963-01-01;--:--;   -999.000;      7.610; 100
1963-02-01;--:--;   -999.000;      7.360;  71
1963-03-01;--:--;   -999.000;   -999.000;   0
1963-04-01;--:--;   -999.000;   -999.000;   0
1963-05-01;--:--;   -999.000;   -999.000;   0
1963-06-01;--:--;   -999.000;   -999.000;  20
1963-07-01;--:--;   -999.000;    105.235; 100
1963-08-01;--:--;   -999.000;     41.142; 100
1963-09-01;--:--;   -999.000;     19.367; 100
1963-10-01;--:--;   -999.000;     14.823; 100
1963-11-01;--:--;   -999.000;     10.907; 100
1963-12-01;--:--;   -999.000;      8.319; 100
1964-01-01;--:--;   -999.000;      7.429; 100
1964-02-01;--:--;   -999.000;      7.579; 100
1964-03-01;--:--;   -999.000;      8.452; 100
1964-04-01;--:--;   -999.000;     14.530; 100
1964-05-01;--:--;   -999.000;     45.255; 100
1964-06-01;--:--;   -999.000;    129.677; 100
1964-07-01;--:--;   -999.000;    125.571; 100
1964-08-01;--:--;   -999.000;     52.671; 100
1964-09-01;--:--;   -999.000;     20.157; 100
1964-10-01;--:--;   -999.000;     10.971; 100
1964-11-01;--:--;   -999.000;      7.640; 100
1964-12-01;--:--;   -999.000;      6.206; 100
1965-01-01;--:--;   -999.000;      6.200; 100
1965-02-01;--:--;   -999.000;      6.018; 100
1965-03-01;--:--;   -999.000;      8.529; 100
1965-04-01;--:--;   -999.000;     12.577; 100
1965-05-01;--:--;   -999.000;     42.110; 100
1965-06-01;--:--;   -999.000;    139.103; 100
1965-07-01;--:--;   -999.000;    140.481; 100
1965-08-01;--:--;   -999.000;     53.032; 100
1965-09-01;--:--;   -999.000;     22.647; 100
1965-10-01;--:--;   -999.000;     12.858; 100
1965-11-01;--:--;   -999.000;     11.360; 100
1965-12-01;--:--;   -999.000;      9.673; 100
1966-01-01;--:--;   -999.000;      8.394; 100
1966-02-01;--:--;   -999.000;      6.667; 100
1966-03-01;--:--;   -999.000;      6.823; 100
1966-04-01;--:--;   -999.000;     13.847; 100
1966-05-01;--:--;   -999.000;     54.097; 100
1966-06-01;--:--;   -999.000;    142.777; 100
1966-07-01;--:--;   -999.000;     93.797; 100
