# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2240310
# River:                 DARYA-YE GHOR BAND
# Station:               PUL-I-ASHAWA
# Country:               AF
# Latitude (DD):       35.083333
# Longitude (DD):      69.133333
# Catchment area (km²):      4020.0
# Altitude (m ASL):        1610.0
# Next downstream station:      2240300
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959-10 - 1980-02
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7432
# DATA
YYYY-MM-DD;hh:mm; Value
1959-10-01;--:--;      6.000
1959-10-02;--:--;      6.000
1959-10-03;--:--;      6.000
1959-10-04;--:--;      6.000
1959-10-05;--:--;      6.000
1959-10-06;--:--;      6.000
1959-10-07;--:--;      6.000
1959-10-08;--:--;      6.000
1959-10-09;--:--;      6.200
1959-10-10;--:--;      6.200
1959-10-11;--:--;      6.000
1959-10-12;--:--;      6.000
1959-10-13;--:--;      6.200
1959-10-14;--:--;      6.200
1959-10-15;--:--;      6.200
1959-10-16;--:--;      6.200
1959-10-17;--:--;      6.200
1959-10-18;--:--;      6.200
1959-10-19;--:--;      6.200
1959-10-20;--:--;      6.200
1959-10-21;--:--;      6.400
1959-10-22;--:--;      6.400
1959-10-23;--:--;      6.400
1959-10-24;--:--;      6.400
1959-10-25;--:--;      6.400
1959-10-26;--:--;      6.400
1959-10-27;--:--;      6.400
1959-10-28;--:--;      6.400
1959-10-29;--:--;      6.400
1959-10-30;--:--;      6.400
1959-10-31;--:--;      6.400
1959-11-01;--:--;      6.600
1959-11-02;--:--;      6.800
1959-11-03;--:--;      6.800
1959-11-04;--:--;      7.000
1959-11-05;--:--;      7.600
1959-11-06;--:--;      7.600
1959-11-07;--:--;      7.000
1959-11-08;--:--;      7.000
1959-11-09;--:--;      6.800
1959-11-10;--:--;      6.800
1959-11-11;--:--;      6.800
1959-11-12;--:--;      6.800
1959-11-13;--:--;      6.800
1959-11-14;--:--;      6.800
1959-11-15;--:--;      6.600
1959-11-16;--:--;      6.600
1959-11-17;--:--;      6.600
1959-11-18;--:--;      6.600
1959-11-19;--:--;      6.600
1959-11-20;--:--;      6.600
1959-11-21;--:--;      6.600
1959-11-22;--:--;      6.600
1959-11-23;--:--;      6.600
1959-11-24;--:--;      6.600
1959-11-25;--:--;      6.600
1959-11-26;--:--;      6.600
1959-11-27;--:--;      6.600
1959-11-28;--:--;      6.600
1959-11-29;--:--;      6.600
1959-11-30;--:--;      6.600
1959-12-01;--:--;      6.600
1959-12-02;--:--;      6.600
1959-12-03;--:--;      6.800
1959-12-04;--:--;      6.600
1959-12-05;--:--;      6.600
1959-12-06;--:--;      6.600
1959-12-07;--:--;      6.600
1959-12-08;--:--;      6.600
1959-12-09;--:--;      6.600
1959-12-10;--:--;      6.600
1959-12-11;--:--;      6.600
1959-12-12;--:--;      6.400
1959-12-13;--:--;      6.400
1959-12-14;--:--;      6.400
1959-12-15;--:--;      6.800
1959-12-16;--:--;      7.000
1959-12-17;--:--;      6.600
1959-12-18;--:--;      6.800
1959-12-19;--:--;      6.800
1959-12-20;--:--;      6.800
1959-12-21;--:--;      6.800
1959-12-22;--:--;      6.800
1959-12-23;--:--;      6.800
1959-12-24;--:--;      6.800
1959-12-25;--:--;      6.800
1959-12-26;--:--;      7.000
1959-12-27;--:--;      7.000
1959-12-28;--:--;      6.400
1959-12-29;--:--;      6.600
1959-12-30;--:--;      6.600
1959-12-31;--:--;      6.600
1960-01-01;--:--;      6.600
1960-01-02;--:--;      6.600
1960-01-03;--:--;      6.600
1960-01-04;--:--;      6.600
1960-01-05;--:--;      6.600
1960-01-06;--:--;      6.600
1960-01-07;--:--;      6.600
1960-01-08;--:--;      6.600
1960-01-09;--:--;      6.600
1960-01-10;--:--;      6.600
1960-01-11;--:--;      6.400
1960-01-12;--:--;      6.400
1960-01-13;--:--;      6.400
1960-01-14;--:--;      6.600
1960-01-15;--:--;      6.600
1960-01-16;--:--;      6.800
1960-01-17;--:--;      6.800
1960-01-18;--:--;      6.800
1960-01-19;--:--;      7.000
1960-01-20;--:--;      7.400
1960-01-21;--:--;      7.400
1960-01-22;--:--;      8.000
1960-01-23;--:--;      8.000
1960-01-24;--:--;      8.000
1960-01-25;--:--;      8.400
1960-01-26;--:--;      9.000
1960-01-27;--:--;     10.000
1960-01-28;--:--;     10.000
1960-01-29;--:--;     10.000
1960-01-30;--:--;     10.000
1960-01-31;--:--;     10.000
1960-02-01;--:--;     14.000
1960-02-02;--:--;     21.500
1960-02-03;--:--;     14.000
1960-02-04;--:--;     12.500
1960-02-05;--:--;     12.000
1960-02-06;--:--;     12.000
1960-02-07;--:--;     12.000
1960-02-08;--:--;     12.000
1960-02-09;--:--;     12.000
1960-02-10;--:--;     11.000
1960-02-11;--:--;     11.000
1960-02-12;--:--;     11.500
1960-02-13;--:--;     12.000
1960-02-14;--:--;     12.000
1960-02-15;--:--;     12.000
1960-02-16;--:--;     13.000
1960-02-17;--:--;     13.500
1960-02-18;--:--;     15.500
1960-02-19;--:--;     15.500
1960-02-20;--:--;     15.500
1960-02-21;--:--;     15.500
1960-02-22;--:--;     16.000
1960-02-23;--:--;     22.000
1960-02-24;--:--;     23.000
1960-02-25;--:--;     24.000
1960-02-26;--:--;     25.000
1960-02-27;--:--;     25.000
1960-02-28;--:--;     25.500
1960-02-29;--:--;     24.000
1960-03-01;--:--;     24.000
1960-03-02;--:--;     25.000
1960-03-03;--:--;     25.000
1960-03-04;--:--;     25.000
1960-03-05;--:--;     25.500
1960-03-06;--:--;     26.000
1960-03-07;--:--;     28.000
1960-03-08;--:--;     29.500
1960-03-09;--:--;     29.500
1960-03-10;--:--;     30.000
1960-03-11;--:--;     33.000
1960-03-12;--:--;     36.500
1960-03-13;--:--;     38.000
1960-03-14;--:--;     41.500
1960-03-15;--:--;     46.500
1960-03-16;--:--;     46.500
1960-03-17;--:--;     41.500
1960-03-18;--:--;     49.000
1960-03-19;--:--;     46.500
1960-03-20;--:--;     46.500
1960-03-21;--:--;     47.000
1960-03-22;--:--;     47.000
1960-03-23;--:--;     43.000
1960-03-24;--:--;     42.000
1960-03-25;--:--;     38.000
1960-03-26;--:--;     33.000
1960-03-27;--:--;     31.500
1960-03-28;--:--;     30.000
1960-03-29;--:--;     27.000
1960-03-30;--:--;     26.500
1960-03-31;--:--;     27.500
1960-04-01;--:--;     27.500
1960-04-02;--:--;     28.000
1960-04-03;--:--;     28.000
1960-04-04;--:--;     34.000
1960-04-05;--:--;     32.000
1960-04-06;--:--;     32.000
1960-04-07;--:--;     34.000
1960-04-08;--:--;     34.500
1960-04-09;--:--;     32.500
1960-04-10;--:--;     31.000
1960-04-11;--:--;     30.000
1960-04-12;--:--;     31.000
1960-04-13;--:--;     33.500
1960-04-14;--:--;     36.500
1960-04-15;--:--;     37.500
1960-04-16;--:--;     54.000
1960-04-17;--:--;     98.000
1960-04-18;--:--;    114.000
1960-04-19;--:--;    107.000
1960-04-20;--:--;     90.000
1960-04-21;--:--;     77.000
1960-04-22;--:--;     70.500
1960-04-23;--:--;     68.500
1960-04-24;--:--;     67.500
1960-04-25;--:--;     65.000
1960-04-26;--:--;     61.500
1960-04-27;--:--;     61.500
1960-04-28;--:--;     63.500
1960-04-29;--:--;     67.000
1960-04-30;--:--;     74.500
1960-05-01;--:--;     85.000
1960-05-02;--:--;     95.000
1960-05-03;--:--;     98.000
1960-05-04;--:--;     91.500
1960-05-05;--:--;     83.500
1960-05-06;--:--;     74.500
1960-05-07;--:--;     67.000
1960-05-08;--:--;     64.500
1960-05-09;--:--;     67.500
1960-05-10;--:--;     72.000
1960-05-11;--:--;     79.500
1960-05-12;--:--;     89.000
1960-05-13;--:--;     96.500
1960-05-14;--:--;    107.000
1960-05-15;--:--;    120.000
1960-05-16;--:--;    130.000
1960-05-17;--:--;    134.000
1960-05-18;--:--;    128.000
1960-05-19;--:--;    122.000
1960-05-20;--:--;    116.000
1960-05-21;--:--;    110.000
1960-05-22;--:--;    105.000
1960-05-23;--:--;     95.500
1960-05-24;--:--;     94.000
1960-05-25;--:--;     99.000
1960-05-26;--:--;    100.000
1960-05-27;--:--;     93.000
1960-05-28;--:--;     84.500
1960-05-29;--:--;     78.000
1960-05-30;--:--;     78.000
1960-05-31;--:--;     84.500
1960-06-01;--:--;     87.500
1960-06-02;--:--;     91.000
1960-06-03;--:--;    100.000
1960-06-04;--:--;    105.000
1960-06-05;--:--;    106.000
1960-06-06;--:--;    112.000
1960-06-07;--:--;    113.000
1960-06-08;--:--;    120.000
1960-06-09;--:--;    122.000
1960-06-10;--:--;    120.000
1960-06-11;--:--;    127.000
1960-06-12;--:--;    125.000
1960-06-13;--:--;    114.000
1960-06-14;--:--;    106.000
1960-06-15;--:--;     96.500
1960-06-16;--:--;     92.500
1960-06-17;--:--;     92.500
1960-06-18;--:--;     91.500
1960-06-19;--:--;     86.500
1960-06-20;--:--;     86.500
1960-06-21;--:--;     86.000
1960-06-22;--:--;     87.500
1960-06-23;--:--;     90.000
1960-06-24;--:--;     93.000
1960-06-25;--:--;    104.000
1960-06-26;--:--;    104.000
1960-06-27;--:--;    102.000
1960-06-28;--:--;    104.000
1960-06-29;--:--;    102.000
1960-06-30;--:--;    102.000
1960-07-01;--:--;     98.000
1960-07-02;--:--;     94.000
1960-07-03;--:--;    100.000
1960-07-04;--:--;     96.500
1960-07-05;--:--;     95.000
1960-07-06;--:--;     95.000
1960-07-07;--:--;     93.000
1960-07-08;--:--;     90.000
1960-07-09;--:--;     89.000
1960-07-10;--:--;     87.500
1960-07-11;--:--;     85.000
1960-07-12;--:--;     80.500
1960-07-13;--:--;     75.500
1960-07-14;--:--;     72.500
1960-07-15;--:--;     70.000
1960-07-16;--:--;     63.500
1960-07-17;--:--;     60.000
1960-07-18;--:--;     56.000
1960-07-19;--:--;     58.000
1960-07-20;--:--;     52.000
1960-07-21;--:--;     49.500
1960-07-22;--:--;     49.500
1960-07-23;--:--;     49.000
1960-07-24;--:--;     49.000
1960-07-25;--:--;     47.000
1960-07-26;--:--;     46.500
1960-07-27;--:--;     48.000
1960-07-28;--:--;     46.500
1960-07-29;--:--;     43.500
1960-07-30;--:--;     41.000
1960-07-31;--:--;     39.500
1960-08-01;--:--;     38.500
1960-08-02;--:--;     37.500
1960-08-03;--:--;     36.000
1960-08-04;--:--;     35.000
1960-08-05;--:--;     33.500
1960-08-06;--:--;     33.500
1960-08-07;--:--;     32.500
1960-08-08;--:--;     31.500
1960-08-09;--:--;     30.000
1960-08-10;--:--;     29.000
1960-08-11;--:--;     28.500
1960-08-12;--:--;     27.500
1960-08-13;--:--;     26.500
1960-08-14;--:--;     26.500
1960-08-15;--:--;     26.500
1960-08-16;--:--;     26.000
1960-08-17;--:--;     25.500
1960-08-18;--:--;     25.000
1960-08-19;--:--;     24.500
1960-08-20;--:--;     24.000
1960-08-21;--:--;     23.200
1960-08-22;--:--;     22.400
1960-08-23;--:--;     22.000
1960-08-24;--:--;     21.600
1960-08-25;--:--;     21.200
1960-08-26;--:--;     20.800
1960-08-27;--:--;     20.800
1960-08-28;--:--;     20.800
1960-08-29;--:--;     20.400
1960-08-30;--:--;     20.000
1960-08-31;--:--;     19.600
1960-09-01;--:--;     19.200
1960-09-02;--:--;     18.400
1960-09-03;--:--;     18.000
1960-09-04;--:--;     18.000
1960-09-05;--:--;     18.000
1960-09-06;--:--;     17.200
1960-09-07;--:--;     17.200
1960-09-08;--:--;     17.200
1960-09-09;--:--;     16.800
1960-09-10;--:--;     16.800
1960-09-11;--:--;     16.800
1960-09-12;--:--;     16.400
1960-09-13;--:--;     16.400
1960-09-14;--:--;     16.000
1960-09-15;--:--;     15.700
