# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2240310
# River:                 DARYA-YE GHOR BAND
# Station:               PUL-I-ASHAWA
# Country:               AF
# Latitude (DD):       35.083333
# Longitude (DD):      69.133333
# Catchment area (km²):      4020.0
# Altitude (m ASL):        1610.0
# Next downstream station:      2240300
# Remarks:               USGS-ID: 350500069080000
# Owner of original data: United States of America - US Geological Survey (USGS) via: https://waterservices.usgs.gov/nwis/ or dataRetrieval
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959 - 1980
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 245
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-10-01;--:--;   -999.000;      6.206; 100
1959-11-01;--:--;   -999.000;      6.760; 100
1959-12-01;--:--;   -999.000;      6.677; 100
1960-01-01;--:--;   -999.000;      7.484; 100
1960-02-01;--:--;   -999.000;     16.017; 100
1960-03-01;--:--;   -999.000;     35.016; 100
1960-04-01;--:--;   -999.000;     54.050; 100
1960-05-01;--:--;   -999.000;     94.903; 100
1960-06-01;--:--;   -999.000;    102.300; 100
1960-07-01;--:--;   -999.000;     68.387; 100
1960-08-01;--:--;   -999.000;     26.784; 100
1960-09-01;--:--;   -999.000;     16.393; 100
1960-10-01;--:--;   -999.000;     15.410; 100
1960-11-01;--:--;   -999.000;     16.170; 100
1960-12-01;--:--;   -999.000;     14.365; 100
1961-01-01;--:--;   -999.000;     12.990; 100
1961-02-01;--:--;   -999.000;     12.111; 100
1961-03-01;--:--;   -999.000;     13.645; 100
1961-04-01;--:--;   -999.000;     39.253; 100
1961-05-01;--:--;   -999.000;     68.284; 100
1961-06-01;--:--;   -999.000;     77.687; 100
1961-07-01;--:--;   -999.000;     37.068; 100
1961-08-01;--:--;   -999.000;     15.765; 100
1961-09-01;--:--;   -999.000;     11.667; 100
1961-10-01;--:--;   -999.000;     11.123; 100
1961-11-01;--:--;   -999.000;     12.850; 100
1961-12-01;--:--;   -999.000;     13.726; 100
1962-01-01;--:--;   -999.000;     12.874; 100
1962-02-01;--:--;   -999.000;     12.550; 100
1962-03-01;--:--;   -999.000;     13.987; 100
1962-04-01;--:--;   -999.000;     29.090; 100
1962-05-01;--:--;   -999.000;     40.484; 100
1962-06-01;--:--;   -999.000;     48.230; 100
1962-07-01;--:--;   -999.000;     23.726; 100
1962-08-01;--:--;   -999.000;     12.265; 100
1962-09-01;--:--;   -999.000;     14.107; 100
1962-10-01;--:--;   -999.000;      8.400; 100
1962-11-01;--:--;   -999.000;      9.630; 100
1962-12-01;--:--;   -999.000;      8.955; 100
1963-01-01;--:--;   -999.000;      8.013; 100
1963-02-01;--:--;   -999.000;      7.000; 100
1963-03-01;--:--;   -999.000;     10.294; 100
1963-04-01;--:--;   -999.000;     22.220; 100
1963-05-01;--:--;   -999.000;     61.142; 100
1963-06-01;--:--;   -999.000;     72.773; 100
1963-07-01;--:--;   -999.000;     35.903; 100
1963-08-01;--:--;   -999.000;     10.865; 100
1963-09-01;--:--;   -999.000;      7.583; 100
1963-10-01;--:--;   -999.000;      7.613; 100
1963-11-01;--:--;   -999.000;      9.663; 100
1963-12-01;--:--;   -999.000;      9.532; 100
1964-01-01;--:--;   -999.000;      9.258; 100
1964-02-01;--:--;   -999.000;      9.021; 100
1964-03-01;--:--;   -999.000;     16.042; 100
1964-04-01;--:--;   -999.000;     46.523; 100
1964-05-01;--:--;   -999.000;     58.990; 100
1964-06-01;--:--;   -999.000;     62.060; 100
1964-07-01;--:--;   -999.000;     31.271; 100
1964-08-01;--:--;   -999.000;     11.268; 100
1964-09-01;--:--;   -999.000;      6.853; 100
1964-10-01;--:--;   -999.000;      7.665; 100
1964-11-01;--:--;   -999.000;      9.073; 100
1964-12-01;--:--;   -999.000;      8.655; 100
1965-01-01;--:--;   -999.000;      8.435; 100
1965-02-01;--:--;   -999.000;      7.989; 100
1965-03-01;--:--;   -999.000;     18.629; 100
1965-04-01;--:--;   -999.000;     54.073; 100
1965-05-01;--:--;   -999.000;     89.465; 100
1965-06-01;--:--;   -999.000;     99.957; 100
1965-07-01;--:--;   -999.000;     74.958; 100
1965-08-01;--:--;   -999.000;     25.739; 100
1965-09-01;--:--;   -999.000;     13.360; 100
1965-10-01;--:--;   -999.000;     12.710; 100
1965-11-01;--:--;   -999.000;     12.943; 100
1965-12-01;--:--;   -999.000;     12.042; 100
1966-01-01;--:--;   -999.000;     10.271; 100
1966-02-01;--:--;   -999.000;     10.509; 100
1966-03-01;--:--;   -999.000;     14.865; 100
1966-04-01;--:--;   -999.000;     34.513; 100
1966-05-01;--:--;   -999.000;     53.035; 100
1966-06-01;--:--;   -999.000;     71.963; 100
1966-07-01;--:--;   -999.000;     25.655; 100
1966-08-01;--:--;   -999.000;     10.538; 100
1966-09-01;--:--;   -999.000;      8.507; 100
1966-10-01;--:--;   -999.000;      9.181; 100
1966-11-01;--:--;   -999.000;      9.490; 100
1966-12-01;--:--;   -999.000;      8.428; 100
1967-01-01;--:--;   -999.000;      7.244; 100
1967-02-01;--:--;   -999.000;      6.774; 100
1967-03-01;--:--;   -999.000;     10.493; 100
1967-04-01;--:--;   -999.000;     33.813; 100
1967-05-01;--:--;   -999.000;     48.113; 100
1967-06-01;--:--;   -999.000;     70.577; 100
1967-07-01;--:--;   -999.000;     35.671; 100
1967-08-01;--:--;   -999.000;     15.171; 100
1967-09-01;--:--;   -999.000;     11.137; 100
1967-10-01;--:--;   -999.000;      9.455; 100
1967-11-01;--:--;   -999.000;      9.880; 100
1967-12-01;--:--;   -999.000;     10.239; 100
1968-01-01;--:--;   -999.000;      9.227; 100
1968-02-01;--:--;   -999.000;      9.316; 100
1968-03-01;--:--;   -999.000;     19.310; 100
1968-04-01;--:--;   -999.000;     42.860; 100
1968-05-01;--:--;   -999.000;     59.132; 100
1968-06-01;--:--;   -999.000;    106.703; 100
1968-07-01;--:--;   -999.000;     51.852; 100
1968-08-01;--:--;   -999.000;     16.994; 100
1968-09-01;--:--;   -999.000;     10.060; 100
1968-10-01;--:--;   -999.000;     11.768; 100
1968-11-01;--:--;   -999.000;     12.337; 100
1968-12-01;--:--;   -999.000;     13.890; 100
1969-01-01;--:--;   -999.000;     10.456; 100
1969-02-01;--:--;   -999.000;     11.490; 100
1969-03-01;--:--;   -999.000;     23.219; 100
1969-04-01;--:--;   -999.000;     39.253; 100
1969-05-01;--:--;   -999.000;     49.990; 100
1969-06-01;--:--;   -999.000;     74.717; 100
1969-07-01;--:--;   -999.000;     38.094; 100
1969-08-01;--:--;   -999.000;     15.045; 100
1969-09-01;--:--;   -999.000;     10.543; 100
1969-10-01;--:--;   -999.000;     12.381; 100
1969-11-01;--:--;   -999.000;     14.387; 100
1969-12-01;--:--;   -999.000;      9.433; 100
1970-01-01;--:--;   -999.000;      8.289; 100
1970-02-01;--:--;   -999.000;      7.375; 100
1970-03-01;--:--;   -999.000;      8.447; 100
1970-04-01;--:--;   -999.000;     21.683; 100
1970-05-01;--:--;   -999.000;     40.835; 100
1970-06-01;--:--;   -999.000;     34.020; 100
1970-07-01;--:--;   -999.000;     13.423; 100
1970-08-01;--:--;   -999.000;      6.206; 100
1970-09-01;--:--;   -999.000;      5.849; 100
1970-10-01;--:--;   -999.000;      8.569; 100
1970-11-01;--:--;   -999.000;      9.280; 100
1970-12-01;--:--;   -999.000;      8.102; 100
1971-01-01;--:--;   -999.000;      6.123; 100
1971-02-01;--:--;   -999.000;      4.627; 100
1971-03-01;--:--;   -999.000;     10.948; 100
1971-04-01;--:--;   -999.000;     22.810; 100
1971-05-01;--:--;   -999.000;     42.581; 100
1971-06-01;--:--;   -999.000;     22.500; 100
1971-07-01;--:--;   -999.000;      7.684; 100
1971-08-01;--:--;   -999.000;      3.402; 100
1971-09-01;--:--;   -999.000;      3.412; 100
1971-10-01;--:--;   -999.000;      5.076; 100
1971-11-01;--:--;   -999.000;      6.910; 100
1971-12-01;--:--;   -999.000;      6.840; 100
1972-01-01;--:--;   -999.000;      5.718; 100
1972-02-01;--:--;   -999.000;      5.259; 100
1972-03-01;--:--;   -999.000;     19.699; 100
1972-04-01;--:--;   -999.000;     36.680; 100
1972-05-01;--:--;   -999.000;     74.035; 100
1972-06-01;--:--;   -999.000;     91.130; 100
1972-07-01;--:--;   -999.000;     36.945; 100
1972-08-01;--:--;   -999.000;     13.226; 100
1972-09-01;--:--;   -999.000;      7.976; 100
1972-10-01;--:--;   -999.000;     10.394; 100
1972-11-01;--:--;   -999.000;     10.795; 100
1972-12-01;--:--;   -999.000;     10.108; 100
1973-01-01;--:--;   -999.000;     10.361; 100
1973-02-01;--:--;   -999.000;      9.729; 100
1973-03-01;--:--;   -999.000;     19.755; 100
1973-04-01;--:--;   -999.000;     45.073; 100
1973-05-01;--:--;   -999.000;     73.061; 100
1973-06-01;--:--;   -999.000;     67.293; 100
1973-07-01;--:--;   -999.000;     25.426; 100
1973-08-01;--:--;   -999.000;     12.548; 100
1973-09-01;--:--;   -999.000;      9.235; 100
1973-10-01;--:--;   -999.000;      9.473; 100
1973-11-01;--:--;   -999.000;     10.533; 100
1973-12-01;--:--;   -999.000;      9.949; 100
1974-01-01;--:--;   -999.000;      9.819; 100
1974-02-01;--:--;   -999.000;      8.569; 100
1974-03-01;--:--;   -999.000;     11.129; 100
1974-04-01;--:--;   -999.000;     23.133; 100
1974-05-01;--:--;   -999.000;     39.548; 100
1974-06-01;--:--;   -999.000;     42.603; 100
1974-07-01;--:--;   -999.000;     14.890; 100
1974-08-01;--:--;   -999.000;      5.603; 100
1974-09-01;--:--;   -999.000;      5.856; 100
1974-10-01;--:--;   -999.000;      8.303; 100
1974-11-01;--:--;   -999.000;      8.958; 100
1974-12-01;--:--;   -999.000;      8.484; 100
1975-01-01;--:--;   -999.000;      6.990; 100
1975-02-01;--:--;   -999.000;      6.320; 100
1975-03-01;--:--;   -999.000;     11.182; 100
1975-04-01;--:--;   -999.000;     29.237; 100
1975-05-01;--:--;   -999.000;     49.152; 100
1975-06-01;--:--;   -999.000;     61.103; 100
1975-07-01;--:--;   -999.000;     29.013; 100
1975-08-01;--:--;   -999.000;      8.482; 100
1975-09-01;--:--;   -999.000;      4.434; 100
1975-10-01;--:--;   -999.000;      6.849; 100
1975-11-01;--:--;   -999.000;      8.178; 100
1975-12-01;--:--;   -999.000;      9.294; 100
1976-01-01;--:--;   -999.000;      8.626; 100
