# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335100
# River:                 HUNZA RIVER
# Station:               DANYOUR BRIDGE
# Country:               PK
# Latitude (DD):       35.92
# Longitude (DD):      74.38
# Catchment area (km²):      12950.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1982-12
# No. of years:          6
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1826
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     41.000
1978-01-02;--:--;     41.000
1978-01-03;--:--;     41.000
1978-01-04;--:--;     41.000
1978-01-05;--:--;     41.000
1978-01-06;--:--;     41.000
1978-01-07;--:--;     41.000
1978-01-08;--:--;     40.000
1978-01-09;--:--;     40.000
1978-01-10;--:--;     40.000
1978-01-11;--:--;     40.000
1978-01-12;--:--;     40.000
1978-01-13;--:--;     40.000
1978-01-14;--:--;     40.000
1978-01-15;--:--;     39.000
1978-01-16;--:--;     39.000
1978-01-17;--:--;     39.000
1978-01-18;--:--;     38.000
1978-01-19;--:--;     38.000
1978-01-20;--:--;     37.000
1978-01-21;--:--;     37.000
1978-01-22;--:--;     37.000
1978-01-23;--:--;     37.000
1978-01-24;--:--;     36.000
1978-01-25;--:--;     36.000
1978-01-26;--:--;     36.000
1978-01-27;--:--;     36.000
1978-01-28;--:--;     36.000
1978-01-29;--:--;     36.000
1978-01-30;--:--;     36.000
1978-01-31;--:--;     36.000
1978-02-01;--:--;     36.000
1978-02-02;--:--;     36.000
1978-02-03;--:--;     36.000
1978-02-04;--:--;     36.000
1978-02-05;--:--;     36.000
1978-02-06;--:--;     36.000
1978-02-07;--:--;     36.000
1978-02-08;--:--;     36.000
1978-02-09;--:--;     37.000
1978-02-10;--:--;     37.000
1978-02-11;--:--;     38.000
1978-02-12;--:--;     40.000
1978-02-13;--:--;     39.000
1978-02-14;--:--;     39.000
1978-02-15;--:--;     38.000
1978-02-16;--:--;     36.000
1978-02-17;--:--;     38.000
1978-02-18;--:--;     39.000
1978-02-19;--:--;     39.000
1978-02-20;--:--;     39.000
1978-02-21;--:--;     39.000
1978-02-22;--:--;     39.000
1978-02-23;--:--;     39.000
1978-02-24;--:--;     39.000
1978-02-25;--:--;     39.000
1978-02-26;--:--;     39.000
1978-02-27;--:--;     40.000
1978-02-28;--:--;     39.000
1978-03-01;--:--;     39.000
1978-03-02;--:--;     39.000
1978-03-03;--:--;     39.000
1978-03-04;--:--;     40.000
1978-03-05;--:--;     40.000
1978-03-06;--:--;     40.000
1978-03-07;--:--;     40.000
1978-03-08;--:--;     39.000
1978-03-09;--:--;     39.000
1978-03-10;--:--;     39.000
1978-03-11;--:--;     39.000
1978-03-12;--:--;     39.000
1978-03-13;--:--;     39.000
1978-03-14;--:--;     39.000
1978-03-15;--:--;     39.000
1978-03-16;--:--;     39.000
1978-03-17;--:--;     40.000
1978-03-18;--:--;     39.000
1978-03-19;--:--;     39.000
1978-03-20;--:--;     36.000
1978-03-21;--:--;     36.000
1978-03-22;--:--;     32.000
1978-03-23;--:--;     32.000
1978-03-24;--:--;     32.000
1978-03-25;--:--;     32.000
1978-03-26;--:--;     33.000
1978-03-27;--:--;     34.000
1978-03-28;--:--;     35.000
1978-03-29;--:--;     36.000
1978-03-30;--:--;     35.000
1978-03-31;--:--;     36.000
1978-04-01;--:--;     32.000
1978-04-02;--:--;     31.000
1978-04-03;--:--;     30.000
1978-04-04;--:--;     29.000
1978-04-05;--:--;     28.000
1978-04-06;--:--;     28.000
1978-04-07;--:--;     28.000
1978-04-08;--:--;     28.000
1978-04-09;--:--;     28.000
1978-04-10;--:--;     28.000
1978-04-11;--:--;     34.000
1978-04-12;--:--;     31.000
1978-04-13;--:--;     35.000
1978-04-14;--:--;     41.000
1978-04-15;--:--;     53.000
1978-04-16;--:--;     67.000
1978-04-17;--:--;     85.000
1978-04-18;--:--;     66.000
1978-04-19;--:--;     58.000
1978-04-20;--:--;     57.000
1978-04-21;--:--;     54.000
1978-04-22;--:--;     53.000
1978-04-23;--:--;     47.000
1978-04-24;--:--;     47.000
1978-04-25;--:--;     53.000
1978-04-26;--:--;     61.000
1978-04-27;--:--;     62.000
1978-04-28;--:--;     66.000
1978-04-29;--:--;     68.000
1978-04-30;--:--;     70.000
1978-05-01;--:--;     74.000
1978-05-02;--:--;     83.000
1978-05-03;--:--;     71.000
1978-05-04;--:--;    157.000
1978-05-05;--:--;    165.000
1978-05-06;--:--;    157.000
1978-05-07;--:--;    162.000
1978-05-08;--:--;    162.000
1978-05-09;--:--;    180.000
1978-05-10;--:--;    197.000
1978-05-11;--:--;    200.000
1978-05-12;--:--;    178.000
1978-05-13;--:--;    173.000
1978-05-14;--:--;    180.000
1978-05-15;--:--;    192.000
1978-05-16;--:--;    203.000
1978-05-17;--:--;    211.000
1978-05-18;--:--;    231.000
1978-05-19;--:--;    253.000
1978-05-20;--:--;    242.000
1978-05-21;--:--;    245.000
