# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335100
# River:                 HUNZA RIVER
# Station:               DANYOUR BRIDGE
# Country:               PK
# Latitude (DD):       35.92
# Longitude (DD):      74.38
# Catchment area (km²):      12950.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1982
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 60
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     38.000;     38.581; 100
1978-02-01;--:--;     34.000;     37.857; 100
1978-03-01;--:--;     37.000;     37.258; 100
1978-04-01;--:--;     45.000;     46.600; 100
1978-05-01;--:--;    219.000;    219.839; 100
1978-06-01;--:--;    918.000;    949.233; 100
1978-07-01;--:--;   1859.000;   1859.903; 100
1978-08-01;--:--;   1696.000;   1696.581; 100
1978-09-01;--:--;    503.000;    520.300; 100
1978-10-01;--:--;    175.000;    175.323; 100
1978-11-01;--:--;     65.000;     68.167; 100
1978-12-01;--:--;     44.000;     44.452; 100
1979-01-01;--:--;     54.000;     54.774; 100
1979-02-01;--:--;     44.000;     49.393; 100
1979-03-01;--:--;     47.000;     47.581; 100
1979-04-01;--:--;     77.000;     80.333; 100
1979-05-01;--:--;    123.000;    123.903; 100
1979-06-01;--:--;    597.000;    617.400; 100
1979-07-01;--:--;   1718.000;   1718.419; 100
1979-08-01;--:--;   1468.000;   1468.032; 100
1979-09-01;--:--;    424.000;    438.667; 100
1979-10-01;--:--;    168.000;    168.677; 100
1979-11-01;--:--;     85.000;     88.767; 100
1979-12-01;--:--;     59.000;     59.161; 100
1980-01-01;--:--;   -999.000;   -999.000;   0
1980-02-01;--:--;   -999.000;   -999.000;   0
1980-03-01;--:--;   -999.000;   -999.000;   0
1980-04-01;--:--;   -999.000;   -999.000;   0
1980-05-01;--:--;   -999.000;   -999.000;   0
1980-06-01;--:--;   -999.000;   -999.000;   0
1980-07-01;--:--;   -999.000;   -999.000;   0
1980-08-01;--:--;   -999.000;   -999.000;   0
1980-09-01;--:--;   -999.000;   -999.000;   0
1980-10-01;--:--;   -999.000;   -999.000;   0
1980-11-01;--:--;   -999.000;   -999.000;   0
1980-12-01;--:--;   -999.000;   -999.000;   0
1981-01-01;--:--;     48.000;     48.161; 100
1981-02-01;--:--;     37.000;     41.643; 100
1981-03-01;--:--;     37.000;     37.742; 100
1981-04-01;--:--;     66.000;     68.467; 100
1981-05-01;--:--;    342.000;    342.484; 100
1981-06-01;--:--;    500.000;    517.167; 100
1981-07-01;--:--;   1318.000;   1318.323; 100
1981-08-01;--:--;   1041.000;   1041.968; 100
1981-09-01;--:--;    316.000;    327.067; 100
1981-10-01;--:--;    147.000;    147.903; 100
1981-11-01;--:--;     68.000;     70.967; 100
1981-12-01;--:--;     52.000;     52.129; 100
1982-01-01;--:--;     47.000;     47.323; 100
1982-02-01;--:--;     38.000;     42.750; 100
1982-03-01;--:--;     39.000;     39.613; 100
1982-04-01;--:--;     62.000;     64.867; 100
1982-05-01;--:--;    222.000;    222.000; 100
1982-06-01;--:--;    470.000;    485.700; 100
1982-07-01;--:--;    863.000;    863.355; 100
1982-08-01;--:--;   1350.000;   1350.000; 100
1982-09-01;--:--;    295.000;    305.633; 100
1982-10-01;--:--;    112.000;    112.032; 100
1982-11-01;--:--;     73.000;     76.067; 100
1982-12-01;--:--;     61.000;     61.581; 100
