# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335180
# River:                 BARANDU RIVER
# Station:               NEAR DAGGAR
# Country:               PK
# Latitude (DD):       34.48
# Longitude (DD):      72.48
# Catchment area (km²):      598.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1979-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 730
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      3.000
1978-01-02;--:--;      3.000
1978-01-03;--:--;      2.000
1978-01-04;--:--;      2.000
1978-01-05;--:--;      2.000
1978-01-06;--:--;      2.000
1978-01-07;--:--;      2.000
1978-01-08;--:--;      2.000
1978-01-09;--:--;      2.000
1978-01-10;--:--;      2.000
1978-01-11;--:--;      2.000
1978-01-12;--:--;      2.000
1978-01-13;--:--;      2.000
1978-01-14;--:--;      4.000
1978-01-15;--:--;      3.000
1978-01-16;--:--;      3.000
1978-01-17;--:--;      3.000
1978-01-18;--:--;      3.000
1978-01-19;--:--;      3.000
1978-01-20;--:--;      3.000
1978-01-21;--:--;      3.000
1978-01-22;--:--;      2.000
1978-01-23;--:--;      3.000
1978-01-24;--:--;      3.000
1978-01-25;--:--;      3.000
1978-01-26;--:--;      3.000
1978-01-27;--:--;      3.000
1978-01-28;--:--;      3.000
1978-01-29;--:--;      3.000
1978-01-30;--:--;      3.000
1978-01-31;--:--;      3.000
1978-02-01;--:--;      3.000
1978-02-02;--:--;      3.000
1978-02-03;--:--;      3.000
1978-02-04;--:--;      3.000
1978-02-05;--:--;      3.000
1978-02-06;--:--;      4.000
1978-02-07;--:--;      3.000
1978-02-08;--:--;      3.000
1978-02-09;--:--;      3.000
1978-02-10;--:--;      3.000
1978-02-11;--:--;      3.000
1978-02-12;--:--;      3.000
1978-02-13;--:--;      3.000
1978-02-14;--:--;      3.000
1978-02-15;--:--;      3.000
1978-02-16;--:--;      3.000
1978-02-17;--:--;      3.000
1978-02-18;--:--;      3.000
1978-02-19;--:--;      3.000
1978-02-20;--:--;      3.000
1978-02-21;--:--;      3.000
1978-02-22;--:--;      3.000
1978-02-23;--:--;      3.000
1978-02-24;--:--;      3.000
1978-02-25;--:--;      3.000
1978-02-26;--:--;      3.000
1978-02-27;--:--;      5.000
1978-02-28;--:--;      4.000
1978-03-01;--:--;      5.000
1978-03-02;--:--;      4.000
1978-03-03;--:--;      5.000
1978-03-04;--:--;      4.000
1978-03-05;--:--;     20.000
1978-03-06;--:--;     11.000
1978-03-07;--:--;      8.000
1978-03-08;--:--;      7.000
1978-03-09;--:--;      7.000
1978-03-10;--:--;     16.000
1978-03-11;--:--;     10.000
1978-03-12;--:--;      9.000
1978-03-13;--:--;      8.000
1978-03-14;--:--;      8.000
1978-03-15;--:--;      8.000
1978-03-16;--:--;    126.000
1978-03-17;--:--;     37.000
1978-03-18;--:--;     15.000
1978-03-19;--:--;     12.000
1978-03-20;--:--;     12.000
1978-03-21;--:--;     12.000
1978-03-22;--:--;     12.000
1978-03-23;--:--;     13.000
1978-03-24;--:--;     12.000
1978-03-25;--:--;     12.000
1978-03-26;--:--;     12.000
1978-03-27;--:--;     13.000
1978-03-28;--:--;     13.000
1978-03-29;--:--;     12.000
1978-03-30;--:--;     11.000
1978-03-31;--:--;     10.000
1978-04-01;--:--;     10.000
1978-04-02;--:--;     10.000
1978-04-03;--:--;      9.000
1978-04-04;--:--;      9.000
1978-04-05;--:--;      9.000
1978-04-06;--:--;      9.000
1978-04-07;--:--;      8.000
1978-04-08;--:--;      8.000
1978-04-09;--:--;      8.000
1978-04-10;--:--;      8.000
1978-04-11;--:--;      8.000
1978-04-12;--:--;      8.000
1978-04-13;--:--;      8.000
1978-04-14;--:--;      7.000
1978-04-15;--:--;      7.000
1978-04-16;--:--;      7.000
1978-04-17;--:--;      8.000
1978-04-18;--:--;     10.000
1978-04-19;--:--;      7.000
1978-04-20;--:--;      7.000
1978-04-21;--:--;      7.000
1978-04-22;--:--;      7.000
1978-04-23;--:--;      7.000
1978-04-24;--:--;      7.000
1978-04-25;--:--;      7.000
1978-04-26;--:--;      7.000
1978-04-27;--:--;      7.000
1978-04-28;--:--;      7.000
1978-04-29;--:--;      6.000
1978-04-30;--:--;      6.000
1978-05-01;--:--;      5.000
1978-05-02;--:--;      6.000
1978-05-03;--:--;      6.000
1978-05-04;--:--;      6.000
1978-05-05;--:--;      6.000
1978-05-06;--:--;      6.000
1978-05-07;--:--;      5.000
1978-05-08;--:--;      5.000
1978-05-09;--:--;      4.000
1978-05-10;--:--;      4.000
1978-05-11;--:--;      3.000
1978-05-12;--:--;      3.000
1978-05-13;--:--;      3.000
1978-05-14;--:--;      3.000
1978-05-15;--:--;      3.000
1978-05-16;--:--;      3.000
1978-05-17;--:--;      3.000
1978-05-18;--:--;      3.000
1978-05-19;--:--;      3.000
1978-05-20;--:--;      3.000
1978-05-21;--:--;      3.000
1978-05-22;--:--;      3.000
1978-05-23;--:--;      3.000
1978-05-24;--:--;      3.000
1978-05-25;--:--;      3.000
1978-05-26;--:--;      6.000
1978-05-27;--:--;      4.000
1978-05-28;--:--;      4.000
1978-05-29;--:--;      3.000
1978-05-30;--:--;      3.000
1978-05-31;--:--;      3.000
1978-06-01;--:--;      3.000
1978-06-02;--:--;      3.000
1978-06-03;--:--;      3.000
1978-06-04;--:--;      3.000
1978-06-05;--:--;      3.000
1978-06-06;--:--;      3.000
1978-06-07;--:--;      3.000
1978-06-08;--:--;      3.000
1978-06-09;--:--;      3.000
1978-06-10;--:--;      3.000
1978-06-11;--:--;      3.000
1978-06-12;--:--;      3.000
1978-06-13;--:--;      3.000
1978-06-14;--:--;      3.000
1978-06-15;--:--;      3.000
1978-06-16;--:--;      3.000
1978-06-17;--:--;      3.000
1978-06-18;--:--;      3.000
1978-06-19;--:--;      3.000
1978-06-20;--:--;      3.000
1978-06-21;--:--;      2.000
1978-06-22;--:--;      2.000
1978-06-23;--:--;      2.000
1978-06-24;--:--;      2.000
1978-06-25;--:--;      2.000
1978-06-26;--:--;      2.000
1978-06-27;--:--;      2.000
1978-06-28;--:--;      2.000
1978-06-29;--:--;      4.000
1978-06-30;--:--;      8.000
1978-07-01;--:--;      5.000
1978-07-02;--:--;      5.000
1978-07-03;--:--;     20.000
1978-07-04;--:--;     15.000
1978-07-05;--:--;     14.000
1978-07-06;--:--;     57.000
1978-07-07;--:--;     17.000
1978-07-08;--:--;     12.000
1978-07-09;--:--;     31.000
1978-07-10;--:--;     30.000
1978-07-11;--:--;     11.000
1978-07-12;--:--;     10.000
1978-07-13;--:--;      8.000
1978-07-14;--:--;     13.000
1978-07-15;--:--;     11.000
1978-07-16;--:--;     10.000
1978-07-17;--:--;      9.000
1978-07-18;--:--;      9.000
1978-07-19;--:--;      9.000
1978-07-20;--:--;      9.000
1978-07-21;--:--;     16.000
1978-07-22;--:--;     13.000
1978-07-23;--:--;     11.000
1978-07-24;--:--;     10.000
1978-07-25;--:--;     10.000
1978-07-26;--:--;     39.000
1978-07-27;--:--;     38.000
1978-07-28;--:--;     14.000
1978-07-29;--:--;     15.000
1978-07-30;--:--;     40.000
1978-07-31;--:--;     23.000
1978-08-01;--:--;     19.000
1978-08-02;--:--;     18.000
1978-08-03;--:--;     54.000
1978-08-04;--:--;     31.000
1978-08-05;--:--;     21.000
1978-08-06;--:--;     30.000
1978-08-07;--:--;     28.000
1978-08-08;--:--;     24.000
1978-08-09;--:--;     32.000
1978-08-10;--:--;     35.000
1978-08-11;--:--;     35.000
1978-08-12;--:--;     76.000
1978-08-13;--:--;     38.000
1978-08-14;--:--;     21.000
1978-08-15;--:--;     19.000
