# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335190
# River:                 SIRAN RIVER
# Station:               NEAR PHULRA
# Country:               PK
# Latitude (DD):       34.33
# Longitude (DD):      73.08
# Catchment area (km²):      1057.0
# Altitude (m ASL):        2275.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1981-12
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     10.000
1978-01-02;--:--;     10.000
1978-01-03;--:--;     10.000
1978-01-04;--:--;      9.000
1978-01-05;--:--;      9.000
1978-01-06;--:--;      9.000
1978-01-07;--:--;      9.000
1978-01-08;--:--;      9.000
1978-01-09;--:--;      9.000
1978-01-10;--:--;      8.000
1978-01-11;--:--;      8.000
1978-01-12;--:--;      9.000
1978-01-13;--:--;     21.000
1978-01-14;--:--;     13.000
1978-01-15;--:--;     13.000
1978-01-16;--:--;     12.000
1978-01-17;--:--;     11.000
1978-01-18;--:--;     10.000
1978-01-19;--:--;     10.000
1978-01-20;--:--;     10.000
1978-01-21;--:--;     10.000
1978-01-22;--:--;     11.000
1978-01-23;--:--;     11.000
1978-01-24;--:--;     10.000
1978-01-25;--:--;     11.000
1978-01-26;--:--;     12.000
1978-01-27;--:--;     20.000
1978-01-28;--:--;     19.000
1978-01-29;--:--;     15.000
1978-01-30;--:--;     14.000
1978-01-31;--:--;   -999.000
1978-02-01;--:--;     14.000
1978-02-02;--:--;     14.000
1978-02-03;--:--;     13.000
1978-02-04;--:--;     12.000
1978-02-05;--:--;     12.000
1978-02-06;--:--;     14.000
1978-02-07;--:--;     15.000
1978-02-08;--:--;     13.000
1978-02-09;--:--;     12.000
1978-02-10;--:--;     12.000
1978-02-11;--:--;     12.000
1978-02-12;--:--;     12.000
1978-02-13;--:--;     12.000
1978-02-14;--:--;     16.000
1978-02-15;--:--;     19.000
1978-02-16;--:--;     17.000
1978-02-17;--:--;     15.000
1978-02-18;--:--;     17.000
1978-02-19;--:--;     15.000
1978-02-20;--:--;     14.000
1978-02-21;--:--;     14.000
1978-02-22;--:--;     13.000
1978-02-23;--:--;     13.000
1978-02-24;--:--;     13.000
1978-02-25;--:--;     13.000
1978-02-26;--:--;     14.000
1978-02-27;--:--;     17.000
1978-02-28;--:--;     18.000
1978-03-01;--:--;     19.000
1978-03-02;--:--;     20.000
1978-03-03;--:--;     19.000
1978-03-04;--:--;     17.000
1978-03-05;--:--;     21.000
1978-03-06;--:--;     33.000
1978-03-07;--:--;     22.000
1978-03-08;--:--;     20.000
1978-03-09;--:--;     18.000
1978-03-10;--:--;     22.000
1978-03-11;--:--;     21.000
1978-03-12;--:--;     19.000
1978-03-13;--:--;     18.000
1978-03-14;--:--;     18.000
1978-03-15;--:--;     18.000
1978-03-16;--:--;     66.000
1978-03-17;--:--;    145.000
1978-03-18;--:--;     56.000
1978-03-19;--:--;     46.000
1978-03-20;--:--;     38.000
1978-03-21;--:--;     34.000
1978-03-22;--:--;     35.000
1978-03-23;--:--;     28.000
1978-03-24;--:--;     24.000
1978-03-25;--:--;     24.000
1978-03-26;--:--;     24.000
1978-03-27;--:--;     30.000
1978-03-28;--:--;     32.000
1978-03-29;--:--;     26.000
1978-03-30;--:--;     24.000
1978-03-31;--:--;     23.000
1978-04-01;--:--;     21.000
1978-04-02;--:--;     20.000
1978-04-03;--:--;     21.000
1978-04-04;--:--;     21.000
1978-04-05;--:--;     20.000
