# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335190
# River:                 SIRAN RIVER
# Station:               NEAR PHULRA
# Country:               PK
# Latitude (DD):       34.33
# Longitude (DD):      73.08
# Catchment area (km²):      1057.0
# Altitude (m ASL):        2275.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1981
# No. of years:          4
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 48
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     11.000;     11.400;  97
1978-02-01;--:--;     12.000;     14.107; 100
1978-03-01;--:--;     30.000;     30.968; 100
1978-04-01;--:--;     32.000;     33.300; 100
1978-05-01;--:--;     25.000;     25.581; 100
1978-06-01;--:--;     13.000;     14.400; 100
1978-07-01;--:--;     45.000;     45.452; 100
1978-08-01;--:--;     68.000;     68.323; 100
1978-09-01;--:--;     17.000;     18.033; 100
1978-10-01;--:--;     11.000;     11.065; 100
1978-11-01;--:--;     12.000;     12.533; 100
1978-12-01;--:--;      8.000;      8.645; 100
1979-01-01;--:--;      9.000;      9.200;  97
1979-02-01;--:--;     10.000;     11.357; 100
1979-03-01;--:--;     25.000;     25.323; 100
1979-04-01;--:--;     40.000;     42.233; 100
1979-05-01;--:--;     21.000;     21.516; 100
1979-06-01;--:--;      9.000;      9.393;  93
1979-07-01;--:--;     19.000;     19.226; 100
1979-08-01;--:--;     12.000;     12.548; 100
1979-09-01;--:--;      7.000;      7.667; 100
1979-10-01;--:--;      5.000;      5.710; 100
1979-11-01;--:--;      5.000;      5.667; 100
1979-12-01;--:--;      4.000;      4.323; 100
1980-01-01;--:--;      8.000;      8.581; 100
1980-02-01;--:--;     13.000;     14.565;  79
1980-03-01;--:--;     33.000;     33.793;  94
1980-04-01;--:--;     38.000;     39.333; 100
1980-05-01;--:--;     21.000;     21.387; 100
1980-06-01;--:--;     13.000;     13.885;  87
1980-07-01;--:--;     17.000;     17.800;  97
1980-08-01;--:--;     17.000;     17.786;  90
1980-09-01;--:--;      9.000;      9.815;  90
1980-10-01;--:--;      7.000;      7.267;  97
1980-11-01;--:--;      5.000;      5.667; 100
1980-12-01;--:--;      5.000;      5.355; 100
1981-01-01;--:--;      5.000;      5.419; 100
1981-02-01;--:--;     10.000;     12.000; 100
1981-03-01;--:--;     35.000;     35.581; 100
1981-04-01;--:--;     43.000;     44.593;  90
1981-05-01;--:--;     27.000;     27.161; 100
1981-06-01;--:--;      8.000;      8.700; 100
1981-07-01;--:--;     21.000;     21.786;  90
1981-08-01;--:--;     20.000;     20.964;  90
1981-09-01;--:--;      5.000;      5.933; 100
1981-10-01;--:--;      8.000;      8.774; 100
1981-11-01;--:--;      4.000;      4.467; 100
1981-12-01;--:--;      3.000;      3.355; 100
