# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335200
# River:                 INDUS RIVER
# Station:               ATTOCK
# Country:               PK
# Latitude (DD):       33.9
# Longitude (DD):      72.25
# Catchment area (km²):      265122.0
# Altitude (m ASL):        258.0
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1979
# No. of years:          7
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 84
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;    165.000;   -999.000;   0
1973-02-01;--:--;     95.000;   -999.000;   0
1973-03-01;--:--;     49.000;   -999.000;   0
1973-04-01;--:--;    288.000;   -999.000;   0
1973-05-01;--:--;    454.000;   -999.000;   0
1973-06-01;--:--;   2077.000;   -999.000;   0
1973-07-01;--:--;   4036.000;   -999.000;   0
1973-08-01;--:--;   9525.000;   -999.000;   0
1973-09-01;--:--;   3380.000;   -999.000;   0
1973-10-01;--:--;    332.000;   -999.000;   0
1973-11-01;--:--;    201.000;   -999.000;   0
1973-12-01;--:--;    176.000;   -999.000;   0
1974-01-01;--:--;    229.000;   -999.000;   0
1974-02-01;--:--;    140.000;   -999.000;   0
1974-03-01;--:--;    103.000;   -999.000;   0
1974-04-01;--:--;    108.000;   -999.000;   0
1974-05-01;--:--;    217.000;   -999.000;   0
1974-06-01;--:--;    273.000;   -999.000;   0
1974-07-01;--:--;   1061.000;   -999.000;   0
1974-08-01;--:--;   1525.000;   -999.000;   0
1974-09-01;--:--;    388.000;   -999.000;   0
1974-10-01;--:--;    220.000;   -999.000;   0
1974-11-01;--:--;     65.000;   -999.000;   0
1974-12-01;--:--;     41.000;   -999.000;   0
1975-01-01;--:--;    350.000;   -999.000;   0
1975-02-01;--:--;     34.000;   -999.000;   0
1975-03-01;--:--;     42.000;   -999.000;   0
1975-04-01;--:--;    194.000;   -999.000;   0
1975-05-01;--:--;    233.000;   -999.000;   0
1975-06-01;--:--;    694.000;   -999.000;   0
1975-07-01;--:--;   4500.000;   -999.000;   0
1975-08-01;--:--;   6116.000;   -999.000;   0
1975-09-01;--:--;   4899.000;   -999.000;   0
1975-10-01;--:--;    544.000;   -999.000;   0
1975-11-01;--:--;    154.000;   -999.000;   0
1975-12-01;--:--;     95.000;   -999.000;   0
1976-01-01;--:--;    797.000;   -999.000;   0
1976-02-01;--:--;    936.000;   -999.000;   0
1976-03-01;--:--;   1234.000;   -999.000;   0
1976-04-01;--:--;   2183.000;   -999.000;   0
1976-05-01;--:--;   3897.000;   -999.000;   0
1976-06-01;--:--;   5382.000;   -999.000;   0
1976-07-01;--:--;  10363.000;   -999.000;   0
1976-08-01;--:--;   7212.000;   -999.000;   0
1976-09-01;--:--;   3500.000;   -999.000;   0
1976-10-01;--:--;   1726.000;   -999.000;   0
1976-11-01;--:--;   2110.000;   -999.000;   0
1976-12-01;--:--;   1554.000;   -999.000;   0
1977-01-01;--:--;   1390.000;   -999.000;   0
1977-02-01;--:--;   2195.000;   -999.000;   0
1977-03-01;--:--;   2310.000;   -999.000;   0
1977-04-01;--:--;   2243.000;   -999.000;   0
1977-05-01;--:--;   2786.000;   -999.000;   0
1977-06-01;--:--;   5628.000;   -999.000;   0
1977-07-01;--:--;   7745.000;   -999.000;   0
1977-08-01;--:--;   7185.000;   -999.000;   0
1977-09-01;--:--;   3421.000;   -999.000;   0
1977-10-01;--:--;   2530.000;   -999.000;   0
1977-11-01;--:--;   1877.000;   -999.000;   0
1977-12-01;--:--;    695.000;   -999.000;   0
1978-01-01;--:--;    784.000;   -999.000;   0
1978-02-01;--:--;   1734.000;   -999.000;   0
1978-03-01;--:--;   1459.000;   -999.000;   0
1978-04-01;--:--;   1797.000;   -999.000;   0
1978-05-01;--:--;   4533.000;   -999.000;   0
1978-06-01;--:--;   7635.000;   -999.000;   0
1978-07-01;--:--;   9065.000;   -999.000;   0
1978-08-01;--:--;   8706.000;   -999.000;   0
1978-09-01;--:--;   3875.000;   -999.000;   0
1978-10-01;--:--;   2849.000;   -999.000;   0
1978-11-01;--:--;   1628.000;   -999.000;   0
1978-12-01;--:--;   1046.000;   -999.000;   0
1979-01-01;--:--;    814.000;   -999.000;   0
1979-02-01;--:--;   2056.000;   -999.000;   0
1979-03-01;--:--;   1804.000;   -999.000;   0
1979-04-01;--:--;   3206.000;   -999.000;   0
1979-05-01;--:--;   3836.000;   -999.000;   0
1979-06-01;--:--;   6305.000;   -999.000;   0
1979-07-01;--:--;   7762.000;   -999.000;   0
1979-08-01;--:--;   7857.000;   -999.000;   0
1979-09-01;--:--;   4377.000;   -999.000;   0
1979-10-01;--:--;   2441.000;   -999.000;   0
1979-11-01;--:--;   1754.000;   -999.000;   0
1979-12-01;--:--;   1468.000;   -999.000;   0
