# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335210
# River:                 SOAN RIVER
# Station:               DHOK PATHAN
# Country:               PK
# Latitude (DD):       33.13
# Longitude (DD):      72.33
# Catchment area (km²):      6475.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1981-12
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      8.000
1978-01-02;--:--;      7.000
1978-01-03;--:--;      8.000
1978-01-04;--:--;      6.000
1978-01-05;--:--;      6.000
1978-01-06;--:--;      6.000
1978-01-07;--:--;      6.000
1978-01-08;--:--;      6.000
1978-01-09;--:--;      6.000
1978-01-10;--:--;      6.000
1978-01-11;--:--;      6.000
1978-01-12;--:--;      5.000
1978-01-13;--:--;      6.000
1978-01-14;--:--;      5.000
1978-01-15;--:--;      8.000
1978-01-16;--:--;      9.000
1978-01-17;--:--;     12.000
1978-01-18;--:--;      9.000
1978-01-19;--:--;      6.000
1978-01-20;--:--;      7.000
1978-01-21;--:--;      7.000
1978-01-22;--:--;      6.000
1978-01-23;--:--;      6.000
1978-01-24;--:--;      7.000
1978-01-25;--:--;      8.000
1978-01-26;--:--;      8.000
1978-01-27;--:--;     10.000
1978-01-28;--:--;     17.000
1978-01-29;--:--;     18.000
1978-01-30;--:--;     52.000
1978-01-31;--:--;     40.000
1978-02-01;--:--;     26.000
1978-02-02;--:--;     22.000
1978-02-03;--:--;     16.000
1978-02-04;--:--;     10.000
1978-02-05;--:--;      9.000
1978-02-06;--:--;      9.000
1978-02-07;--:--;     10.000
1978-02-08;--:--;      8.000
1978-02-09;--:--;      9.000
1978-02-10;--:--;     10.000
1978-02-11;--:--;     10.000
1978-02-12;--:--;      9.000
1978-02-13;--:--;      8.000
1978-02-14;--:--;      7.000
1978-02-15;--:--;      7.000
1978-02-16;--:--;      6.000
1978-02-17;--:--;      6.000
1978-02-18;--:--;      7.000
1978-02-19;--:--;      9.000
1978-02-20;--:--;      8.000
1978-02-21;--:--;      7.000
1978-02-22;--:--;      7.000
1978-02-23;--:--;      7.000
1978-02-24;--:--;      7.000
1978-02-25;--:--;      6.000
1978-02-26;--:--;      5.000
1978-02-27;--:--;      6.000
1978-02-28;--:--;      5.000
1978-03-01;--:--;      5.000
1978-03-02;--:--;      6.000
1978-03-03;--:--;      6.000
1978-03-04;--:--;     16.000
1978-03-05;--:--;      9.000
1978-03-06;--:--;     19.000
1978-03-07;--:--;     14.000
1978-03-08;--:--;     14.000
1978-03-09;--:--;     16.000
1978-03-10;--:--;     10.000
1978-03-11;--:--;      9.000
1978-03-12;--:--;      9.000
1978-03-13;--:--;      9.000
1978-03-14;--:--;     11.000
1978-03-15;--:--;     11.000
1978-03-16;--:--;     14.000
1978-03-17;--:--;    112.000
1978-03-18;--:--;     78.000
1978-03-19;--:--;     55.000
1978-03-20;--:--;     32.000
1978-03-21;--:--;     26.000
1978-03-22;--:--;     21.000
1978-03-23;--:--;     16.000
1978-03-24;--:--;     13.000
1978-03-25;--:--;     12.000
1978-03-26;--:--;     11.000
1978-03-27;--:--;     11.000
1978-03-28;--:--;     14.000
1978-03-29;--:--;      8.000
1978-03-30;--:--;      8.000
1978-03-31;--:--;      7.000
1978-04-01;--:--;      6.000
1978-04-02;--:--;      5.000
1978-04-03;--:--;      7.000
1978-04-04;--:--;      9.000
1978-04-05;--:--;      8.000
1978-04-06;--:--;      4.000
1978-04-07;--:--;      8.000
1978-04-08;--:--;      7.000
1978-04-09;--:--;      6.000
1978-04-10;--:--;      5.000
1978-04-11;--:--;      5.000
1978-04-12;--:--;      4.000
1978-04-13;--:--;      4.000
1978-04-14;--:--;      4.000
1978-04-15;--:--;      4.000
1978-04-16;--:--;      4.000
1978-04-17;--:--;      3.000
1978-04-18;--:--;      3.000
1978-04-19;--:--;      3.000
1978-04-20;--:--;      3.000
1978-04-21;--:--;      3.000
1978-04-22;--:--;      3.000
1978-04-23;--:--;      4.000
1978-04-24;--:--;      4.000
1978-04-25;--:--;      3.000
1978-04-26;--:--;      3.000
1978-04-27;--:--;      3.000
1978-04-28;--:--;      3.000
1978-04-29;--:--;      3.000
1978-04-30;--:--;      3.000
1978-05-01;--:--;      2.000
1978-05-02;--:--;      2.000
1978-05-03;--:--;      2.000
1978-05-04;--:--;      2.000
1978-05-05;--:--;      2.000
1978-05-06;--:--;      2.000
1978-05-07;--:--;      2.000
1978-05-08;--:--;      2.000
1978-05-09;--:--;      2.000
1978-05-10;--:--;      2.000
1978-05-11;--:--;      2.000
1978-05-12;--:--;      2.000
1978-05-13;--:--;      2.000
1978-05-14;--:--;      2.000
1978-05-15;--:--;      2.000
1978-05-16;--:--;      1.000
1978-05-17;--:--;      1.000
1978-05-18;--:--;      1.000
1978-05-19;--:--;      1.000
1978-05-20;--:--;      1.000
1978-05-21;--:--;      1.000
1978-05-22;--:--;      1.000
1978-05-23;--:--;      1.000
1978-05-24;--:--;      0.000
1978-05-25;--:--;      0.000
1978-05-26;--:--;      0.000
1978-05-27;--:--;      0.000
1978-05-28;--:--;      1.000
1978-05-29;--:--;      2.000
1978-05-30;--:--;      2.000
1978-05-31;--:--;      1.000
1978-06-01;--:--;      1.000
1978-06-02;--:--;      1.000
1978-06-03;--:--;      1.000
1978-06-04;--:--;      0.000
1978-06-05;--:--;      1.000
1978-06-06;--:--;      0.000
1978-06-07;--:--;      0.000
1978-06-08;--:--;      0.000
1978-06-09;--:--;      0.000
1978-06-10;--:--;      0.000
1978-06-11;--:--;      0.000
1978-06-12;--:--;      0.000
1978-06-13;--:--;      0.000
1978-06-14;--:--;      0.000
1978-06-15;--:--;      1.000
1978-06-16;--:--;      0.000
1978-06-17;--:--;      8.000
1978-06-18;--:--;      7.000
1978-06-19;--:--;      5.000
1978-06-20;--:--;      4.000
1978-06-21;--:--;      4.000
1978-06-22;--:--;      4.000
1978-06-23;--:--;      5.000
1978-06-24;--:--;     28.000
1978-06-25;--:--;     11.000
1978-06-26;--:--;      8.000
1978-06-27;--:--;      6.000
1978-06-28;--:--;      4.000
1978-06-29;--:--;      4.000
1978-06-30;--:--;    710.000
1978-07-01;--:--;    540.000
1978-07-02;--:--;      1.000
1978-07-03;--:--;    345.000
1978-07-04;--:--;      2.000
1978-07-05;--:--;      0.000
1978-07-06;--:--;    841.000
1978-07-07;--:--;    311.000
1978-07-08;--:--;      7.000
1978-07-09;--:--;     26.000
1978-07-10;--:--;     23.000
1978-07-11;--:--;     15.000
1978-07-12;--:--;     22.000
1978-07-13;--:--;     25.000
1978-07-14;--:--;    166.000
1978-07-15;--:--;     42.000
1978-07-16;--:--;     31.000
1978-07-17;--:--;     28.000
1978-07-18;--:--;     55.000
1978-07-19;--:--;      6.000
1978-07-20;--:--;      1.000
1978-07-21;--:--;   1619.000
1978-07-22;--:--;     16.000
1978-07-23;--:--;    387.000
1978-07-24;--:--;    495.000
1978-07-25;--:--;    297.000
1978-07-26;--:--;    597.000
1978-07-27;--:--;    105.000
1978-07-28;--:--;    281.000
1978-07-29;--:--;    166.000
1978-07-30;--:--;    123.000
1978-07-31;--:--;    117.000
1978-08-01;--:--;     36.000
1978-08-02;--:--;    387.000
1978-08-03;--:--;   1452.000
1978-08-04;--:--;   1158.000
1978-08-05;--:--;    773.000
1978-08-06;--:--;   1769.000
1978-08-07;--:--;    141.000
1978-08-08;--:--;     17.000
1978-08-09;--:--;     13.000
1978-08-10;--:--;    142.000
1978-08-11;--:--;    747.000
1978-08-12;--:--;    322.000
1978-08-13;--:--;    390.000
1978-08-14;--:--;    807.000
1978-08-15;--:--;    308.000
1978-08-16;--:--;    107.000
1978-08-17;--:--;     67.000
1978-08-18;--:--;     49.000
1978-08-19;--:--;    719.000
1978-08-20;--:--;    676.000
1978-08-21;--:--;    128.000
1978-08-22;--:--;     44.000
1978-08-23;--:--;    160.000
1978-08-24;--:--;    231.000
1978-08-25;--:--;    268.000
1978-08-26;--:--;    176.000
1978-08-27;--:--;    118.000
1978-08-28;--:--;    798.000
1978-08-29;--:--;    464.000
1978-08-30;--:--;     22.000
1978-08-31;--:--;     80.000
1978-09-01;--:--;     58.000
1978-09-02;--:--;     53.000
1978-09-03;--:--;    140.000
1978-09-04;--:--;    387.000
1978-09-05;--:--;     61.000
1978-09-06;--:--;     37.000
1978-09-07;--:--;     45.000
1978-09-08;--:--;     36.000
1978-09-09;--:--;     28.000
1978-09-10;--:--;     32.000
1978-09-11;--:--;     16.000
1978-09-12;--:--;     37.000
1978-09-13;--:--;     23.000
1978-09-14;--:--;     32.000
1978-09-15;--:--;    266.000
1978-09-16;--:--;     62.000
1978-09-17;--:--;     39.000
1978-09-18;--:--;     33.000
1978-09-19;--:--;     32.000
1978-09-20;--:--;     40.000
1978-09-21;--:--;     32.000
1978-09-22;--:--;     31.000
1978-09-23;--:--;     38.000
1978-09-24;--:--;     62.000
1978-09-25;--:--;     62.000
1978-09-26;--:--;     34.000
1978-09-27;--:--;     19.000
1978-09-28;--:--;    258.000
1978-09-29;--:--;    109.000
1978-09-30;--:--;     80.000
1978-10-01;--:--;    198.000
1978-10-02;--:--;     58.000
1978-10-03;--:--;    320.000
1978-10-04;--:--;    143.000
1978-10-05;--:--;     45.000
1978-10-06;--:--;     35.000
1978-10-07;--:--;     35.000
1978-10-08;--:--;     31.000
1978-10-09;--:--;     24.000
1978-10-10;--:--;     31.000
1978-10-11;--:--;     21.000
1978-10-12;--:--;     18.000
1978-10-13;--:--;     17.000
1978-10-14;--:--;     19.000
1978-10-15;--:--;     15.000
1978-10-16;--:--;     15.000
1978-10-17;--:--;     16.000
1978-10-18;--:--;     14.000
1978-10-19;--:--;     13.000
1978-10-20;--:--;     13.000
1978-10-21;--:--;     13.000
1978-10-22;--:--;     12.000
1978-10-23;--:--;     11.000
1978-10-24;--:--;     14.000
1978-10-25;--:--;     15.000
1978-10-26;--:--;     14.000
1978-10-27;--:--;     14.000
1978-10-28;--:--;     13.000
1978-10-29;--:--;     13.000
1978-10-30;--:--;     14.000
1978-10-31;--:--;     12.000
1978-11-01;--:--;     12.000
1978-11-02;--:--;     11.000
1978-11-03;--:--;     11.000
1978-11-04;--:--;     17.000
1978-11-05;--:--;     23.000
1978-11-06;--:--;     32.000
1978-11-07;--:--;    151.000
1978-11-08;--:--;     36.000
1978-11-09;--:--;     25.000
1978-11-10;--:--;     23.000
1978-11-11;--:--;     20.000
1978-11-12;--:--;     21.000
1978-11-13;--:--;     20.000
1978-11-14;--:--;     19.000
1978-11-15;--:--;     18.000
1978-11-16;--:--;     19.000
1978-11-17;--:--;     17.000
1978-11-18;--:--;     17.000
1978-11-19;--:--;     15.000
1978-11-20;--:--;     14.000
1978-11-21;--:--;     12.000
1978-11-22;--:--;     12.000
1978-11-23;--:--;     12.000
1978-11-24;--:--;     12.000
1978-11-25;--:--;     12.000
1978-11-26;--:--;     12.000
1978-11-27;--:--;     11.000
1978-11-28;--:--;     11.000
1978-11-29;--:--;     11.000
1978-11-30;--:--;     11.000
1978-12-01;--:--;     11.000
1978-12-02;--:--;     11.000
1978-12-03;--:--;     11.000
1978-12-04;--:--;     11.000
1978-12-05;--:--;     10.000
1978-12-06;--:--;     11.000
1978-12-07;--:--;     10.000
1978-12-08;--:--;     11.000
1978-12-09;--:--;     11.000
1978-12-10;--:--;     10.000
1978-12-11;--:--;     10.000
1978-12-12;--:--;     10.000
1978-12-13;--:--;     10.000
1978-12-14;--:--;     10.000
1978-12-15;--:--;     10.000
1978-12-16;--:--;     11.000
1978-12-17;--:--;     10.000
1978-12-18;--:--;     11.000
1978-12-19;--:--;     12.000
1978-12-20;--:--;     12.000
1978-12-21;--:--;     12.000
1978-12-22;--:--;     11.000
1978-12-23;--:--;     11.000
1978-12-24;--:--;     11.000
1978-12-25;--:--;     10.000
1978-12-26;--:--;      9.000
1978-12-27;--:--;      9.000
1978-12-28;--:--;      8.000
1978-12-29;--:--;      9.000
1978-12-30;--:--;      9.000
1978-12-31;--:--;      9.000
1979-01-01;--:--;      9.000
1979-01-02;--:--;      9.000
1979-01-03;--:--;     10.000
1979-01-04;--:--;     10.000
1979-01-05;--:--;     10.000
1979-01-06;--:--;     11.000
1979-01-07;--:--;     12.000
1979-01-08;--:--;     14.000
1979-01-09;--:--;     14.000
1979-01-10;--:--;     15.000
1979-01-11;--:--;     16.000
1979-01-12;--:--;     17.000
1979-01-13;--:--;     25.000
1979-01-14;--:--;     34.000
1979-01-15;--:--;    131.000
1979-01-16;--:--;     60.000
1979-01-17;--:--;     40.000
1979-01-18;--:--;     34.000
1979-01-19;--:--;     16.000
1979-01-20;--:--;     14.000
1979-01-21;--:--;     17.000
1979-01-22;--:--;     14.000
1979-01-23;--:--;     14.000
1979-01-24;--:--;     14.000
1979-01-25;--:--;     14.000
1979-01-26;--:--;     16.000
1979-01-27;--:--;     15.000
1979-01-28;--:--;     14.000
1979-01-29;--:--;     14.000
1979-01-30;--:--;     23.000
1979-01-31;--:--;     83.000
1979-02-01;--:--;     22.000
1979-02-02;--:--;     22.000
1979-02-03;--:--;     14.000
1979-02-04;--:--;     11.000
1979-02-05;--:--;     10.000
1979-02-06;--:--;      8.000
1979-02-07;--:--;      7.000
1979-02-08;--:--;      6.000
1979-02-09;--:--;     10.000
1979-02-10;--:--;      9.000
1979-02-11;--:--;     11.000
1979-02-12;--:--;     11.000
1979-02-13;--:--;     11.000
1979-02-14;--:--;     11.000
1979-02-15;--:--;     10.000
1979-02-16;--:--;     11.000
1979-02-17;--:--;     13.000
1979-02-18;--:--;     13.000
1979-02-19;--:--;     96.000
1979-02-20;--:--;    699.000
1979-02-21;--:--;    113.000
1979-02-22;--:--;     28.000
1979-02-23;--:--;     36.000
1979-02-24;--:--;     26.000
1979-02-25;--:--;     23.000
1979-02-26;--:--;     25.000
1979-02-27;--:--;     22.000
1979-02-28;--:--;     16.000
1979-03-01;--:--;     13.000
1979-03-02;--:--;     19.000
1979-03-03;--:--;     29.000
1979-03-04;--:--;     84.000
1979-03-05;--:--;     48.000
1979-03-06;--:--;    109.000
1979-03-07;--:--;    235.000
1979-03-08;--:--;    112.000
1979-03-09;--:--;    104.000
1979-03-10;--:--;     49.000
1979-03-11;--:--;     48.000
1979-03-12;--:--;     36.000
1979-03-13;--:--;     32.000
1979-03-14;--:--;     31.000
1979-03-15;--:--;     36.000
1979-03-16;--:--;     28.000
1979-03-17;--:--;     38.000
1979-03-18;--:--;     37.000
1979-03-19;--:--;     54.000
1979-03-20;--:--;     36.000
1979-03-21;--:--;     24.000
1979-03-22;--:--;     16.000
1979-03-23;--:--;     17.000
1979-03-24;--:--;     14.000
1979-03-25;--:--;     18.000
1979-03-26;--:--;     18.000
1979-03-27;--:--;     18.000
1979-03-28;--:--;     21.000
1979-03-29;--:--;     23.000
1979-03-30;--:--;     46.000
1979-03-31;--:--;     44.000
1979-04-01;--:--;     77.000
1979-04-02;--:--;     44.000
1979-04-03;--:--;     24.000
1979-04-04;--:--;     31.000
1979-04-05;--:--;     46.000
1979-04-06;--:--;     33.000
1979-04-07;--:--;     17.000
1979-04-08;--:--;     16.000
1979-04-09;--:--;     15.000
1979-04-10;--:--;     18.000
1979-04-11;--:--;     16.000
1979-04-12;--:--;     14.000
1979-04-13;--:--;     11.000
1979-04-14;--:--;     14.000
1979-04-15;--:--;     14.000
1979-04-16;--:--;     16.000
1979-04-17;--:--;     12.000
1979-04-18;--:--;     10.000
1979-04-19;--:--;      9.000
1979-04-20;--:--;      8.000
1979-04-21;--:--;      9.000
1979-04-22;--:--;      8.000
1979-04-23;--:--;      8.000
1979-04-24;--:--;      7.000
1979-04-25;--:--;      7.000
1979-04-26;--:--;      7.000
1979-04-27;--:--;      7.000
1979-04-28;--:--;      6.000
1979-04-29;--:--;      8.000
1979-04-30;--:--;      8.000
1979-05-01;--:--;      8.000
1979-05-02;--:--;      8.000
1979-05-03;--:--;      7.000
1979-05-04;--:--;      7.000
1979-05-05;--:--;      6.000
1979-05-06;--:--;      6.000
1979-05-07;--:--;      6.000
1979-05-08;--:--;      5.000
1979-05-09;--:--;      5.000
1979-05-10;--:--;      5.000
1979-05-11;--:--;      4.000
1979-05-12;--:--;      4.000
1979-05-13;--:--;      4.000
1979-05-14;--:--;      4.000
1979-05-15;--:--;      3.000
1979-05-16;--:--;      4.000
1979-05-17;--:--;     11.000
1979-05-18;--:--;      8.000
1979-05-19;--:--;      7.000
1979-05-20;--:--;      7.000
1979-05-21;--:--;      7.000
1979-05-22;--:--;      7.000
1979-05-23;--:--;     12.000
1979-05-24;--:--;      6.000
1979-05-25;--:--;      6.000
1979-05-26;--:--;     22.000
1979-05-27;--:--;      9.000
1979-05-28;--:--;      8.000
1979-05-29;--:--;     14.000
1979-05-30;--:--;     21.000
1979-05-31;--:--;     14.000
1979-06-01;--:--;      7.000
1979-06-02;--:--;      7.000
1979-06-03;--:--;      8.000
1979-06-04;--:--;      9.000
1979-06-05;--:--;      7.000
1979-06-06;--:--;      8.000
1979-06-07;--:--;      8.000
1979-06-08;--:--;      8.000
1979-06-09;--:--;      6.000
1979-06-10;--:--;      5.000
1979-06-11;--:--;      4.000
1979-06-12;--:--;      3.000
1979-06-13;--:--;     20.000
1979-06-14;--:--;     11.000
1979-06-15;--:--;      6.000
1979-06-16;--:--;      5.000
1979-06-17;--:--;      6.000
1979-06-18;--:--;      5.000
1979-06-19;--:--;      4.000
1979-06-20;--:--;      3.000
1979-06-21;--:--;      3.000
1979-06-22;--:--;      2.000
1979-06-23;--:--;      2.000
1979-06-24;--:--;     18.000
1979-06-25;--:--;     11.000
1979-06-26;--:--;      7.000
1979-06-27;--:--;      5.000
1979-06-28;--:--;      3.000
1979-06-29;--:--;      3.000
1979-06-30;--:--;      4.000
1979-07-01;--:--;     75.000
1979-07-02;--:--;     79.000
1979-07-03;--:--;     14.000
1979-07-04;--:--;     16.000
1979-07-05;--:--;     14.000
1979-07-06;--:--;     14.000
1979-07-07;--:--;      8.000
1979-07-08;--:--;      6.000
1979-07-09;--:--;      4.000
1979-07-10;--:--;      3.000
1979-07-11;--:--;      2.000
1979-07-12;--:--;      6.000
1979-07-13;--:--;    169.000
1979-07-14;--:--;    339.000
1979-07-15;--:--;     47.000
1979-07-16;--:--;     14.000
1979-07-17;--:--;    109.000
1979-07-18;--:--;    169.000
1979-07-19;--:--;     72.000
1979-07-20;--:--;    243.000
1979-07-21;--:--;    170.000
1979-07-22;--:--;     64.000
1979-07-23;--:--;    569.000
1979-07-24;--:--;    164.000
1979-07-25;--:--;      7.000
1979-07-26;--:--;      4.000
1979-07-27;--:--;      1.000
1979-07-28;--:--;    214.000
1979-07-29;--:--;     15.000
1979-07-30;--:--;     12.000
1979-07-31;--:--;    151.000
1979-08-01;--:--;    214.000
1979-08-02;--:--;    207.000
1979-08-03;--:--;    150.000
1979-08-04;--:--;    758.000
1979-08-05;--:--;    218.000
1979-08-06;--:--;     21.000
1979-08-07;--:--;      5.000
1979-08-08;--:--;     84.000
1979-08-09;--:--;    175.000
1979-08-10;--:--;    138.000
1979-08-11;--:--;    232.000
1979-08-12;--:--;     92.000
1979-08-13;--:--;     66.000
1979-08-14;--:--;     37.000
1979-08-15;--:--;     39.000
1979-08-16;--:--;     50.000
1979-08-17;--:--;    116.000
1979-08-18;--:--;     56.000
1979-08-19;--:--;     77.000
1979-08-20;--:--;    114.000
1979-08-21;--:--;    116.000
1979-08-22;--:--;     88.000
1979-08-23;--:--;    108.000
1979-08-24;--:--;     87.000
1979-08-25;--:--;     73.000
1979-08-26;--:--;     56.000
1979-08-27;--:--;     32.000
1979-08-28;--:--;     20.000
1979-08-29;--:--;     20.000
1979-08-30;--:--;     13.000
1979-08-31;--:--;     21.000
1979-09-01;--:--;     16.000
1979-09-02;--:--;     10.000
1979-09-03;--:--;      9.000
1979-09-04;--:--;      8.000
1979-09-05;--:--;      8.000
1979-09-06;--:--;      8.000
1979-09-07;--:--;      8.000
1979-09-08;--:--;      7.000
1979-09-09;--:--;      7.000
1979-09-10;--:--;      8.000
1979-09-11;--:--;      9.000
1979-09-12;--:--;     14.000
1979-09-13;--:--;     26.000
1979-09-14;--:--;    134.000
1979-09-15;--:--;     49.000
1979-09-16;--:--;    185.000
1979-09-17;--:--;     78.000
1979-09-18;--:--;     69.000
1979-09-19;--:--;     75.000
1979-09-20;--:--;     40.000
1979-09-21;--:--;     26.000
1979-09-22;--:--;     19.000
1979-09-23;--:--;     11.000
1979-09-24;--:--;     11.000
1979-09-25;--:--;     19.000
1979-09-26;--:--;     16.000
1979-09-27;--:--;     11.000
1979-09-28;--:--;     12.000
1979-09-29;--:--;     10.000
1979-09-30;--:--;      8.000
1979-10-01;--:--;      8.000
1979-10-02;--:--;      7.000
1979-10-03;--:--;      6.000
1979-10-04;--:--;      4.000
1979-10-05;--:--;      4.000
1979-10-06;--:--;      3.000
1979-10-07;--:--;      3.000
1979-10-08;--:--;      3.000
1979-10-09;--:--;      3.000
1979-10-10;--:--;      4.000
1979-10-11;--:--;      4.000
1979-10-12;--:--;      4.000
1979-10-13;--:--;      4.000
1979-10-14;--:--;      6.000
1979-10-15;--:--;      8.000
1979-10-16;--:--;     32.000
1979-10-17;--:--;     19.000
1979-10-18;--:--;     15.000
1979-10-19;--:--;     14.000
1979-10-20;--:--;     11.000
1979-10-21;--:--;     18.000
1979-10-22;--:--;     40.000
1979-10-23;--:--;     57.000
1979-10-24;--:--;     22.000
1979-10-25;--:--;     14.000
1979-10-26;--:--;     14.000
1979-10-27;--:--;      8.000
1979-10-28;--:--;      6.000
1979-10-29;--:--;      6.000
1979-10-30;--:--;      6.000
1979-10-31;--:--;      6.000
1979-11-01;--:--;      5.000
1979-11-02;--:--;      5.000
1979-11-03;--:--;      5.000
1979-11-04;--:--;      6.000
1979-11-05;--:--;      6.000
1979-11-06;--:--;      6.000
1979-11-07;--:--;      6.000
1979-11-08;--:--;      8.000
1979-11-09;--:--;      8.000
1979-11-10;--:--;      8.000
1979-11-11;--:--;      7.000
1979-11-12;--:--;      6.000
1979-11-13;--:--;      7.000
1979-11-14;--:--;      7.000
1979-11-15;--:--;      7.000
1979-11-16;--:--;      7.000
1979-11-17;--:--;      6.000
1979-11-18;--:--;      6.000
1979-11-19;--:--;      5.000
1979-11-20;--:--;      6.000
1979-11-21;--:--;      5.000
1979-11-22;--:--;      5.000
1979-11-23;--:--;      5.000
1979-11-24;--:--;      5.000
1979-11-25;--:--;      6.000
1979-11-26;--:--;      7.000
1979-11-27;--:--;     14.000
1979-11-28;--:--;     10.000
1979-11-29;--:--;     10.000
1979-11-30;--:--;      8.000
1979-12-01;--:--;      7.000
1979-12-02;--:--;      7.000
1979-12-03;--:--;      6.000
1979-12-04;--:--;      7.000
1979-12-05;--:--;      7.000
1979-12-06;--:--;      7.000
1979-12-07;--:--;      7.000
1979-12-08;--:--;      7.000
1979-12-09;--:--;      7.000
1979-12-10;--:--;      7.000
1979-12-11;--:--;      7.000
1979-12-12;--:--;      7.000
1979-12-13;--:--;      7.000
1979-12-14;--:--;      8.000
1979-12-15;--:--;      8.000
1979-12-16;--:--;      8.000
1979-12-17;--:--;      8.000
1979-12-18;--:--;      8.000
1979-12-19;--:--;      9.000
1979-12-20;--:--;      8.000
1979-12-21;--:--;      8.000
1979-12-22;--:--;      7.000
1979-12-23;--:--;      7.000
1979-12-24;--:--;      6.000
1979-12-25;--:--;      5.000
1979-12-26;--:--;      5.000
1979-12-27;--:--;      6.000
1979-12-28;--:--;      5.000
1979-12-29;--:--;      6.000
1979-12-30;--:--;      8.000
1979-12-31;--:--;     10.000
1980-01-01;--:--;    187.000
1980-01-02;--:--;    169.000
1980-01-03;--:--;     34.000
1980-01-04;--:--;     19.000
1980-01-05;--:--;     20.000
1980-01-06;--:--;     15.000
1980-01-07;--:--;     14.000
1980-01-08;--:--;     14.000
1980-01-09;--:--;     14.000
1980-01-10;--:--;     10.000
1980-01-11;--:--;     11.000
1980-01-12;--:--;     10.000
1980-01-13;--:--;      9.000
1980-01-14;--:--;      9.000
1980-01-15;--:--;      9.000
1980-01-16;--:--;      8.000
1980-01-17;--:--;      8.000
1980-01-18;--:--;      7.000
1980-01-19;--:--;     10.000
1980-01-20;--:--;     22.000
1980-01-21;--:--;     31.000
1980-01-22;--:--;     15.000
1980-01-23;--:--;     11.000
1980-01-24;--:--;      7.000
1980-01-25;--:--;      5.000
1980-01-26;--:--;      3.000
1980-01-27;--:--;      4.000
1980-01-28;--:--;      4.000
1980-01-29;--:--;      8.000
1980-01-30;--:--;      8.000
1980-01-31;--:--;      7.000
1980-02-01;--:--;      7.000
1980-02-02;--:--;      7.000
1980-02-03;--:--;     22.000
1980-02-04;--:--;     12.000
1980-02-05;--:--;     25.000
1980-02-06;--:--;     23.000
1980-02-07;--:--;     18.000
1980-02-08;--:--;     19.000
1980-02-09;--:--;     15.000
1980-02-10;--:--;     18.000
1980-02-11;--:--;     17.000
1980-02-12;--:--;     14.000
1980-02-13;--:--;     11.000
1980-02-14;--:--;     13.000
1980-02-15;--:--;     18.000
1980-02-16;--:--;     24.000
1980-02-17;--:--;     65.000
1980-02-18;--:--;     28.000
1980-02-19;--:--;     24.000
1980-02-20;--:--;     26.000
1980-02-21;--:--;     22.000
1980-02-22;--:--;     22.000
1980-02-23;--:--;     21.000
1980-02-24;--:--;     16.000
1980-02-25;--:--;     11.000
1980-02-26;--:--;      9.000
1980-02-27;--:--;      9.000
1980-02-28;--:--;     19.000
1980-02-29;--:--;     29.000
1980-03-01;--:--;     37.000
1980-03-02;--:--;     54.000
1980-03-03;--:--;     41.000
1980-03-04;--:--;     37.000
1980-03-05;--:--;     39.000
1980-03-06;--:--;     99.000
1980-03-07;--:--;     71.000
1980-03-08;--:--;     12.000
1980-03-09;--:--;     15.000
1980-03-10;--:--;      5.000
1980-03-11;--:--;     31.000
1980-03-12;--:--;     66.000
1980-03-13;--:--;     31.000
1980-03-14;--:--;     25.000
1980-03-15;--:--;     23.000
1980-03-16;--:--;     10.000
1980-03-17;--:--;     14.000
1980-03-18;--:--;     33.000
1980-03-19;--:--;     43.000
1980-03-20;--:--;     36.000
1980-03-21;--:--;     55.000
1980-03-22;--:--;     40.000
1980-03-23;--:--;    112.000
1980-03-24;--:--;     98.000
1980-03-25;--:--;     84.000
1980-03-26;--:--;     80.000
1980-03-27;--:--;     66.000
1980-03-28;--:--;    226.000
1980-03-29;--:--;     65.000
1980-03-30;--:--;     68.000
1980-03-31;--:--;     52.000
1980-04-01;--:--;     53.000
1980-04-02;--:--;     26.000
1980-04-03;--:--;    107.000
1980-04-04;--:--;     42.000
1980-04-05;--:--;     30.000
1980-04-06;--:--;     20.000
1980-04-07;--:--;     16.000
1980-04-08;--:--;     13.000
1980-04-09;--:--;      9.000
1980-04-10;--:--;      8.000
