# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335210
# River:                 SOAN RIVER
# Station:               DHOK PATHAN
# Country:               PK
# Latitude (DD):       33.13
# Longitude (DD):      72.33
# Catchment area (km²):      6475.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1981
# No. of years:          4
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 48
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     10.000;     10.226; 100
1978-02-01;--:--;      8.000;      9.143; 100
1978-03-01;--:--;     19.000;     19.419; 100
1978-04-01;--:--;      4.000;      4.467; 100
1978-05-01;--:--;      1.000;      1.419; 100
1978-06-01;--:--;     26.000;     27.100; 100
1978-07-01;--:--;    215.000;    215.806; 100
1978-08-01;--:--;    405.000;    405.452; 100
1978-09-01;--:--;     70.000;     72.733; 100
1978-10-01;--:--;     39.000;     39.548; 100
1978-11-01;--:--;     20.000;     21.233; 100
1978-12-01;--:--;     10.000;     10.355; 100
1979-01-01;--:--;     23.000;     23.839; 100
1979-02-01;--:--;     41.000;     46.214; 100
1979-03-01;--:--;     46.000;     46.355; 100
1979-04-01;--:--;     16.000;     17.333; 100
1979-05-01;--:--;      7.000;      7.903; 100
1979-06-01;--:--;      6.000;      6.600; 100
1979-07-01;--:--;     89.000;     89.484; 100
1979-08-01;--:--;    112.000;    112.355; 100
1979-09-01;--:--;     29.000;     30.367; 100
1979-10-01;--:--;     11.000;     11.581; 100
1979-11-01;--:--;      6.000;      6.733; 100
1979-12-01;--:--;      7.000;      7.097; 100
1980-01-01;--:--;     22.000;     22.645; 100
1980-02-01;--:--;     18.000;     19.448; 100
1980-03-01;--:--;     53.000;     53.806; 100
1980-04-01;--:--;     13.000;     13.500; 100
1980-05-01;--:--;      1.000;      1.452; 100
1980-06-01;--:--;     25.000;     26.433; 100
1980-07-01;--:--;    144.000;    144.516; 100
1980-08-01;--:--;    118.000;    118.581; 100
1980-09-01;--:--;     49.000;     51.233; 100
1980-10-01;--:--;     18.000;     18.742; 100
1980-11-01;--:--;      6.000;      6.200; 100
1980-12-01;--:--;      6.000;      6.323; 100
1981-01-01;--:--;     17.000;     17.774; 100
1981-02-01;--:--;     35.000;     38.750; 100
1981-03-01;--:--;     75.000;     75.387; 100
1981-04-01;--:--;     43.000;     44.633; 100
1981-05-01;--:--;     12.000;     12.903; 100
1981-06-01;--:--;      4.000;      4.600; 100
1981-07-01;--:--;    113.000;    113.645; 100
1981-08-01;--:--;     91.000;     91.258; 100
1981-09-01;--:--;     22.000;     23.400; 100
1981-10-01;--:--;      7.000;      7.806; 100
1981-11-01;--:--;      6.000;      6.200; 100
1981-12-01;--:--;      5.000;      5.839; 100
