# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335215
# River:                 HARO RIVER
# Station:               SANJWAL
# Country:               PK
# Latitude (DD):       33.75
# Longitude (DD):      72.43
# Catchment area (km²):      1800.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335230
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1979-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 730
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      9.000
1978-01-02;--:--;      9.000
1978-01-03;--:--;      9.000
1978-01-04;--:--;      9.000
1978-01-05;--:--;      9.000
1978-01-06;--:--;      9.000
1978-01-07;--:--;      9.000
1978-01-08;--:--;      9.000
1978-01-09;--:--;      8.000
1978-01-10;--:--;      8.000
1978-01-11;--:--;      8.000
1978-01-12;--:--;      8.000
1978-01-13;--:--;      9.000
1978-01-14;--:--;     12.000
1978-01-15;--:--;     11.000
1978-01-16;--:--;      9.000
1978-01-17;--:--;      9.000
1978-01-18;--:--;      9.000
1978-01-19;--:--;      8.000
1978-01-20;--:--;      8.000
1978-01-21;--:--;      8.000
1978-01-22;--:--;      8.000
1978-01-23;--:--;      9.000
1978-01-24;--:--;      8.000
1978-01-25;--:--;      9.000
1978-01-26;--:--;      8.000
1978-01-27;--:--;      9.000
1978-01-28;--:--;      9.000
1978-01-29;--:--;     17.000
1978-01-30;--:--;     12.000
1978-01-31;--:--;     11.000
1978-02-01;--:--;     10.000
1978-02-02;--:--;     10.000
1978-02-03;--:--;      9.000
1978-02-04;--:--;      9.000
1978-02-05;--:--;      9.000
1978-02-06;--:--;      9.000
1978-02-07;--:--;      9.000
1978-02-08;--:--;      9.000
1978-02-09;--:--;      9.000
1978-02-10;--:--;      9.000
1978-02-11;--:--;      9.000
1978-02-12;--:--;      8.000
1978-02-13;--:--;      8.000
1978-02-14;--:--;      8.000
1978-02-15;--:--;      9.000
1978-02-16;--:--;      9.000
1978-02-17;--:--;      8.000
1978-02-18;--:--;      9.000
1978-02-19;--:--;      9.000
1978-02-20;--:--;      9.000
1978-02-21;--:--;      8.000
1978-02-22;--:--;      8.000
1978-02-23;--:--;      8.000
1978-02-24;--:--;      8.000
1978-02-25;--:--;      8.000
1978-02-26;--:--;      8.000
1978-02-27;--:--;      8.000
1978-02-28;--:--;      8.000
1978-03-01;--:--;      8.000
1978-03-02;--:--;      8.000
1978-03-03;--:--;      8.000
1978-03-04;--:--;      8.000
1978-03-05;--:--;      9.000
1978-03-06;--:--;      9.000
1978-03-07;--:--;      9.000
1978-03-08;--:--;     11.000
1978-03-09;--:--;     10.000
1978-03-10;--:--;     10.000
1978-03-11;--:--;     10.000
1978-03-12;--:--;     11.000
1978-03-13;--:--;     10.000
1978-03-14;--:--;     10.000
1978-03-15;--:--;     10.000
1978-03-16;--:--;     11.000
1978-03-17;--:--;     88.000
1978-03-18;--:--;     46.000
1978-03-19;--:--;     32.000
1978-03-20;--:--;     28.000
1978-03-21;--:--;     25.000
1978-03-22;--:--;     25.000
1978-03-23;--:--;     23.000
1978-03-24;--:--;     21.000
1978-03-25;--:--;     20.000
1978-03-26;--:--;     20.000
1978-03-27;--:--;     13.000
1978-03-28;--:--;     19.000
1978-03-29;--:--;     18.000
1978-03-30;--:--;     16.000
1978-03-31;--:--;     14.000
1978-04-01;--:--;     13.000
1978-04-02;--:--;     12.000
1978-04-03;--:--;     13.000
1978-04-04;--:--;     13.000
1978-04-05;--:--;     12.000
1978-04-06;--:--;     12.000
1978-04-07;--:--;     11.000
1978-04-08;--:--;     10.000
1978-04-09;--:--;     10.000
1978-04-10;--:--;      9.000
1978-04-11;--:--;      9.000
1978-04-12;--:--;      9.000
1978-04-13;--:--;      8.000
1978-04-14;--:--;      8.000
1978-04-15;--:--;      8.000
1978-04-16;--:--;      7.000
1978-04-17;--:--;      7.000
1978-04-18;--:--;      8.000
1978-04-19;--:--;      8.000
1978-04-20;--:--;      7.000
1978-04-21;--:--;      7.000
1978-04-22;--:--;      7.000
1978-04-23;--:--;      7.000
1978-04-24;--:--;      7.000
1978-04-25;--:--;      7.000
1978-04-26;--:--;      7.000
1978-04-27;--:--;      7.000
1978-04-28;--:--;      6.000
1978-04-29;--:--;      6.000
1978-04-30;--:--;      6.000
1978-05-01;--:--;      6.000
1978-05-02;--:--;      6.000
1978-05-03;--:--;      6.000
1978-05-04;--:--;      6.000
1978-05-05;--:--;      6.000
1978-05-06;--:--;      6.000
1978-05-07;--:--;      6.000
1978-05-08;--:--;      6.000
1978-05-09;--:--;      6.000
1978-05-10;--:--;      6.000
1978-05-11;--:--;      6.000
1978-05-12;--:--;      6.000
1978-05-13;--:--;      6.000
1978-05-14;--:--;      6.000
1978-05-15;--:--;      6.000
1978-05-16;--:--;      6.000
1978-05-17;--:--;      6.000
1978-05-18;--:--;      6.000
1978-05-19;--:--;      6.000
1978-05-20;--:--;      6.000
1978-05-21;--:--;      6.000
1978-05-22;--:--;      6.000
1978-05-23;--:--;      6.000
1978-05-24;--:--;      6.000
1978-05-25;--:--;     17.000
1978-05-26;--:--;      7.000
1978-05-27;--:--;      7.000
1978-05-28;--:--;      6.000
1978-05-29;--:--;      6.000
1978-05-30;--:--;      6.000
1978-05-31;--:--;      6.000
1978-06-01;--:--;      6.000
1978-06-02;--:--;      6.000
1978-06-03;--:--;      6.000
1978-06-04;--:--;      6.000
1978-06-05;--:--;      6.000
1978-06-06;--:--;      6.000
1978-06-07;--:--;      6.000
1978-06-08;--:--;      6.000
1978-06-09;--:--;      6.000
1978-06-10;--:--;      6.000
1978-06-11;--:--;      6.000
1978-06-12;--:--;      6.000
1978-06-13;--:--;      6.000
1978-06-14;--:--;      6.000
1978-06-15;--:--;      6.000
1978-06-16;--:--;      6.000
1978-06-17;--:--;      6.000
1978-06-18;--:--;      6.000
1978-06-19;--:--;      6.000
1978-06-20;--:--;      6.000
1978-06-21;--:--;      6.000
1978-06-22;--:--;      6.000
1978-06-23;--:--;     65.000
1978-06-24;--:--;     15.000
1978-06-25;--:--;      8.000
1978-06-26;--:--;      7.000
1978-06-27;--:--;      7.000
1978-06-28;--:--;      6.000
1978-06-29;--:--;      7.000
1978-06-30;--:--;     54.000
1978-07-01;--:--;     22.000
1978-07-02;--:--;     14.000
1978-07-03;--:--;    142.000
1978-07-04;--:--;     34.000
1978-07-05;--:--;     23.000
1978-07-06;--:--;    317.000
1978-07-07;--:--;     62.000
1978-07-08;--:--;     83.000
1978-07-09;--:--;     44.000
1978-07-10;--:--;     76.000
1978-07-11;--:--;     55.000
1978-07-12;--:--;     34.000
1978-07-13;--:--;     28.000
1978-07-14;--:--;     30.000
1978-07-15;--:--;     24.000
1978-07-16;--:--;     22.000
1978-07-17;--:--;     21.000
1978-07-18;--:--;     26.000
1978-07-19;--:--;     71.000
1978-07-20;--:--;     50.000
1978-07-21;--:--;     87.000
1978-07-22;--:--;     33.000
1978-07-23;--:--;     62.000
1978-07-24;--:--;     69.000
1978-07-25;--:--;     54.000
1978-07-26;--:--;     53.000
1978-07-27;--:--;     52.000
1978-07-28;--:--;     91.000
1978-07-29;--:--;     46.000
1978-07-30;--:--;     44.000
1978-07-31;--:--;     46.000
1978-08-01;--:--;     43.000
1978-08-02;--:--;     77.000
1978-08-03;--:--;    560.000
1978-08-04;--:--;    297.000
1978-08-05;--:--;    114.000
1978-08-06;--:--;    300.000
1978-08-07;--:--;     96.000
1978-08-08;--:--;     81.000
1978-08-09;--:--;    139.000
1978-08-10;--:--;    190.000
1978-08-11;--:--;    194.000
1978-08-12;--:--;    112.000
1978-08-13;--:--;    126.000
1978-08-14;--:--;     99.000
1978-08-15;--:--;     71.000
1978-08-16;--:--;     70.000
1978-08-17;--:--;     66.000
1978-08-18;--:--;     66.000
1978-08-19;--:--;    305.000
1978-08-20;--:--;    404.000
1978-08-21;--:--;     64.000
1978-08-22;--:--;     62.000
1978-08-23;--:--;     57.000
1978-08-24;--:--;     94.000
1978-08-25;--:--;     49.000
1978-08-26;--:--;     85.000
1978-08-27;--:--;     64.000
1978-08-28;--:--;    171.000
1978-08-29;--:--;     56.000
1978-08-30;--:--;     47.000
1978-08-31;--:--;     44.000
1978-09-01;--:--;     43.000
1978-09-02;--:--;     41.000
1978-09-03;--:--;     92.000
1978-09-04;--:--;     47.000
1978-09-05;--:--;     39.000
1978-09-06;--:--;     37.000
1978-09-07;--:--;     35.000
1978-09-08;--:--;     34.000
1978-09-09;--:--;     34.000
1978-09-10;--:--;     37.000
1978-09-11;--:--;     34.000
1978-09-12;--:--;     32.000
1978-09-13;--:--;     32.000
1978-09-14;--:--;     37.000
1978-09-15;--:--;     58.000
1978-09-16;--:--;     32.000
1978-09-17;--:--;     29.000
1978-09-18;--:--;     27.000
1978-09-19;--:--;     25.000
1978-09-20;--:--;     25.000
1978-09-21;--:--;     26.000
1978-09-22;--:--;     22.000
1978-09-23;--:--;     22.000
1978-09-24;--:--;     30.000
