# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335215
# River:                 HARO RIVER
# Station:               SANJWAL
# Country:               PK
# Latitude (DD):       33.75
# Longitude (DD):      72.43
# Catchment area (km²):      1800.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335230
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1979
# No. of years:          2
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 24
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      9.000;      9.258; 100
1978-02-01;--:--;      7.000;      8.643; 100
1978-03-01;--:--;     18.000;     18.065; 100
1978-04-01;--:--;      8.000;      8.700; 100
1978-05-01;--:--;      6.000;      6.419; 100
1978-06-01;--:--;      9.000;     10.033; 100
1978-07-01;--:--;     58.000;     58.548; 100
1978-08-01;--:--;    135.000;    135.581; 100
1978-09-01;--:--;     33.000;     34.767; 100
1978-10-01;--:--;     19.000;     19.290; 100
1978-11-01;--:--;     16.000;     17.464;  93
1978-12-01;--:--;     11.000;     11.258; 100
1979-01-01;--:--;     12.000;     12.548; 100
1979-02-01;--:--;     16.000;     18.679; 100
1979-03-01;--:--;     38.000;     38.871; 100
1979-04-01;--:--;     21.000;     21.700; 100
1979-05-01;--:--;     11.000;     11.484; 100
1979-06-01;--:--;      9.000;      9.500; 100
1979-07-01;--:--;     15.000;     15.710; 100
1979-08-01;--:--;     25.000;     25.935; 100
1979-09-01;--:--;     12.000;     12.933; 100
1979-10-01;--:--;      8.000;      8.839; 100
1979-11-01;--:--;      8.000;      8.300; 100
1979-12-01;--:--;      8.000;      8.032; 100
