# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335230
# River:                 HARO RIVER
# Station:               GURRIALA
# Country:               PK
# Latitude (DD):       33.75
# Longitude (DD):      72.25
# Catchment area (km²):      2056.0
# Altitude (m ASL):        807.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1982
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 60
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     10.000;     10.290; 100
1978-02-01;--:--;      8.000;      9.179; 100
1978-03-01;--:--;     20.000;     20.710; 100
1978-04-01;--:--;      9.000;      9.700; 100
1978-05-01;--:--;      6.000;      6.516; 100
1978-06-01;--:--;     12.000;     12.933; 100
1978-07-01;--:--;    101.000;    101.903; 100
1978-08-01;--:--;    192.000;    192.968; 100
1978-09-01;--:--;     37.000;     39.067; 100
1978-10-01;--:--;     20.000;     20.452; 100
1978-11-01;--:--;     17.000;     18.433; 100
1978-12-01;--:--;     12.000;     12.516; 100
1979-01-01;--:--;     14.000;     14.161; 100
1979-02-01;--:--;     19.000;     21.571; 100
1979-03-01;--:--;     51.000;     51.677; 100
1979-04-01;--:--;     22.000;     23.667; 100
1979-05-01;--:--;     13.000;     13.161; 100
1979-06-01;--:--;      9.000;     10.033; 100
1979-07-01;--:--;     38.000;     38.161; 100
1979-08-01;--:--;     43.000;     43.839; 100
1979-09-01;--:--;     14.000;     15.000; 100
1979-10-01;--:--;      9.000;      9.290; 100
1979-11-01;--:--;      8.000;      9.267; 100
1979-12-01;--:--;      9.000;      9.258; 100
1980-01-01;--:--;     15.000;     15.968; 100
1980-02-01;--:--;     21.000;     22.655; 100
1980-03-01;--:--;     40.000;     40.097; 100
1980-04-01;--:--;     15.000;     16.433; 100
1980-05-01;--:--;      7.000;      7.323; 100
1980-06-01;--:--;     11.000;     11.367; 100
1980-07-01;--:--;     73.000;     73.677; 100
1980-08-01;--:--;     64.000;     64.581; 100
1980-09-01;--:--;     21.000;     21.967; 100
1980-10-01;--:--;     11.000;     11.645; 100
1980-11-01;--:--;      9.000;      9.467; 100
1980-12-01;--:--;      9.000;      9.226; 100
1981-01-01;--:--;     11.000;     11.548; 100
1981-02-01;--:--;     16.000;     17.821; 100
1981-03-01;--:--;     47.000;     47.419; 100
1981-04-01;--:--;     38.000;     40.000; 100
1981-05-01;--:--;     19.000;     19.452; 100
1981-06-01;--:--;     11.000;     11.600; 100
1981-07-01;--:--;     53.000;     53.645; 100
1981-08-01;--:--;     52.000;     52.419; 100
1981-09-01;--:--;     16.000;     16.967; 100
1981-10-01;--:--;     10.000;     10.258; 100
1981-11-01;--:--;      9.000;      9.867; 100
1981-12-01;--:--;      9.000;      9.032; 100
1982-01-01;--:--;      9.000;      9.613; 100
1982-02-01;--:--;      9.000;     10.321; 100
1982-03-01;--:--;     29.000;     29.742; 100
1982-04-01;--:--;     21.000;     22.633; 100
1982-05-01;--:--;     22.000;     22.935; 100
1982-06-01;--:--;     10.000;     11.033; 100
1982-07-01;--:--;     18.000;     18.333;  97
1982-08-01;--:--;     48.000;     48.000;  77
1982-09-01;--:--;     16.000;     17.100; 100
1982-10-01;--:--;     11.000;     11.000; 100
1982-11-01;--:--;     12.000;     12.857;  93
1982-12-01;--:--;     12.000;     12.548; 100
