# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335240
# River:                 HARO RIVER
# Station:               NEAR KHANPUR
# Country:               PK
# Latitude (DD):       33.79375
# Longitude (DD):      72.89792
# Catchment area (km²):      777.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335215
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1980-12
# No. of years:          4
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1096
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      3.000
1978-01-02;--:--;      3.000
1978-01-03;--:--;      3.000
1978-01-04;--:--;      2.000
1978-01-05;--:--;      2.000
1978-01-06;--:--;      3.000
1978-01-07;--:--;      3.000
1978-01-08;--:--;      3.000
1978-01-09;--:--;      2.000
1978-01-10;--:--;      2.000
1978-01-11;--:--;      2.000
1978-01-12;--:--;      2.000
1978-01-13;--:--;      2.000
1978-01-14;--:--;     11.000
1978-01-15;--:--;      6.000
1978-01-16;--:--;      6.000
1978-01-17;--:--;      6.000
1978-01-18;--:--;      6.000
1978-01-19;--:--;      6.000
1978-01-20;--:--;      5.000
1978-01-21;--:--;      5.000
1978-01-22;--:--;      5.000
1978-01-23;--:--;      5.000
1978-01-24;--:--;      5.000
1978-01-25;--:--;      5.000
1978-01-26;--:--;      5.000
1978-01-27;--:--;      5.000
1978-01-28;--:--;      6.000
1978-01-29;--:--;      8.000
1978-01-30;--:--;      7.000
1978-01-31;--:--;      6.000
1978-02-01;--:--;      5.000
1978-02-02;--:--;      5.000
1978-02-03;--:--;      5.000
1978-02-04;--:--;      4.000
1978-02-05;--:--;      4.000
1978-02-06;--:--;      4.000
1978-02-07;--:--;      4.000
1978-02-08;--:--;      4.000
1978-02-09;--:--;      4.000
1978-02-10;--:--;      4.000
1978-02-11;--:--;      4.000
1978-02-12;--:--;      4.000
1978-02-13;--:--;      4.000
1978-02-14;--:--;      4.000
1978-02-15;--:--;      4.000
1978-02-16;--:--;      4.000
1978-02-17;--:--;      4.000
1978-02-18;--:--;      4.000
1978-02-19;--:--;      4.000
1978-02-20;--:--;      4.000
1978-02-21;--:--;      4.000
1978-02-22;--:--;      4.000
1978-02-23;--:--;      4.000
1978-02-24;--:--;      4.000
1978-02-25;--:--;      3.000
1978-02-26;--:--;      3.000
1978-02-27;--:--;      3.000
1978-02-28;--:--;      4.000
1978-03-01;--:--;      4.000
1978-03-02;--:--;      4.000
1978-03-03;--:--;      4.000
1978-03-04;--:--;      5.000
1978-03-05;--:--;      6.000
1978-03-06;--:--;      9.000
1978-03-07;--:--;      7.000
1978-03-08;--:--;      6.000
1978-03-09;--:--;      7.000
1978-03-10;--:--;      7.000
1978-03-11;--:--;      8.000
1978-03-12;--:--;     10.000
1978-03-13;--:--;      9.000
1978-03-14;--:--;      9.000
1978-03-15;--:--;     10.000
1978-03-16;--:--;     10.000
1978-03-17;--:--;     73.000
1978-03-18;--:--;     34.000
1978-03-19;--:--;     25.000
1978-03-20;--:--;     20.000
1978-03-21;--:--;     18.000
1978-03-22;--:--;     16.000
1978-03-23;--:--;     15.000
1978-03-24;--:--;     13.000
1978-03-25;--:--;     13.000
1978-03-26;--:--;     12.000
1978-03-27;--:--;     12.000
1978-03-28;--:--;     12.000
1978-03-29;--:--;     11.000
1978-03-30;--:--;     10.000
1978-03-31;--:--;      9.000
1978-04-01;--:--;      9.000
1978-04-02;--:--;      9.000
1978-04-03;--:--;      9.000
1978-04-04;--:--;      9.000
1978-04-05;--:--;      9.000
1978-04-06;--:--;      8.000
1978-04-07;--:--;      8.000
1978-04-08;--:--;      8.000
1978-04-09;--:--;      7.000
1978-04-10;--:--;      6.000
1978-04-11;--:--;      5.000
1978-04-12;--:--;      5.000
1978-04-13;--:--;      5.000
1978-04-14;--:--;      5.000
1978-04-15;--:--;      5.000
1978-04-16;--:--;      5.000
1978-04-17;--:--;      5.000
1978-04-18;--:--;      5.000
1978-04-19;--:--;      5.000
1978-04-20;--:--;      5.000
1978-04-21;--:--;      5.000
1978-04-22;--:--;      5.000
1978-04-23;--:--;      4.000
1978-04-24;--:--;      4.000
1978-04-25;--:--;      4.000
1978-04-26;--:--;      4.000
1978-04-27;--:--;      4.000
1978-04-28;--:--;      3.000
1978-04-29;--:--;      3.000
1978-04-30;--:--;      4.000
1978-05-01;--:--;      3.000
1978-05-02;--:--;      3.000
1978-05-03;--:--;      3.000
1978-05-04;--:--;      3.000
1978-05-05;--:--;      3.000
1978-05-06;--:--;      3.000
1978-05-07;--:--;      3.000
1978-05-08;--:--;      3.000
1978-05-09;--:--;      2.000
1978-05-10;--:--;      2.000
1978-05-11;--:--;      2.000
1978-05-12;--:--;      2.000
1978-05-13;--:--;      2.000
1978-05-14;--:--;      2.000
1978-05-15;--:--;      2.000
1978-05-16;--:--;      2.000
1978-05-17;--:--;      1.000
1978-05-18;--:--;      1.000
1978-05-19;--:--;      1.000
1978-05-20;--:--;      1.000
1978-05-21;--:--;      1.000
1978-05-22;--:--;      1.000
1978-05-23;--:--;      1.000
1978-05-24;--:--;      1.000
1978-05-25;--:--;      3.000
1978-05-26;--:--;      1.000
1978-05-27;--:--;      1.000
1978-05-28;--:--;      1.000
1978-05-29;--:--;      1.000
1978-05-30;--:--;      1.000
1978-05-31;--:--;      1.000
1978-06-01;--:--;      1.000
1978-06-02;--:--;      1.000
1978-06-03;--:--;      1.000
1978-06-04;--:--;      1.000
1978-06-05;--:--;      1.000
1978-06-06;--:--;      0.000
1978-06-07;--:--;      0.000
1978-06-08;--:--;      0.000
1978-06-09;--:--;      0.000
1978-06-10;--:--;      0.000
1978-06-11;--:--;      0.000
1978-06-12;--:--;      0.000
1978-06-13;--:--;      0.000
1978-06-14;--:--;      2.000
1978-06-15;--:--;      1.000
1978-06-16;--:--;      1.000
1978-06-17;--:--;      1.000
1978-06-18;--:--;      0.000
1978-06-19;--:--;      0.000
1978-06-20;--:--;      0.000
1978-06-21;--:--;      0.000
1978-06-22;--:--;      0.000
1978-06-23;--:--;      0.000
1978-06-24;--:--;      0.000
1978-06-25;--:--;      0.000
1978-06-26;--:--;      0.000
1978-06-27;--:--;      1.000
1978-06-28;--:--;      1.000
1978-06-29;--:--;      4.000
1978-06-30;--:--;     46.000
1978-07-01;--:--;     13.000
1978-07-02;--:--;      7.000
1978-07-03;--:--;     11.000
1978-07-04;--:--;      5.000
1978-07-05;--:--;     10.000
1978-07-06;--:--;    177.000
1978-07-07;--:--;     66.000
1978-07-08;--:--;     55.000
1978-07-09;--:--;     45.000
1978-07-10;--:--;     59.000
1978-07-11;--:--;     45.000
1978-07-12;--:--;     41.000
1978-07-13;--:--;     27.000
1978-07-14;--:--;     24.000
1978-07-15;--:--;     21.000
1978-07-16;--:--;     24.000
1978-07-17;--:--;     26.000
1978-07-18;--:--;     26.000
1978-07-19;--:--;     62.000
1978-07-20;--:--;     45.000
1978-07-21;--:--;    118.000
1978-07-22;--:--;    109.000
1978-07-23;--:--;    115.000
1978-07-24;--:--;    103.000
1978-07-25;--:--;     99.000
1978-07-26;--:--;    109.000
1978-07-27;--:--;     96.000
1978-07-28;--:--;     90.000
1978-07-29;--:--;     67.000
1978-07-30;--:--;     61.000
1978-07-31;--:--;     45.000
1978-08-01;--:--;     37.000
1978-08-02;--:--;     82.000
1978-08-03;--:--;    186.000
1978-08-04;--:--;    133.000
1978-08-05;--:--;    111.000
1978-08-06;--:--;     81.000
1978-08-07;--:--;     74.000
1978-08-08;--:--;     70.000
1978-08-09;--:--;    117.000
1978-08-10;--:--;    128.000
1978-08-11;--:--;    103.000
1978-08-12;--:--;     88.000
1978-08-13;--:--;     82.000
1978-08-14;--:--;     72.000
1978-08-15;--:--;     62.000
