# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335240
# River:                 HARO RIVER
# Station:               NEAR KHANPUR
# Country:               PK
# Latitude (DD):       33.79375
# Longitude (DD):      72.89792
# Catchment area (km²):      777.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335215
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1980
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 36
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      4.000;      4.516; 100
1978-02-01;--:--;      3.000;      4.000; 100
1978-03-01;--:--;     13.000;     13.161; 100
1978-04-01;--:--;      5.000;      5.733; 100
1978-05-01;--:--;      1.000;      1.839; 100
1978-06-01;--:--;      2.000;      2.067; 100
1978-07-01;--:--;     58.000;     58.097; 100
1978-08-01;--:--;     71.000;     71.097; 100
1978-09-01;--:--;     23.000;     23.867; 100
1978-10-01;--:--;      9.000;      9.516; 100
1978-11-01;--:--;      5.000;      5.500; 100
1978-12-01;--:--;      2.000;      2.129; 100
1979-01-01;--:--;      3.000;      3.323; 100
1979-02-01;--:--;      8.000;      9.250; 100
1979-03-01;--:--;     36.000;     36.935; 100
1979-04-01;--:--;     16.000;     16.633; 100
1979-05-01;--:--;      6.000;      6.065; 100
1979-06-01;--:--;      2.000;      2.233; 100
1979-07-01;--:--;      5.000;      5.839; 100
1979-08-01;--:--;     17.000;     17.548; 100
1979-09-01;--:--;      5.000;      5.500; 100
1979-10-01;--:--;      1.000;      1.484; 100
1979-11-01;--:--;      0.000;      0.800; 100
1979-12-01;--:--;      0.000;      0.065; 100
1980-01-01;--:--;      5.000;      5.161; 100
1980-02-01;--:--;      7.000;      7.483; 100
1980-03-01;--:--;     16.000;     16.194; 100
1980-04-01;--:--;      8.000;      8.300; 100
1980-05-01;--:--;      2.000;      2.258; 100
1980-06-01;--:--;      8.000;      8.933; 100
1980-07-01;--:--;     10.000;     10.032; 100
1980-08-01;--:--;     26.000;     26.323; 100
1980-09-01;--:--;     10.000;     10.467; 100
1980-10-01;--:--;      4.000;      4.355; 100
1980-11-01;--:--;      2.000;      2.200; 100
1980-12-01;--:--;      0.000;      0.935; 100
