# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335250
# River:                 SOAN RIVER
# Station:               CHIRAH
# Country:               PK
# Latitude (DD):       33.63542
# Longitude (DD):      73.29792
# Catchment area (km²):      326.0
# Altitude (m ASL):        563.0
# Next downstream station:      2335260
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1979-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 730
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      0.000
1978-01-02;--:--;      0.000
1978-01-03;--:--;      0.000
1978-01-04;--:--;      0.000
1978-01-05;--:--;      0.000
1978-01-06;--:--;      0.000
1978-01-07;--:--;      0.000
1978-01-08;--:--;      0.000
1978-01-09;--:--;      0.000
1978-01-10;--:--;      0.000
1978-01-11;--:--;      0.000
1978-01-12;--:--;      0.000
1978-01-13;--:--;      0.000
1978-01-14;--:--;      5.000
1978-01-15;--:--;      1.000
1978-01-16;--:--;      0.000
1978-01-17;--:--;      0.000
1978-01-18;--:--;      0.000
1978-01-19;--:--;      0.000
1978-01-20;--:--;      0.000
1978-01-21;--:--;      0.000
1978-01-22;--:--;      0.000
1978-01-23;--:--;      0.000
1978-01-24;--:--;      0.000
1978-01-25;--:--;      0.000
1978-01-26;--:--;      0.000
1978-01-27;--:--;      0.000
1978-01-28;--:--;     43.000
1978-01-29;--:--;      6.000
1978-01-30;--:--;      4.000
1978-01-31;--:--;      3.000
1978-02-01;--:--;      2.000
1978-02-02;--:--;      2.000
1978-02-03;--:--;      1.000
1978-02-04;--:--;      1.000
1978-02-05;--:--;      1.000
1978-02-06;--:--;      3.000
1978-02-07;--:--;      3.000
1978-02-08;--:--;      1.000
1978-02-09;--:--;      1.000
1978-02-10;--:--;      1.000
1978-02-11;--:--;      1.000
1978-02-12;--:--;      1.000
1978-02-13;--:--;      1.000
1978-02-14;--:--;      1.000
1978-02-15;--:--;      3.000
1978-02-16;--:--;      1.000
1978-02-17;--:--;      1.000
1978-02-18;--:--;      3.000
1978-02-19;--:--;      2.000
1978-02-20;--:--;      2.000
1978-02-21;--:--;      1.000
1978-02-22;--:--;      1.000
1978-02-23;--:--;      1.000
1978-02-24;--:--;      1.000
1978-02-25;--:--;      1.000
1978-02-26;--:--;      1.000
1978-02-27;--:--;      1.000
1978-02-28;--:--;      1.000
1978-03-01;--:--;      0.000
1978-03-02;--:--;      2.000
1978-03-03;--:--;      1.000
1978-03-04;--:--;      2.000
1978-03-05;--:--;      3.000
1978-03-06;--:--;      6.000
1978-03-07;--:--;      2.000
1978-03-08;--:--;      1.000
1978-03-09;--:--;      1.000
1978-03-10;--:--;      1.000
1978-03-11;--:--;      3.000
1978-03-12;--:--;      2.000
1978-03-13;--:--;      1.000
1978-03-14;--:--;      1.000
1978-03-15;--:--;      1.000
1978-03-16;--:--;      4.000
1978-03-17;--:--;     26.000
1978-03-18;--:--;      8.000
1978-03-19;--:--;      6.000
1978-03-20;--:--;      5.000
1978-03-21;--:--;      4.000
1978-03-22;--:--;      4.000
1978-03-23;--:--;      4.000
1978-03-24;--:--;      3.000
1978-03-25;--:--;      3.000
1978-03-26;--:--;      3.000
1978-03-27;--:--;      2.000
1978-03-28;--:--;      2.000
1978-03-29;--:--;      2.000
1978-03-30;--:--;      2.000
1978-03-31;--:--;      2.000
1978-04-01;--:--;      2.000
1978-04-02;--:--;      2.000
