# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335250
# River:                 SOAN RIVER
# Station:               CHIRAH
# Country:               PK
# Latitude (DD):       33.63542
# Longitude (DD):      73.29792
# Catchment area (km²):      326.0
# Altitude (m ASL):        563.0
# Next downstream station:      2335260
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1979
# No. of years:          2
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 24
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      2.000;      2.000; 100
1978-02-01;--:--;      1.000;      1.429; 100
1978-03-01;--:--;      3.000;      3.452; 100
1978-04-01;--:--;      0.000;      0.733; 100
1978-05-01;--:--;      0.000;      0.000; 100
1978-06-01;--:--;      1.000;      1.167; 100
1978-07-01;--:--;     26.000;     26.516; 100
1978-08-01;--:--;     48.000;     48.710; 100
1978-09-01;--:--;     14.000;     14.933; 100
1978-10-01;--:--;      1.000;      1.871; 100
1978-11-01;--:--;      1.000;      1.500; 100
1978-12-01;--:--;      0.000;      0.000; 100
1979-01-01;--:--;      7.000;      7.484; 100
1979-02-01;--:--;     17.000;     19.893; 100
1979-03-01;--:--;     10.000;     10.226; 100
1979-04-01;--:--;      2.000;      2.833; 100
1979-05-01;--:--;      0.000;      0.355; 100
1979-06-01;--:--;      0.000;      0.233; 100
1979-07-01;--:--;      7.000;      7.194; 100
1979-08-01;--:--;     11.000;     11.516; 100
1979-09-01;--:--;      1.000;      1.367; 100
1979-10-01;--:--;      0.000;      0.000; 100
1979-11-01;--:--;      0.000;      0.067; 100
1979-12-01;--:--;      0.000;      0.000; 100
