# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2335260
# River:                 SOAN RIVER
# Station:               NEAR RAWALPINDI
# Country:               PK
# Latitude (DD):       33.55
# Longitude (DD):      73.1
# Catchment area (km²):      1684.0
# Altitude (m ASL):        419.0
# Next downstream station:      2335210
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1979-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 730
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      5.000
1978-01-02;--:--;      5.000
1978-01-03;--:--;      5.000
1978-01-04;--:--;      5.000
1978-01-05;--:--;      5.000
1978-01-06;--:--;      5.000
1978-01-07;--:--;      5.000
1978-01-08;--:--;      5.000
1978-01-09;--:--;      5.000
1978-01-10;--:--;      4.000
1978-01-11;--:--;      4.000
1978-01-12;--:--;      4.000
1978-01-13;--:--;      4.000
1978-01-14;--:--;      8.000
1978-01-15;--:--;      9.000
1978-01-16;--:--;      7.000
1978-01-17;--:--;      5.000
1978-01-18;--:--;      5.000
1978-01-19;--:--;      5.000
1978-01-20;--:--;      5.000
1978-01-21;--:--;      5.000
1978-01-22;--:--;      4.000
1978-01-23;--:--;      4.000
1978-01-24;--:--;      4.000
1978-01-25;--:--;      4.000
1978-01-26;--:--;      5.000
1978-01-27;--:--;      5.000
1978-01-28;--:--;      7.000
1978-01-29;--:--;     34.000
1978-01-30;--:--;     21.000
1978-01-31;--:--;     13.000
1978-02-01;--:--;      7.000
1978-02-02;--:--;      7.000
1978-02-03;--:--;      7.000
1978-02-04;--:--;      6.000
1978-02-05;--:--;      5.000
1978-02-06;--:--;      5.000
1978-02-07;--:--;      9.000
1978-02-08;--:--;      9.000
1978-02-09;--:--;      6.000
1978-02-10;--:--;      5.000
1978-02-11;--:--;      5.000
1978-02-12;--:--;      5.000
1978-02-13;--:--;      5.000
1978-02-14;--:--;      5.000
1978-02-15;--:--;      5.000
1978-02-16;--:--;      6.000
1978-02-17;--:--;      5.000
1978-02-18;--:--;      8.000
1978-02-19;--:--;      7.000
1978-02-20;--:--;      5.000
1978-02-21;--:--;      5.000
1978-02-22;--:--;      5.000
1978-02-23;--:--;      5.000
1978-02-24;--:--;      4.000
1978-02-25;--:--;      4.000
1978-02-26;--:--;      4.000
1978-02-27;--:--;      4.000
1978-02-28;--:--;      4.000
1978-03-01;--:--;      4.000
1978-03-02;--:--;      4.000
1978-03-03;--:--;      6.000
1978-03-04;--:--;      7.000
1978-03-05;--:--;     11.000
1978-03-06;--:--;     12.000
1978-03-07;--:--;      9.000
1978-03-08;--:--;      7.000
1978-03-09;--:--;      6.000
1978-03-10;--:--;      6.000
1978-03-11;--:--;      7.000
1978-03-12;--:--;      8.000
1978-03-13;--:--;      7.000
1978-03-14;--:--;      6.000
1978-03-15;--:--;      8.000
1978-03-16;--:--;      9.000
1978-03-17;--:--;    130.000
1978-03-18;--:--;     30.000
1978-03-19;--:--;     15.000
1978-03-20;--:--;     12.000
1978-03-21;--:--;     11.000
1978-03-22;--:--;     10.000
1978-03-23;--:--;      9.000
1978-03-24;--:--;      9.000
1978-03-25;--:--;      8.000
1978-03-26;--:--;      8.000
1978-03-27;--:--;      7.000
1978-03-28;--:--;      7.000
1978-03-29;--:--;      6.000
1978-03-30;--:--;      6.000
1978-03-31;--:--;      6.000
1978-04-01;--:--;      5.000
1978-04-02;--:--;      5.000
1978-04-03;--:--;      7.000
1978-04-04;--:--;      7.000
1978-04-05;--:--;      6.000
1978-04-06;--:--;      5.000
1978-04-07;--:--;      5.000
1978-04-08;--:--;      5.000
1978-04-09;--:--;      4.000
1978-04-10;--:--;      4.000
1978-04-11;--:--;      4.000
1978-04-12;--:--;      4.000
1978-04-13;--:--;      4.000
1978-04-14;--:--;      3.000
1978-04-15;--:--;      3.000
1978-04-16;--:--;      3.000
1978-04-17;--:--;      3.000
1978-04-18;--:--;      3.000
1978-04-19;--:--;      3.000
1978-04-20;--:--;      3.000
1978-04-21;--:--;      3.000
1978-04-22;--:--;      3.000
1978-04-23;--:--;      3.000
1978-04-24;--:--;      3.000
1978-04-25;--:--;      3.000
1978-04-26;--:--;      3.000
1978-04-27;--:--;      3.000
1978-04-28;--:--;      3.000
1978-04-29;--:--;      2.000
1978-04-30;--:--;      2.000
1978-05-01;--:--;      2.000
1978-05-02;--:--;      2.000
1978-05-03;--:--;      2.000
1978-05-04;--:--;      2.000
1978-05-05;--:--;      2.000
1978-05-06;--:--;      2.000
1978-05-07;--:--;      2.000
1978-05-08;--:--;      2.000
1978-05-09;--:--;      2.000
1978-05-10;--:--;      2.000
1978-05-11;--:--;      2.000
1978-05-12;--:--;      2.000
1978-05-13;--:--;      2.000
1978-05-14;--:--;      2.000
1978-05-15;--:--;      2.000
1978-05-16;--:--;      2.000
1978-05-17;--:--;      2.000
1978-05-18;--:--;      2.000
1978-05-19;--:--;      2.000
1978-05-20;--:--;      1.000
1978-05-21;--:--;      1.000
1978-05-22;--:--;      1.000
1978-05-23;--:--;      1.000
1978-05-24;--:--;      1.000
1978-05-25;--:--;     13.000
1978-05-26;--:--;      7.000
1978-05-27;--:--;      3.000
1978-05-28;--:--;      3.000
1978-05-29;--:--;      2.000
1978-05-30;--:--;      2.000
1978-05-31;--:--;      2.000
1978-06-01;--:--;      2.000
1978-06-02;--:--;      2.000
1978-06-03;--:--;      2.000
1978-06-04;--:--;      1.000
1978-06-05;--:--;      1.000
1978-06-06;--:--;      1.000
1978-06-07;--:--;      1.000
1978-06-08;--:--;      1.000
1978-06-09;--:--;      1.000
1978-06-10;--:--;      1.000
1978-06-11;--:--;      1.000
1978-06-12;--:--;      1.000
1978-06-13;--:--;      3.000
1978-06-14;--:--;     15.000
1978-06-15;--:--;     16.000
1978-06-16;--:--;      7.000
1978-06-17;--:--;      3.000
1978-06-18;--:--;      3.000
1978-06-19;--:--;      2.000
1978-06-20;--:--;      2.000
1978-06-21;--:--;      1.000
1978-06-22;--:--;      1.000
1978-06-23;--:--;      1.000
1978-06-24;--:--;      1.000
1978-06-25;--:--;      1.000
1978-06-26;--:--;      1.000
1978-06-27;--:--;      4.000
1978-06-28;--:--;      3.000
1978-06-29;--:--;      2.000
1978-06-30;--:--;    145.000
1978-07-01;--:--;     31.000
1978-07-02;--:--;     21.000
1978-07-03;--:--;     61.000
1978-07-04;--:--;     31.000
1978-07-05;--:--;     26.000
1978-07-06;--:--;    185.000
1978-07-07;--:--;     72.000
1978-07-08;--:--;     50.000
1978-07-09;--:--;     18.000
1978-07-10;--:--;     18.000
1978-07-11;--:--;     20.000
1978-07-12;--:--;     15.000
1978-07-13;--:--;    125.000
1978-07-14;--:--;     22.000
1978-07-15;--:--;     12.000
1978-07-16;--:--;     14.000
1978-07-17;--:--;     23.000
1978-07-18;--:--;     19.000
1978-07-19;--:--;     24.000
1978-07-20;--:--;    219.000
1978-07-21;--:--;    283.000
1978-07-22;--:--;    101.000
1978-07-23;--:--;    133.000
1978-07-24;--:--;     59.000
1978-07-25;--:--;     75.000
1978-07-26;--:--;     63.000
1978-07-27;--:--;     68.000
1978-07-28;--:--;     95.000
1978-07-29;--:--;     24.000
1978-07-30;--:--;    102.000
1978-07-31;--:--;     19.000
1978-08-01;--:--;     41.000
1978-08-02;--:--;    322.000
1978-08-03;--:--;   -999.000
1978-08-04;--:--;    484.000
1978-08-05;--:--;    179.000
1978-08-06;--:--;    268.000
1978-08-07;--:--;    133.000
1978-08-08;--:--;    133.000
1978-08-09;--:--;    212.000
1978-08-10;--:--;    362.000
1978-08-11;--:--;    196.000
1978-08-12;--:--;    106.000
1978-08-13;--:--;    256.000
1978-08-14;--:--;    209.000
1978-08-15;--:--;     68.000
1978-08-16;--:--;     58.000
1978-08-17;--:--;     43.000
1978-08-18;--:--;     49.000
1978-08-19;--:--;    467.000
1978-08-20;--:--;    164.000
1978-08-21;--:--;    104.000
1978-08-22;--:--;    217.000
1978-08-23;--:--;     76.000
1978-08-24;--:--;    180.000
1978-08-25;--:--;    197.000
1978-08-26;--:--;     45.000
1978-08-27;--:--;    124.000
1978-08-28;--:--;    273.000
1978-08-29;--:--;     83.000
1978-08-30;--:--;     32.000
1978-08-31;--:--;     30.000
1978-09-01;--:--;     31.000
1978-09-02;--:--;     29.000
1978-09-03;--:--;    262.000
1978-09-04;--:--;    214.000
1978-09-05;--:--;     96.000
1978-09-06;--:--;     57.000
1978-09-07;--:--;     30.000
1978-09-08;--:--;     26.000
1978-09-09;--:--;     43.000
1978-09-10;--:--;     79.000
1978-09-11;--:--;     20.000
1978-09-12;--:--;     22.000
1978-09-13;--:--;     20.000
1978-09-14;--:--;     21.000
1978-09-15;--:--;     55.000
1978-09-16;--:--;     28.000
1978-09-17;--:--;     18.000
1978-09-18;--:--;     24.000
1978-09-19;--:--;     19.000
1978-09-20;--:--;     14.000
1978-09-21;--:--;     15.000
1978-09-22;--:--;     13.000
1978-09-23;--:--;     43.000
1978-09-24;--:--;     37.000
1978-09-25;--:--;     17.000
1978-09-26;--:--;     14.000
1978-09-27;--:--;     43.000
1978-09-28;--:--;    109.000
1978-09-29;--:--;     42.000
1978-09-30;--:--;     37.000
1978-10-01;--:--;     21.000
1978-10-02;--:--;     22.000
1978-10-03;--:--;     26.000
1978-10-04;--:--;     34.000
1978-10-05;--:--;     32.000
1978-10-06;--:--;     32.000
1978-10-07;--:--;     34.000
1978-10-08;--:--;     16.000
1978-10-09;--:--;     11.000
1978-10-10;--:--;     11.000
1978-10-11;--:--;     12.000
1978-10-12;--:--;     11.000
1978-10-13;--:--;     10.000
1978-10-14;--:--;     10.000
1978-10-15;--:--;      9.000
1978-10-16;--:--;      9.000
1978-10-17;--:--;      8.000
1978-10-18;--:--;      8.000
1978-10-19;--:--;      8.000
1978-10-20;--:--;      8.000
1978-10-21;--:--;      8.000
1978-10-22;--:--;      8.000
1978-10-23;--:--;      8.000
1978-10-24;--:--;      7.000
1978-10-25;--:--;      7.000
1978-10-26;--:--;      7.000
1978-10-27;--:--;      8.000
1978-10-28;--:--;      8.000
1978-10-29;--:--;      8.000
1978-10-30;--:--;      8.000
1978-10-31;--:--;      8.000
1978-11-01;--:--;      8.000
1978-11-02;--:--;      7.000
1978-11-03;--:--;      8.000
1978-11-04;--:--;     16.000
1978-11-05;--:--;     12.000
1978-11-06;--:--;    120.000
1978-11-07;--:--;     21.000
1978-11-08;--:--;     14.000
1978-11-09;--:--;     10.000
1978-11-10;--:--;      9.000
1978-11-11;--:--;      8.000
1978-11-12;--:--;      8.000
1978-11-13;--:--;      8.000
1978-11-14;--:--;      8.000
1978-11-15;--:--;      8.000
1978-11-16;--:--;      8.000
1978-11-17;--:--;      7.000
1978-11-18;--:--;      7.000
1978-11-19;--:--;      7.000
1978-11-20;--:--;      7.000
1978-11-21;--:--;      7.000
1978-11-22;--:--;      7.000
1978-11-23;--:--;      7.000
1978-11-24;--:--;      6.000
1978-11-25;--:--;      6.000
1978-11-26;--:--;      6.000
1978-11-27;--:--;      6.000
1978-11-28;--:--;      6.000
1978-11-29;--:--;      6.000
1978-11-30;--:--;      6.000
1978-12-01;--:--;      6.000
1978-12-02;--:--;      6.000
1978-12-03;--:--;      6.000
1978-12-04;--:--;      6.000
1978-12-05;--:--;      6.000
1978-12-06;--:--;      6.000
1978-12-07;--:--;      6.000
1978-12-08;--:--;      6.000
1978-12-09;--:--;      5.000
1978-12-10;--:--;      5.000
1978-12-11;--:--;      5.000
1978-12-12;--:--;      5.000
1978-12-13;--:--;      5.000
1978-12-14;--:--;      5.000
1978-12-15;--:--;      5.000
