# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335260
# River:                 SOAN RIVER
# Station:               NEAR RAWALPINDI
# Country:               PK
# Latitude (DD):       33.55
# Longitude (DD):      73.1
# Catchment area (km²):      1684.0
# Altitude (m ASL):        419.0
# Next downstream station:      2335210
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1979
# No. of years:          2
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 24
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      6.000;      6.806; 100
1978-02-01;--:--;      5.000;      5.607; 100
1978-03-01;--:--;     12.000;     12.613; 100
1978-04-01;--:--;      3.000;      3.800; 100
1978-05-01;--:--;      2.000;      2.419; 100
1978-06-01;--:--;      7.000;      7.533; 100
1978-07-01;--:--;     65.000;     65.419; 100
1978-08-01;--:--;    170.000;    170.367;  97
1978-09-01;--:--;     47.000;     49.267; 100
1978-10-01;--:--;     13.000;     13.452; 100
1978-11-01;--:--;     11.000;     12.133; 100
1978-12-01;--:--;      5.000;      5.323; 100
1979-01-01;--:--;     10.000;     10.419; 100
1979-02-01;--:--;     10.000;     12.000; 100
1979-03-01;--:--;     26.000;     26.645; 100
1979-04-01;--:--;     10.000;     11.000; 100
1979-05-01;--:--;      5.000;      5.194; 100
1979-06-01;--:--;      3.000;      3.200; 100
1979-07-01;--:--;     23.000;     23.097; 100
1979-08-01;--:--;     25.000;     25.548; 100
1979-09-01;--:--;      6.000;      6.467; 100
1979-10-01;--:--;      4.000;      4.290; 100
1979-11-01;--:--;      3.000;      3.300; 100
1979-12-01;--:--;      3.000;      3.806; 100
