# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335600
# River:                 KHOST RIVER
# Station:               CHAFFAR RIFT
# Country:               PK
# Latitude (DD):       30.33
# Longitude (DD):      67.5
# Catchment area (km²):      1321.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979 - 1981
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 36
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1979-01-01;--:--;      0.000;      0.000; 100
1979-02-01;--:--;      0.000;      0.679; 100
1979-03-01;--:--;      1.000;      1.129; 100
1979-04-01;--:--;      1.000;      1.067; 100
1979-05-01;--:--;      0.000;      0.167;  97
1979-06-01;--:--;      0.000;      0.000; 100
1979-07-01;--:--;      0.000;      0.097; 100
1979-08-01;--:--;      0.000;      0.000; 100
1979-09-01;--:--;      0.000;      0.000; 100
1979-10-01;--:--;      0.000;      0.000; 100
1979-11-01;--:--;      0.000;      0.000; 100
1979-12-01;--:--;      0.000;      0.000; 100
1980-01-01;--:--;   -999.000;   -999.000;   0
1980-02-01;--:--;   -999.000;   -999.000;   0
1980-03-01;--:--;   -999.000;   -999.000;   0
1980-04-01;--:--;   -999.000;   -999.000;   0
1980-05-01;--:--;   -999.000;   -999.000;   0
1980-06-01;--:--;   -999.000;   -999.000;   0
1980-07-01;--:--;   -999.000;   -999.000;   0
1980-08-01;--:--;   -999.000;   -999.000;   0
1980-09-01;--:--;   -999.000;   -999.000;   0
1980-10-01;--:--;   -999.000;   -999.000;   0
1980-11-01;--:--;   -999.000;   -999.000;   0
1980-12-01;--:--;   -999.000;   -999.000;   0
1981-01-01;--:--;      0.000;      0.000; 100
1981-02-01;--:--;      0.000;      0.000; 100
1981-03-01;--:--;      0.000;      0.000; 100
1981-04-01;--:--;      0.000;      0.000; 100
1981-05-01;--:--;      0.000;      0.032; 100
1981-06-01;--:--;      0.000;      0.000; 100
1981-07-01;--:--;      0.000;      0.000; 100
1981-08-01;--:--;      0.000;      0.000; 100
1981-09-01;--:--;      0.000;      0.000; 100
1981-10-01;--:--;      0.000;      0.000; 100
1981-11-01;--:--;      0.000;      0.000; 100
1981-12-01;--:--;      0.000;      0.000; 100
