# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2335950
# River:                 INDUS RIVER
# Station:               KOTRI
# Country:               PK
# Latitude (DD):       25.37
# Longitude (DD):      68.37
# Catchment area (km²):      832418.0
# Altitude (m ASL):        13.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936 - 1979
# No. of years:          44
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 519
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1936-10-01;--:--;   1670.000;   -999.000;   0
1936-11-01;--:--;    763.000;   -999.000;   0
1936-12-01;--:--;    730.000;   -999.000;   0
1937-01-01;--:--;    544.000;   -999.000;   0
1937-02-01;--:--;    393.000;   -999.000;   0
1937-03-01;--:--;    698.000;   -999.000;   0
1937-04-01;--:--;   1340.000;   -999.000;   0
1937-05-01;--:--;   3110.000;   -999.000;   0
1937-06-01;--:--;   5130.000;   -999.000;   0
1937-07-01;--:--;   7550.000;   -999.000;   0
1937-08-01;--:--;   8540.000;   -999.000;   0
1937-09-01;--:--;   5050.000;   -999.000;   0
1937-10-01;--:--;   1030.000;   -999.000;   0
1937-11-01;--:--;    527.000;   -999.000;   0
1937-12-01;--:--;    610.000;   -999.000;   0
1938-01-01;--:--;    410.000;   -999.000;   0
1938-02-01;--:--;    385.000;   -999.000;   0
1938-03-01;--:--;    573.000;   -999.000;   0
1938-04-01;--:--;   1820.000;   -999.000;   0
1938-05-01;--:--;   4650.000;   -999.000;   0
1938-06-01;--:--;   8680.000;   -999.000;   0
1938-07-01;--:--;   7170.000;   -999.000;   0
1938-08-01;--:--;  10700.000;   -999.000;   0
1938-09-01;--:--;   4870.000;   -999.000;   0
1938-10-01;--:--;    936.000;   -999.000;   0
1938-11-01;--:--;    506.000;   -999.000;   0
1938-12-01;--:--;    548.000;   -999.000;   0
1939-01-01;--:--;    336.000;   -999.000;   0
1939-02-01;--:--;    139.000;   -999.000;   0
1939-03-01;--:--;   1280.000;   -999.000;   0
1939-04-01;--:--;   2710.000;   -999.000;   0
1939-05-01;--:--;   3710.000;   -999.000;   0
1939-06-01;--:--;   5890.000;   -999.000;   0
1939-07-01;--:--;   7640.000;   -999.000;   0
1939-08-01;--:--;   8520.000;   -999.000;   0
1939-09-01;--:--;   5660.000;   -999.000;   0
1939-10-01;--:--;   1180.000;   -999.000;   0
1939-11-01;--:--;    592.000;   -999.000;   0
1939-12-01;--:--;    430.000;   -999.000;   0
1940-01-01;--:--;    492.000;   -999.000;   0
1940-02-01;--:--;    141.000;   -999.000;   0
1940-03-01;--:--;     89.700;   -999.000;   0
1940-04-01;--:--;    431.000;   -999.000;   0
1940-05-01;--:--;   1160.000;   -999.000;   0
1940-06-01;--:--;   4510.000;   -999.000;   0
1940-07-01;--:--;   7030.000;   -999.000;   0
1940-08-01;--:--;   8540.000;   -999.000;   0
1940-09-01;--:--;   3190.000;   -999.000;   0
1940-10-01;--:--;    656.000;   -999.000;   0
1940-11-01;--:--;    410.000;   -999.000;   0
1940-12-01;--:--;    292.000;   -999.000;   0
1941-01-01;--:--;    401.000;   -999.000;   0
1941-02-01;--:--;     67.900;   -999.000;   0
1941-03-01;--:--;     51.800;   -999.000;   0
1941-04-01;--:--;    254.000;   -999.000;   0
1941-05-01;--:--;   2530.000;   -999.000;   0
1941-06-01;--:--;   5290.000;   -999.000;   0
1941-07-01;--:--;   6880.000;   -999.000;   0
1941-08-01;--:--;   7040.000;   -999.000;   0
1941-09-01;--:--;   4530.000;   -999.000;   0
1941-10-01;--:--;   1170.000;   -999.000;   0
1941-11-01;--:--;    552.000;   -999.000;   0
1941-12-01;--:--;    433.000;   -999.000;   0
1942-01-01;--:--;    818.000;   -999.000;   0
1942-02-01;--:--;    368.000;   -999.000;   0
