# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2336300
# River:                 KANSI RIVER
# Station:               NEAR PALOTE
# Country:               PK
# Latitude (DD):       34.33
# Longitude (DD):      73.05
# Catchment area (km²):      1111.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1980-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 731
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;      2.000
1979-01-02;--:--;      2.000
1979-01-03;--:--;      2.000
1979-01-04;--:--;      2.000
1979-01-05;--:--;      2.000
1979-01-06;--:--;      2.000
1979-01-07;--:--;      2.000
1979-01-08;--:--;      2.000
1979-01-09;--:--;      2.000
1979-01-10;--:--;      2.000
1979-01-11;--:--;      2.000
1979-01-12;--:--;      2.000
1979-01-13;--:--;      2.000
1979-01-14;--:--;      7.000
1979-01-15;--:--;      7.000
1979-01-16;--:--;      6.000
1979-01-17;--:--;      4.000
1979-01-18;--:--;      3.000
1979-01-19;--:--;      2.000
1979-01-20;--:--;      2.000
1979-01-21;--:--;      2.000
1979-01-22;--:--;      2.000
1979-01-23;--:--;      2.000
1979-01-24;--:--;      2.000
1979-01-25;--:--;      2.000
1979-01-26;--:--;      2.000
1979-01-27;--:--;      2.000
1979-01-28;--:--;      2.000
1979-01-29;--:--;      3.000
1979-01-30;--:--;      6.000
1979-01-31;--:--;      3.000
1979-02-01;--:--;      2.000
1979-02-02;--:--;      2.000
1979-02-03;--:--;      2.000
1979-02-04;--:--;      2.000
1979-02-05;--:--;      2.000
1979-02-06;--:--;      2.000
1979-02-07;--:--;      2.000
1979-02-08;--:--;      2.000
1979-02-09;--:--;      2.000
1979-02-10;--:--;      2.000
1979-02-11;--:--;      2.000
1979-02-12;--:--;      2.000
1979-02-13;--:--;      2.000
1979-02-14;--:--;      2.000
1979-02-15;--:--;      2.000
1979-02-16;--:--;      2.000
1979-02-17;--:--;      3.000
1979-02-18;--:--;      3.000
1979-02-19;--:--;     56.000
1979-02-20;--:--;     35.000
1979-02-21;--:--;      5.000
1979-02-22;--:--;      1.000
1979-02-23;--:--;      2.000
1979-02-24;--:--;      2.000
1979-02-25;--:--;      2.000
1979-02-26;--:--;      2.000
1979-02-27;--:--;      1.000
1979-02-28;--:--;      2.000
1979-03-01;--:--;      1.000
1979-03-02;--:--;      2.000
1979-03-03;--:--;     13.000
1979-03-04;--:--;      7.000
1979-03-05;--:--;     11.000
1979-03-06;--:--;     19.000
1979-03-07;--:--;     28.000
1979-03-08;--:--;     33.000
1979-03-09;--:--;      9.000
1979-03-10;--:--;      8.000
1979-03-11;--:--;      6.000
1979-03-12;--:--;      5.000
1979-03-13;--:--;      5.000
1979-03-14;--:--;      3.000
1979-03-15;--:--;      2.000
1979-03-16;--:--;      2.000
1979-03-17;--:--;     12.000
1979-03-18;--:--;     10.000
1979-03-19;--:--;      5.000
1979-03-20;--:--;      4.000
1979-03-21;--:--;      3.000
1979-03-22;--:--;      3.000
1979-03-23;--:--;      3.000
1979-03-24;--:--;      3.000
1979-03-25;--:--;      2.000
1979-03-26;--:--;      2.000
1979-03-27;--:--;      2.000
1979-03-28;--:--;      2.000
1979-03-29;--:--;      3.000
1979-03-30;--:--;      5.000
1979-03-31;--:--;     12.000
1979-04-01;--:--;      4.000
1979-04-02;--:--;      3.000
1979-04-03;--:--;      3.000
1979-04-04;--:--;      6.000
1979-04-05;--:--;      5.000
1979-04-06;--:--;      3.000
1979-04-07;--:--;      2.000
1979-04-08;--:--;      2.000
1979-04-09;--:--;      2.000
1979-04-10;--:--;      2.000
1979-04-11;--:--;      1.000
1979-04-12;--:--;      1.000
1979-04-13;--:--;      1.000
1979-04-14;--:--;      1.000
1979-04-15;--:--;      1.000
1979-04-16;--:--;      1.000
1979-04-17;--:--;      1.000
1979-04-18;--:--;      1.000
1979-04-19;--:--;      1.000
1979-04-20;--:--;      1.000
1979-04-21;--:--;      1.000
1979-04-22;--:--;      1.000
1979-04-23;--:--;      1.000
1979-04-24;--:--;      1.000
1979-04-25;--:--;      1.000
1979-04-26;--:--;      1.000
1979-04-27;--:--;      1.000
1979-04-28;--:--;      1.000
1979-04-29;--:--;      1.000
1979-04-30;--:--;      1.000
1979-05-01;--:--;      1.000
1979-05-02;--:--;      1.000
1979-05-03;--:--;      1.000
1979-05-04;--:--;      1.000
1979-05-05;--:--;      0.000
1979-05-06;--:--;      0.000
1979-05-07;--:--;      0.000
1979-05-08;--:--;      0.000
1979-05-09;--:--;      1.000
1979-05-10;--:--;      1.000
1979-05-11;--:--;      0.000
1979-05-12;--:--;      0.000
1979-05-13;--:--;      0.000
1979-05-14;--:--;      1.000
1979-05-15;--:--;      1.000
1979-05-16;--:--;      2.000
1979-05-17;--:--;      1.000
1979-05-18;--:--;      1.000
1979-05-19;--:--;      1.000
1979-05-20;--:--;      0.000
1979-05-21;--:--;      0.000
1979-05-22;--:--;      3.000
1979-05-23;--:--;      1.000
1979-05-24;--:--;      1.000
1979-05-25;--:--;      1.000
1979-05-26;--:--;      1.000
1979-05-27;--:--;      1.000
1979-05-28;--:--;      2.000
1979-05-29;--:--;      1.000
1979-05-30;--:--;      1.000
1979-05-31;--:--;      0.000
1979-06-01;--:--;      0.000
1979-06-02;--:--;      1.000
1979-06-03;--:--;      1.000
1979-06-04;--:--;      0.000
1979-06-05;--:--;      0.000
1979-06-06;--:--;      0.000
1979-06-07;--:--;      0.000
1979-06-08;--:--;      0.000
1979-06-09;--:--;      0.000
1979-06-10;--:--;      0.000
1979-06-11;--:--;      0.000
1979-06-12;--:--;      1.000
1979-06-13;--:--;      3.000
1979-06-14;--:--;      3.000
1979-06-15;--:--;      1.000
1979-06-16;--:--;      1.000
1979-06-17;--:--;      1.000
1979-06-18;--:--;      0.000
1979-06-19;--:--;      0.000
1979-06-20;--:--;      0.000
1979-06-21;--:--;      0.000
1979-06-22;--:--;      7.000
1979-06-23;--:--;      1.000
1979-06-24;--:--;      0.000
1979-06-25;--:--;      1.000
1979-06-26;--:--;      0.000
1979-06-27;--:--;      0.000
1979-06-28;--:--;      0.000
1979-06-29;--:--;      0.000
1979-06-30;--:--;      8.000
1979-07-01;--:--;      8.000
1979-07-02;--:--;      7.000
1979-07-03;--:--;      3.000
1979-07-04;--:--;      4.000
1979-07-05;--:--;      1.000
1979-07-06;--:--;      1.000
1979-07-07;--:--;      1.000
1979-07-08;--:--;      1.000
1979-07-09;--:--;      0.000
1979-07-10;--:--;      0.000
1979-07-11;--:--;      0.000
1979-07-12;--:--;      0.000
1979-07-13;--:--;     24.000
1979-07-14;--:--;      8.000
1979-07-15;--:--;      1.000
1979-07-16;--:--;      1.000
1979-07-17;--:--;      5.000
1979-07-18;--:--;      8.000
1979-07-19;--:--;      5.000
1979-07-20;--:--;     20.000
1979-07-21;--:--;      7.000
1979-07-22;--:--;      1.000
1979-07-23;--:--;     38.000
1979-07-24;--:--;     15.000
1979-07-25;--:--;      8.000
1979-07-26;--:--;      2.000
1979-07-27;--:--;      1.000
1979-07-28;--:--;      1.000
1979-07-29;--:--;      1.000
1979-07-30;--:--;      1.000
1979-07-31;--:--;     45.000
1979-08-01;--:--;     20.000
1979-08-02;--:--;     38.000
1979-08-03;--:--;     21.000
1979-08-04;--:--;     96.000
1979-08-05;--:--;     11.000
1979-08-06;--:--;      4.000
1979-08-07;--:--;      2.000
1979-08-08;--:--;     73.000
1979-08-09;--:--;     24.000
1979-08-10;--:--;     12.000
1979-08-11;--:--;     15.000
1979-08-12;--:--;      5.000
1979-08-13;--:--;      2.000
1979-08-14;--:--;      7.000
1979-08-15;--:--;      6.000
1979-08-16;--:--;     42.000
1979-08-17;--:--;      6.000
1979-08-18;--:--;      2.000
1979-08-19;--:--;      9.000
1979-08-20;--:--;     11.000
1979-08-21;--:--;      3.000
1979-08-22;--:--;      2.000
1979-08-23;--:--;     24.000
1979-08-24;--:--;      6.000
1979-08-25;--:--;      2.000
1979-08-26;--:--;      2.000
1979-08-27;--:--;      2.000
1979-08-28;--:--;      3.000
1979-08-29;--:--;      1.000
1979-08-30;--:--;      1.000
1979-08-31;--:--;      1.000
1979-09-01;--:--;      1.000
1979-09-02;--:--;      2.000
1979-09-03;--:--;      1.000
1979-09-04;--:--;      1.000
1979-09-05;--:--;      0.000
1979-09-06;--:--;      0.000
1979-09-07;--:--;      0.000
1979-09-08;--:--;      0.000
1979-09-09;--:--;      1.000
1979-09-10;--:--;      2.000
1979-09-11;--:--;     56.000
1979-09-12;--:--;     18.000
1979-09-13;--:--;     52.000
1979-09-14;--:--;     15.000
1979-09-15;--:--;     18.000
1979-09-16;--:--;     27.000
1979-09-17;--:--;     18.000
1979-09-18;--:--;     25.000
1979-09-19;--:--;      7.000
1979-09-20;--:--;      4.000
1979-09-21;--:--;      2.000
1979-09-22;--:--;      2.000
1979-09-23;--:--;      2.000
