# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2336320
# River:                 PUNCH RIVER
# Station:               NEAR KOTLI
# Country:               PK
# Latitude (DD):       33.48
# Longitude (DD):      73.88
# Catchment area (km²):      3238.0
# Altitude (m ASL):        510.0
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1980-12
# No. of years:          4
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1096
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     57.000
1978-01-02;--:--;     56.000
1978-01-03;--:--;     55.000
1978-01-04;--:--;     53.000
1978-01-05;--:--;     51.000
1978-01-06;--:--;     51.000
1978-01-07;--:--;     50.000
1978-01-08;--:--;     48.000
1978-01-09;--:--;     45.000
1978-01-10;--:--;     42.000
1978-01-11;--:--;     40.000
1978-01-12;--:--;     40.000
1978-01-13;--:--;     49.000
1978-01-14;--:--;    108.000
1978-01-15;--:--;     63.000
1978-01-16;--:--;     50.000
1978-01-17;--:--;     48.000
1978-01-18;--:--;     46.000
1978-01-19;--:--;     47.000
1978-01-20;--:--;     47.000
1978-01-21;--:--;     49.000
1978-01-22;--:--;     48.000
1978-01-23;--:--;     55.000
1978-01-24;--:--;     54.000
1978-01-25;--:--;     52.000
1978-01-26;--:--;     52.000
1978-01-27;--:--;     55.000
1978-01-28;--:--;    320.000
1978-01-29;--:--;    263.000
1978-01-30;--:--;    139.000
1978-01-31;--:--;    114.000
1978-02-01;--:--;    100.000
1978-02-02;--:--;     91.000
1978-02-03;--:--;     83.000
1978-02-04;--:--;     77.000
1978-02-05;--:--;     73.000
1978-02-06;--:--;     92.000
1978-02-07;--:--;    112.000
1978-02-08;--:--;     82.000
1978-02-09;--:--;     67.000
1978-02-10;--:--;     73.000
1978-02-11;--:--;     72.000
1978-02-12;--:--;     77.000
1978-02-13;--:--;     86.000
1978-02-14;--:--;     90.000
1978-02-15;--:--;    109.000
1978-02-16;--:--;    109.000
1978-02-17;--:--;    107.000
1978-02-18;--:--;    110.000
1978-02-19;--:--;    100.000
1978-02-20;--:--;     96.000
1978-02-21;--:--;     91.000
1978-02-22;--:--;     92.000
1978-02-23;--:--;     96.000
1978-02-24;--:--;     94.000
1978-02-25;--:--;    111.000
1978-02-26;--:--;    121.000
1978-02-27;--:--;    108.000
1978-02-28;--:--;    115.000
1978-03-01;--:--;    219.000
1978-03-02;--:--;    177.000
1978-03-03;--:--;    151.000
1978-03-04;--:--;    192.000
1978-03-05;--:--;    305.000
1978-03-06;--:--;    235.000
1978-03-07;--:--;    178.000
1978-03-08;--:--;    156.000
1978-03-09;--:--;    148.000
1978-03-10;--:--;    227.000
1978-03-11;--:--;    294.000
1978-03-12;--:--;    225.000
1978-03-13;--:--;    182.000
1978-03-14;--:--;    177.000
1978-03-15;--:--;    169.000
1978-03-16;--:--;    812.000
1978-03-17;--:--;   3285.000
1978-03-18;--:--;    705.000
1978-03-19;--:--;    464.000
1978-03-20;--:--;    365.000
1978-03-21;--:--;    317.000
1978-03-22;--:--;    283.000
1978-03-23;--:--;    255.000
1978-03-24;--:--;    244.000
1978-03-25;--:--;    229.000
1978-03-26;--:--;    214.000
1978-03-27;--:--;    209.000
1978-03-28;--:--;    228.000
