# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2336320
# River:                 PUNCH RIVER
# Station:               NEAR KOTLI
# Country:               PK
# Latitude (DD):       33.48
# Longitude (DD):      73.88
# Catchment area (km²):      3238.0
# Altitude (m ASL):        510.0
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1980
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 36
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     72.000;     72.484; 100
1978-02-01;--:--;     84.000;     94.071; 100
1978-03-01;--:--;    362.000;    362.194; 100
1978-04-01;--:--;    194.000;    200.533; 100
1978-05-01;--:--;    162.000;    162.452; 100
1978-06-01;--:--;    160.000;    165.467; 100
1978-07-01;--:--;    450.000;    450.226; 100
1978-08-01;--:--;    412.000;    412.355; 100
1978-09-01;--:--;    149.000;    154.167; 100
1978-10-01;--:--;     66.000;     66.806; 100
1978-11-01;--:--;     73.000;     75.567; 100
1978-12-01;--:--;     34.000;     34.968; 100
1979-01-01;--:--;     23.000;     23.226; 100
1979-02-01;--:--;     60.000;     67.500; 100
1979-03-01;--:--;    280.000;    280.065; 100
1979-04-01;--:--;    139.000;    143.800; 100
1979-05-01;--:--;     89.000;     89.516; 100
1979-06-01;--:--;    103.000;    106.533; 100
1979-07-01;--:--;    119.000;    119.387; 100
1979-08-01;--:--;    219.000;    219.161; 100
1979-09-01;--:--;    132.000;    136.933; 100
1979-10-01;--:--;     61.000;     61.710; 100
1979-11-01;--:--;     50.000;     52.200; 100
1979-12-01;--:--;     43.000;     43.613; 100
1980-01-01;--:--;     58.000;     58.323; 100
1980-02-01;--:--;     91.000;     97.931; 100
1980-03-01;--:--;    149.000;    149.935; 100
1980-04-01;--:--;    104.000;    108.033; 100
1980-05-01;--:--;     97.000;     97.806; 100
1980-06-01;--:--;    114.000;    118.033; 100
1980-07-01;--:--;    134.000;    134.613; 100
1980-08-01;--:--;    119.000;    119.065; 100
1980-09-01;--:--;     72.000;     74.600; 100
1980-10-01;--:--;     42.000;     42.548; 100
1980-11-01;--:--;     42.000;     44.267; 100
1980-12-01;--:--;     33.000;     33.065; 100
