# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2336350
# River:                 JHELUM RIVER
# Station:               CHINARI
# Country:               PK
# Latitude (DD):       34.15
# Longitude (DD):      73.83
# Catchment area (km²):      13598.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1982-12
# No. of years:          6
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1826
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    130.000
1978-01-02;--:--;    128.000
1978-01-03;--:--;    125.000
1978-01-04;--:--;    123.000
1978-01-05;--:--;    122.000
1978-01-06;--:--;     34.000
1978-01-07;--:--;    118.000
1978-01-08;--:--;    115.000
1978-01-09;--:--;    113.000
1978-01-10;--:--;    111.000
1978-01-11;--:--;    109.000
1978-01-12;--:--;    107.000
1978-01-13;--:--;    109.000
1978-01-14;--:--;    111.000
1978-01-15;--:--;    112.000
1978-01-16;--:--;    111.000
1978-01-17;--:--;    109.000
1978-01-18;--:--;    115.000
1978-01-19;--:--;    119.000
1978-01-20;--:--;    121.000
1978-01-21;--:--;    115.000
1978-01-22;--:--;    113.000
1978-01-23;--:--;    118.000
1978-01-24;--:--;    118.000
1978-01-25;--:--;    118.000
1978-01-26;--:--;    118.000
1978-01-27;--:--;    118.000
1978-01-28;--:--;    128.000
1978-01-29;--:--;    139.000
1978-01-30;--:--;    141.000
1978-01-31;--:--;    144.000
1978-02-01;--:--;    149.000
1978-02-02;--:--;    137.000
1978-02-03;--:--;    147.000
1978-02-04;--:--;    148.000
1978-02-05;--:--;    150.000
1978-02-06;--:--;    159.000
1978-02-07;--:--;    162.000
1978-02-08;--:--;    160.000
1978-02-09;--:--;    153.000
1978-02-10;--:--;    152.000
1978-02-11;--:--;    151.000
1978-02-12;--:--;    154.000
1978-02-13;--:--;    152.000
1978-02-14;--:--;    166.000
1978-02-15;--:--;    182.000
1978-02-16;--:--;    180.000
1978-02-17;--:--;    194.000
1978-02-18;--:--;    176.000
1978-02-19;--:--;    182.000
1978-02-20;--:--;    170.000
1978-02-21;--:--;    172.000
1978-02-22;--:--;    175.000
1978-02-23;--:--;    178.000
1978-02-24;--:--;    179.000
1978-02-25;--:--;    182.000
1978-02-26;--:--;    187.000
1978-02-27;--:--;    199.000
1978-02-28;--:--;    208.000
1978-03-01;--:--;    267.000
1978-03-02;--:--;    281.000
1978-03-03;--:--;    259.000
1978-03-04;--:--;    263.000
1978-03-05;--:--;    271.000
1978-03-06;--:--;    300.000
1978-03-07;--:--;    291.000
1978-03-08;--:--;    264.000
1978-03-09;--:--;    205.000
1978-03-10;--:--;    260.000
1978-03-11;--:--;    314.000
1978-03-12;--:--;    314.000
1978-03-13;--:--;    310.000
1978-03-14;--:--;    308.000
1978-03-15;--:--;    305.000
1978-03-16;--:--;    339.000
1978-03-17;--:--;    722.000
1978-03-18;--:--;    603.000
1978-03-19;--:--;    608.000
1978-03-20;--:--;    620.000
1978-03-21;--:--;    614.000
1978-03-22;--:--;    580.000
1978-03-23;--:--;    563.000
1978-03-24;--:--;    546.000
1978-03-25;--:--;    523.000
1978-03-26;--:--;    509.000
1978-03-27;--:--;    484.000
1978-03-28;--:--;    577.000
1978-03-29;--:--;    506.000
1978-03-30;--:--;    495.000
1978-03-31;--:--;    453.000
1978-04-01;--:--;    430.000
1978-04-02;--:--;    419.000
1978-04-03;--:--;    421.000
1978-04-04;--:--;    441.000
1978-04-05;--:--;    444.000
1978-04-06;--:--;    427.000
1978-04-07;--:--;    424.000
1978-04-08;--:--;    436.000
1978-04-09;--:--;    444.000
1978-04-10;--:--;    455.000
1978-04-11;--:--;    492.000
1978-04-12;--:--;    515.000
1978-04-13;--:--;    540.000
1978-04-14;--:--;    574.000
1978-04-15;--:--;    606.000
1978-04-16;--:--;    642.000
1978-04-17;--:--;    739.000
1978-04-18;--:--;    974.000
1978-04-19;--:--;    926.000
1978-04-20;--:--;    855.000
1978-04-21;--:--;    835.000
1978-04-22;--:--;    846.000
1978-04-23;--:--;    849.000
1978-04-24;--:--;    841.000
1978-04-25;--:--;    826.000
1978-04-26;--:--;    818.000
1978-04-27;--:--;    807.000
1978-04-28;--:--;    798.000
1978-04-29;--:--;    801.000
1978-04-30;--:--;    787.000
1978-05-01;--:--;    778.000
1978-05-02;--:--;    787.000
1978-05-03;--:--;    784.000
1978-05-04;--:--;    784.000
1978-05-05;--:--;    801.000
1978-05-06;--:--;    849.000
1978-05-07;--:--;    835.000
1978-05-08;--:--;    824.000
1978-05-09;--:--;    818.000
1978-05-10;--:--;    812.000
1978-05-11;--:--;    815.000
1978-05-12;--:--;    807.000
1978-05-13;--:--;    801.000
1978-05-14;--:--;    792.000
1978-05-15;--:--;    787.000
1978-05-16;--:--;    770.000
1978-05-17;--:--;    747.000
1978-05-18;--:--;    739.000
1978-05-19;--:--;    744.000
1978-05-20;--:--;    733.000
1978-05-21;--:--;    727.000
1978-05-22;--:--;    722.000
1978-05-23;--:--;    730.000
1978-05-24;--:--;    724.000
1978-05-25;--:--;    790.000
1978-05-26;--:--;    832.000
1978-05-27;--:--;    883.000
1978-05-28;--:--;    880.000
1978-05-29;--:--;    841.000
1978-05-30;--:--;    829.000
1978-05-31;--:--;    821.000
1978-06-01;--:--;    807.000
1978-06-02;--:--;    790.000
1978-06-03;--:--;    775.000
1978-06-04;--:--;    739.000
1978-06-05;--:--;    733.000
1978-06-06;--:--;    722.000
1978-06-07;--:--;    716.000
1978-06-08;--:--;    702.000
1978-06-09;--:--;    679.000
1978-06-10;--:--;    634.000
1978-06-11;--:--;    623.000
1978-06-12;--:--;    608.000
1978-06-13;--:--;    600.000
1978-06-14;--:--;    589.000
1978-06-15;--:--;    580.000
1978-06-16;--:--;    577.000
1978-06-17;--:--;    569.000
1978-06-18;--:--;    540.000
1978-06-19;--:--;    529.000
1978-06-20;--:--;    515.000
1978-06-21;--:--;    504.000
1978-06-22;--:--;    489.000
1978-06-23;--:--;    481.000
1978-06-24;--:--;    478.000
1978-06-25;--:--;    481.000
1978-06-26;--:--;    470.000
1978-06-27;--:--;    458.000
1978-06-28;--:--;    453.000
1978-06-29;--:--;    453.000
1978-06-30;--:--;    441.000
1978-07-01;--:--;    450.000
1978-07-02;--:--;    464.000
1978-07-03;--:--;    470.000
1978-07-04;--:--;    470.000
1978-07-05;--:--;    461.000
1978-07-06;--:--;    472.000
1978-07-07;--:--;    501.000
1978-07-08;--:--;    506.000
1978-07-09;--:--;    526.000
1978-07-10;--:--;    552.000
1978-07-11;--:--;    501.000
1978-07-12;--:--;    569.000
1978-07-13;--:--;    572.000
1978-07-14;--:--;    566.000
1978-07-15;--:--;    549.000
1978-07-16;--:--;    540.000
1978-07-17;--:--;    535.000
1978-07-18;--:--;    501.000
1978-07-19;--:--;    470.000
1978-07-20;--:--;    461.000
1978-07-21;--:--;    455.000
1978-07-22;--:--;    461.000
1978-07-23;--:--;    478.000
