# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2336350
# River:                 JHELUM RIVER
# Station:               CHINARI
# Country:               PK
# Latitude (DD):       34.15
# Longitude (DD):      73.83
# Catchment area (km²):      13598.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1982
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 60
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;    116.000;    116.516; 100
1978-02-01;--:--;    151.000;    168.000; 100
1978-03-01;--:--;    417.000;    417.871; 100
1978-04-01;--:--;    626.000;    647.067; 100
1978-05-01;--:--;    793.000;    793.097; 100
1978-06-01;--:--;    572.000;    591.167; 100
1978-07-01;--:--;    507.000;    507.935; 100
1978-08-01;--:--;    475.000;    475.516; 100
1978-09-01;--:--;    201.000;    207.800; 100
1978-10-01;--:--;    119.000;    119.548; 100
1978-11-01;--:--;    165.000;    170.733; 100
1978-12-01;--:--;    111.000;    111.806; 100
1979-01-01;--:--;    101.000;    101.419; 100
1979-02-01;--:--;    125.000;    138.643; 100
1979-03-01;--:--;    333.000;    333.903; 100
1979-04-01;--:--;    580.000;    599.700; 100
1979-05-01;--:--;    581.000;    581.258; 100
1979-06-01;--:--;    522.000;    539.933; 100
1979-07-01;--:--;    430.000;    430.032; 100
1979-08-01;--:--;    238.000;    238.387; 100
1979-09-01;--:--;    180.000;    186.867; 100
1979-10-01;--:--;    123.000;    123.806; 100
1979-11-01;--:--;    109.000;    113.467; 100
1979-12-01;--:--;    127.000;    127.613; 100
1980-01-01;--:--;    110.000;    110.323; 100
1980-02-01;--:--;    214.000;    229.103; 100
1980-03-01;--:--;    418.000;    418.032; 100
1980-04-01;--:--;    485.000;    501.333; 100
1980-05-01;--:--;    629.000;    629.774; 100
1980-06-01;--:--;    600.000;    620.400; 100
1980-07-01;--:--;    526.000;    526.516; 100
1980-08-01;--:--;    333.000;    333.097; 100
1980-09-01;--:--;    245.000;    253.600; 100
1980-10-01;--:--;    124.000;    124.581; 100
1980-11-01;--:--;     82.000;     84.900; 100
1980-12-01;--:--;     95.000;     95.323; 100
1981-01-01;--:--;    112.000;    112.032; 100
1981-02-01;--:--;    279.000;    309.286; 100
1981-03-01;--:--;    557.000;    557.484; 100
1981-04-01;--:--;    841.000;    877.783;  77
1981-05-01;--:--;    830.000;    830.742; 100
1981-06-01;--:--;    515.000;    532.700; 100
1981-07-01;--:--;    452.000;    452.613; 100
1981-08-01;--:--;    359.000;    359.871; 100
1981-09-01;--:--;    100.000;    104.000; 100
1981-10-01;--:--;    102.000;    102.677; 100
1981-11-01;--:--;     74.000;     76.833; 100
1981-12-01;--:--;     51.000;     51.903; 100
1982-01-01;--:--;     71.000;     71.345;  94
1982-02-01;--:--;     95.000;    105.357; 100
1982-03-01;--:--;    353.000;    353.161; 100
1982-04-01;--:--;    580.000;    600.133; 100
1982-05-01;--:--;    627.000;    627.032; 100
1982-06-01;--:--;    493.000;    510.333; 100
1982-07-01;--:--;    374.000;    374.032; 100
1982-08-01;--:--;    289.000;    289.806; 100
1982-09-01;--:--;     98.000;    102.200; 100
1982-10-01;--:--;     95.000;     95.387; 100
1982-11-01;--:--;    139.000;    143.767; 100
1982-12-01;--:--;    157.000;    157.000; 100
