# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2336400
# River:                 NILAM RIVER
# Station:               MUZZAFARABAD
# Country:               PK
# Latitude (DD):       34.37
# Longitude (DD):      73.48
# Catchment area (km²):      7278.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2336350
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1982-12
# No. of years:          6
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1826
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     74.000
1978-01-02;--:--;     73.000
1978-01-03;--:--;     69.000
1978-01-04;--:--;     65.000
1978-01-05;--:--;     64.000
1978-01-06;--:--;     62.000
1978-01-07;--:--;     62.000
1978-01-08;--:--;     66.000
1978-01-09;--:--;     67.000
1978-01-10;--:--;     62.000
1978-01-11;--:--;     61.000
1978-01-12;--:--;     67.000
1978-01-13;--:--;     69.000
1978-01-14;--:--;     79.000
1978-01-15;--:--;     69.000
1978-01-16;--:--;     70.000
1978-01-17;--:--;     72.000
1978-01-18;--:--;     72.000
1978-01-19;--:--;     69.000
1978-01-20;--:--;     68.000
1978-01-21;--:--;     70.000
1978-01-22;--:--;     71.000
1978-01-23;--:--;     73.000
1978-01-24;--:--;     72.000
1978-01-25;--:--;     72.000
1978-01-26;--:--;     71.000
1978-01-27;--:--;     71.000
1978-01-28;--:--;     78.000
1978-01-29;--:--;     68.000
1978-01-30;--:--;     63.000
1978-01-31;--:--;     65.000
1978-02-01;--:--;     68.000
1978-02-02;--:--;     74.000
1978-02-03;--:--;     71.000
1978-02-04;--:--;     71.000
1978-02-05;--:--;     75.000
1978-02-06;--:--;     76.000
1978-02-07;--:--;     75.000
1978-02-08;--:--;     73.000
1978-02-09;--:--;     74.000
1978-02-10;--:--;     72.000
1978-02-11;--:--;     70.000
1978-02-12;--:--;     73.000
1978-02-13;--:--;     81.000
1978-02-14;--:--;     87.000
1978-02-15;--:--;     93.000
1978-02-16;--:--;     85.000
1978-02-17;--:--;     79.000
1978-02-18;--:--;     95.000
1978-02-19;--:--;     88.000
1978-02-20;--:--;     89.000
1978-02-21;--:--;     86.000
1978-02-22;--:--;     86.000
1978-02-23;--:--;     88.000
1978-02-24;--:--;     88.000
1978-02-25;--:--;     95.000
1978-02-26;--:--;    104.000
1978-02-27;--:--;    111.000
1978-02-28;--:--;    111.000
1978-03-01;--:--;    120.000
1978-03-02;--:--;    123.000
1978-03-03;--:--;    115.000
1978-03-04;--:--;    112.000
1978-03-05;--:--;    109.000
1978-03-06;--:--;    109.000
1978-03-07;--:--;     99.000
1978-03-08;--:--;     95.000
1978-03-09;--:--;    102.000
1978-03-10;--:--;    102.000
1978-03-11;--:--;     99.000
1978-03-12;--:--;    102.000
1978-03-13;--:--;    104.000
1978-03-14;--:--;    101.000
1978-03-15;--:--;    107.000
1978-03-16;--:--;    137.000
1978-03-17;--:--;    228.000
1978-03-18;--:--;    171.000
1978-03-19;--:--;    170.000
1978-03-20;--:--;    161.000
1978-03-21;--:--;    161.000
1978-03-22;--:--;    156.000
1978-03-23;--:--;    145.000
1978-03-24;--:--;    150.000
1978-03-25;--:--;    151.000
1978-03-26;--:--;    156.000
1978-03-27;--:--;    164.000
1978-03-28;--:--;    199.000
1978-03-29;--:--;    202.000
1978-03-30;--:--;    197.000
1978-03-31;--:--;    204.000
1978-04-01;--:--;    198.000
1978-04-02;--:--;    206.000
1978-04-03;--:--;    214.000
1978-04-04;--:--;    229.000
1978-04-05;--:--;    228.000
1978-04-06;--:--;    242.000
1978-04-07;--:--;    276.000
1978-04-08;--:--;    328.000
1978-04-09;--:--;    359.000
1978-04-10;--:--;    396.000
1978-04-11;--:--;    501.000
1978-04-12;--:--;    574.000
1978-04-13;--:--;    651.000
1978-04-14;--:--;    750.000
1978-04-15;--:--;    858.000
1978-04-16;--:--;   1016.000
1978-04-17;--:--;   1104.000
1978-04-18;--:--;   1144.000
1978-04-19;--:--;    804.000
1978-04-20;--:--;    699.000
1978-04-21;--:--;    741.000
1978-04-22;--:--;    673.000
1978-04-23;--:--;    693.000
1978-04-24;--:--;    685.000
1978-04-25;--:--;    736.000
1978-04-26;--:--;    858.000
1978-04-27;--:--;    577.000
1978-04-28;--:--;    775.000
1978-04-29;--:--;    824.000
1978-04-30;--:--;    756.000
1978-05-01;--:--;    795.000
1978-05-02;--:--;    832.000
1978-05-03;--:--;    849.000
1978-05-04;--:--;    928.000
1978-05-05;--:--;   1138.000
1978-05-06;--:--;   1183.000
1978-05-07;--:--;    982.000
1978-05-08;--:--;    976.000
1978-05-09;--:--;   1064.000
1978-05-10;--:--;   1090.000
1978-05-11;--:--;   1135.000
1978-05-12;--:--;   1030.000
1978-05-13;--:--;   1010.000
1978-05-14;--:--;    866.000
1978-05-15;--:--;    894.000
1978-05-16;--:--;    911.000
1978-05-17;--:--;    934.000
1978-05-18;--:--;    974.000
1978-05-19;--:--;    909.000
1978-05-20;--:--;    951.000
1978-05-21;--:--;    906.000
1978-05-22;--:--;    957.000
1978-05-23;--:--;   1061.000
1978-05-24;--:--;   1127.000
1978-05-25;--:--;   1438.000
1978-05-26;--:--;   1217.000
1978-05-27;--:--;   1095.000
1978-05-28;--:--;    957.000
1978-05-29;--:--;   1008.000
1978-05-30;--:--;   1044.000
1978-05-31;--:--;    928.000
1978-06-01;--:--;    792.000
1978-06-02;--:--;    835.000
1978-06-03;--:--;    974.000
1978-06-04;--:--;   1107.000
1978-06-05;--:--;   1197.000
1978-06-06;--:--;   1189.000
1978-06-07;--:--;   1172.000
1978-06-08;--:--;   1214.000
1978-06-09;--:--;   1209.000
1978-06-10;--:--;    940.000
1978-06-11;--:--;    832.000
1978-06-12;--:--;    849.000
1978-06-13;--:--;    945.000
1978-06-14;--:--;    824.000
1978-06-15;--:--;    886.000
1978-06-16;--:--;    917.000
1978-06-17;--:--;    909.000
1978-06-18;--:--;    863.000
1978-06-19;--:--;    906.000
1978-06-20;--:--;    988.000
1978-06-21;--:--;   1013.000
1978-06-22;--:--;   1073.000
1978-06-23;--:--;   1047.000
1978-06-24;--:--;   1025.000
1978-06-25;--:--;   1064.000
1978-06-26;--:--;   1093.000
1978-06-27;--:--;   1101.000
1978-06-28;--:--;   1110.000
1978-06-29;--:--;   1124.000
1978-06-30;--:--;   1044.000
