# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2336400
# River:                 NILAM RIVER
# Station:               MUZZAFARABAD
# Country:               PK
# Latitude (DD):       34.37
# Longitude (DD):      73.48
# Catchment area (km²):      7278.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2336350
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1982
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 60
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     68.000;     68.839; 100
1978-02-01;--:--;     75.000;     83.500; 100
1978-03-01;--:--;    140.000;    140.355; 100
1978-04-01;--:--;    583.000;    603.167; 100
1978-05-01;--:--;   1006.000;   1006.097; 100
1978-06-01;--:--;    975.000;   1008.067; 100
1978-07-01;--:--;    654.000;    654.065; 100
1978-08-01;--:--;    385.000;    385.774; 100
1978-09-01;--:--;    190.000;    197.200; 100
1978-10-01;--:--;    116.000;    116.290; 100
1978-11-01;--:--;    103.000;    107.367; 100
1978-12-01;--:--;     72.000;     72.839; 100
1979-01-01;--:--;     60.000;     60.710; 100
1979-02-01;--:--;     50.000;     56.429; 100
1979-03-01;--:--;    107.000;    107.774; 100
1979-04-01;--:--;    444.000;    458.800; 100
1979-05-01;--:--;    577.000;    577.419; 100
1979-06-01;--:--;    713.000;    737.400; 100
1979-07-01;--:--;    647.000;    647.935; 100
1979-08-01;--:--;    341.000;    341.935; 100
1979-09-01;--:--;    179.000;    185.200; 100
1979-10-01;--:--;     94.000;     94.032; 100
1979-11-01;--:--;     75.000;     77.800; 100
1979-12-01;--:--;     56.000;     56.968; 100
1980-01-01;--:--;     50.000;     50.613; 100
1980-02-01;--:--;     65.000;     69.793; 100
1980-03-01;--:--;    143.000;    143.935; 100
1980-04-01;--:--;    503.000;    520.500; 100
1980-05-01;--:--;    796.000;    796.516; 100
1980-06-01;--:--;    919.000;    950.167; 100
1980-07-01;--:--;    598.000;    598.839; 100
1980-08-01;--:--;    307.000;    307.355; 100
1980-09-01;--:--;    214.000;    221.167; 100
1980-10-01;--:--;    115.000;    115.419; 100
1980-11-01;--:--;     75.000;     77.933; 100
1980-12-01;--:--;     61.000;     61.710; 100
1981-01-01;--:--;     54.000;     54.226; 100
1981-02-01;--:--;     67.000;     74.750; 100
1981-03-01;--:--;    160.000;    160.161; 100
1981-04-01;--:--;    598.000;    618.733; 100
1981-05-01;--:--;    971.000;    971.194; 100
1981-06-01;--:--;    692.000;    715.233; 100
1981-07-01;--:--;    655.000;    655.742; 100
1981-08-01;--:--;    336.000;    336.935; 100
1981-09-01;--:--;    148.000;    153.767; 100
1981-10-01;--:--;    109.000;    109.613; 100
1981-11-01;--:--;     68.000;     70.633; 100
1981-12-01;--:--;     57.000;     57.419; 100
1982-01-01;--:--;     43.000;     43.484; 100
1982-02-01;--:--;     43.000;     48.357; 100
1982-03-01;--:--;    106.000;    106.581; 100
1982-04-01;--:--;    434.000;    448.633; 100
1982-05-01;--:--;    641.000;    641.129; 100
1982-06-01;--:--;    637.000;    658.700; 100
1982-07-01;--:--;    542.000;    542.645; 100
1982-08-01;--:--;    473.000;    473.290; 100
1982-09-01;--:--;    154.000;    160.133; 100
1982-10-01;--:--;     98.000;     98.645; 100
1982-11-01;--:--;     88.000;     91.600; 100
1982-12-01;--:--;     81.000;     81.194; 100
