# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2336450
# River:                 KUNHAR RIVER
# Station:               NEAR GARHI HABIB-ULLAH
# Country:               PK
# Latitude (DD):       34.4
# Longitude (DD):      73.37
# Catchment area (km²):      2383.0
# Altitude (m ASL):        2691.0
# Next downstream station:      2336400
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1982-12
# No. of years:          6
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1826
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     28.000
1978-01-02;--:--;     25.000
1978-01-03;--:--;     24.000
1978-01-04;--:--;     24.000
1978-01-05;--:--;     24.000
1978-01-06;--:--;     24.000
1978-01-07;--:--;     24.000
1978-01-08;--:--;     24.000
1978-01-09;--:--;     23.000
1978-01-10;--:--;     23.000
1978-01-11;--:--;     23.000
1978-01-12;--:--;     24.000
1978-01-13;--:--;     26.000
1978-01-14;--:--;     26.000
1978-01-15;--:--;     25.000
1978-01-16;--:--;     25.000
1978-01-17;--:--;     25.000
1978-01-18;--:--;     24.000
1978-01-19;--:--;     24.000
1978-01-20;--:--;     24.000
1978-01-21;--:--;     25.000
1978-01-22;--:--;     24.000
1978-01-23;--:--;     25.000
1978-01-24;--:--;     24.000
1978-01-25;--:--;     23.000
1978-01-26;--:--;     24.000
1978-01-27;--:--;     23.000
1978-01-28;--:--;     24.000
1978-01-29;--:--;     22.000
1978-01-30;--:--;     27.000
1978-01-31;--:--;     27.000
1978-02-01;--:--;     25.000
1978-02-02;--:--;     24.000
1978-02-03;--:--;     23.000
1978-02-04;--:--;     23.000
1978-02-05;--:--;     25.000
1978-02-06;--:--;     20.000
1978-02-07;--:--;     23.000
1978-02-08;--:--;     25.000
1978-02-09;--:--;     25.000
1978-02-10;--:--;     28.000
1978-02-11;--:--;     27.000
1978-02-12;--:--;     27.000
1978-02-13;--:--;     27.000
1978-02-14;--:--;     28.000
1978-02-15;--:--;     27.000
1978-02-16;--:--;     29.000
1978-02-17;--:--;     27.000
1978-02-18;--:--;     27.000
1978-02-19;--:--;     27.000
1978-02-20;--:--;     26.000
1978-02-21;--:--;     26.000
1978-02-22;--:--;     27.000
1978-02-23;--:--;     27.000
1978-02-24;--:--;     27.000
1978-02-25;--:--;     27.000
1978-02-26;--:--;     29.000
1978-02-27;--:--;     30.000
1978-02-28;--:--;     31.000
1978-03-01;--:--;     33.000
1978-03-02;--:--;     32.000
1978-03-03;--:--;     31.000
1978-03-04;--:--;     32.000
1978-03-05;--:--;     32.000
1978-03-06;--:--;     31.000
1978-03-07;--:--;     31.000
1978-03-08;--:--;     30.000
1978-03-09;--:--;     31.000
1978-03-10;--:--;     33.000
1978-03-11;--:--;     32.000
1978-03-12;--:--;     32.000
1978-03-13;--:--;     32.000
1978-03-14;--:--;     32.000
1978-03-15;--:--;     35.000
1978-03-16;--:--;     44.000
1978-03-17;--:--;     71.000
1978-03-18;--:--;     44.000
1978-03-19;--:--;     46.000
1978-03-20;--:--;     43.000
1978-03-21;--:--;     43.000
1978-03-22;--:--;     44.000
1978-03-23;--:--;     42.000
1978-03-24;--:--;     33.000
1978-03-25;--:--;     43.000
1978-03-26;--:--;     41.000
1978-03-27;--:--;     47.000
1978-03-28;--:--;     47.000
1978-03-29;--:--;     47.000
1978-03-30;--:--;     46.000
1978-03-31;--:--;     45.000
1978-04-01;--:--;     45.000
1978-04-02;--:--;     45.000
1978-04-03;--:--;     45.000
1978-04-04;--:--;     47.000
1978-04-05;--:--;     45.000
1978-04-06;--:--;     47.000
1978-04-07;--:--;     60.000
1978-04-08;--:--;     69.000
1978-04-09;--:--;     75.000
1978-04-10;--:--;     83.000
