# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2336450
# River:                 KUNHAR RIVER
# Station:               NEAR GARHI HABIB-ULLAH
# Country:               PK
# Latitude (DD):       34.4
# Longitude (DD):      73.37
# Catchment area (km²):      2383.0
# Altitude (m ASL):        2691.0
# Next downstream station:      2336400
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1982
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 60
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     24.000;     24.419; 100
1978-02-01;--:--;     23.000;     26.321; 100
1978-03-01;--:--;     38.000;     38.871; 100
1978-04-01;--:--;    101.000;    104.500; 100
1978-05-01;--:--;    232.000;    232.258; 100
1978-06-01;--:--;    306.000;    316.900; 100
1978-07-01;--:--;    221.000;    221.742; 100
1978-08-01;--:--;    144.000;    144.290; 100
1978-09-01;--:--;     64.000;     66.600; 100
1978-10-01;--:--;     36.000;     36.548; 100
1978-11-01;--:--;     32.000;     33.433; 100
1978-12-01;--:--;     25.000;     25.290; 100
1979-01-01;--:--;     21.000;     21.355; 100
1979-02-01;--:--;     18.000;     20.500; 100
1979-03-01;--:--;     29.000;     29.452; 100
1979-04-01;--:--;     95.000;     98.900; 100
1979-05-01;--:--;    132.000;    132.935; 100
1979-06-01;--:--;    241.000;    249.433; 100
1979-07-01;--:--;    262.000;    262.032; 100
1979-08-01;--:--;    126.000;    126.548; 100
1979-09-01;--:--;     65.000;     68.067; 100
1979-10-01;--:--;     36.000;     36.871; 100
1979-11-01;--:--;     28.000;     29.500; 100
1979-12-01;--:--;     22.000;     22.677; 100
1980-01-01;--:--;     21.000;     21.742; 100
1980-02-01;--:--;     31.000;     33.586; 100
1980-03-01;--:--;     48.000;     48.323; 100
1980-04-01;--:--;    121.000;    125.033; 100
1980-05-01;--:--;    203.000;    203.774; 100
1980-06-01;--:--;    312.000;    323.367; 100
1980-07-01;--:--;    229.000;    229.903; 100
1980-08-01;--:--;    122.000;    122.290; 100
1980-09-01;--:--;     69.000;     71.533; 100
1980-10-01;--:--;     41.000;     41.097; 100
1980-11-01;--:--;     30.000;     31.267; 100
1980-12-01;--:--;     28.000;     28.129; 100
1981-01-01;--:--;     20.000;     20.387; 100
1981-02-01;--:--;     19.000;     21.036; 100
1981-03-01;--:--;     38.000;     38.613; 100
1981-04-01;--:--;    137.000;    142.233; 100
1981-05-01;--:--;    273.000;    273.516; 100
1981-06-01;--:--;    262.000;    271.333; 100
1981-07-01;--:--;    236.000;    236.226; 100
1981-08-01;--:--;    115.000;    115.871; 100
1981-09-01;--:--;     51.000;     53.400; 100
1981-10-01;--:--;     38.000;     38.806; 100
1981-11-01;--:--;     26.000;     27.100; 100
1981-12-01;--:--;     22.000;     22.903; 100
1982-01-01;--:--;     20.000;     20.516; 100
1982-02-01;--:--;     18.000;     20.286; 100
1982-03-01;--:--;     36.000;     36.097; 100
1982-04-01;--:--;     87.000;     90.233; 100
1982-05-01;--:--;    171.000;    171.387; 100
1982-06-01;--:--;    229.000;    237.267; 100
1982-07-01;--:--;    215.000;    215.065; 100
1982-08-01;--:--;    140.000;    140.516; 100
1982-09-01;--:--;     53.000;     55.000; 100
1982-10-01;--:--;     36.000;     36.226; 100
1982-11-01;--:--;     31.000;     32.700; 100
1982-12-01;--:--;     28.000;     28.968; 100
