# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2336500
# River:                 KUNHAR RIVER
# Station:               NARAN
# Country:               PK
# Latitude (DD):       34.88125
# Longitude (DD):      73.63125
# Catchment area (km²):      1036.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2336450
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1979-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 730
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     10.000
1978-01-02;--:--;     10.000
1978-01-03;--:--;     10.000
1978-01-04;--:--;     10.000
1978-01-05;--:--;     10.000
1978-01-06;--:--;     10.000
1978-01-07;--:--;     10.000
1978-01-08;--:--;     10.000
1978-01-09;--:--;     10.000
1978-01-10;--:--;     10.000
1978-01-11;--:--;     11.000
1978-01-12;--:--;     11.000
1978-01-13;--:--;     12.000
1978-01-14;--:--;     12.000
1978-01-15;--:--;     12.000
1978-01-16;--:--;     12.000
1978-01-17;--:--;     12.000
1978-01-18;--:--;     12.000
1978-01-19;--:--;     12.000
1978-01-20;--:--;     12.000
1978-01-21;--:--;     12.000
1978-01-22;--:--;     12.000
1978-01-23;--:--;     12.000
1978-01-24;--:--;     12.000
1978-01-25;--:--;     11.000
1978-01-26;--:--;     10.000
1978-01-27;--:--;     10.000
1978-01-28;--:--;     10.000
1978-01-29;--:--;     10.000
1978-01-30;--:--;     10.000
1978-01-31;--:--;     10.000
1978-02-01;--:--;     10.000
1978-02-02;--:--;     10.000
1978-02-03;--:--;     10.000
1978-02-04;--:--;     10.000
1978-02-05;--:--;      9.000
1978-02-06;--:--;      9.000
1978-02-07;--:--;      8.000
1978-02-08;--:--;      8.000
1978-02-09;--:--;      8.000
1978-02-10;--:--;      8.000
1978-02-11;--:--;      8.000
1978-02-12;--:--;      8.000
1978-02-13;--:--;      8.000
1978-02-14;--:--;      8.000
1978-02-15;--:--;      8.000
1978-02-16;--:--;      8.000
1978-02-17;--:--;      8.000
1978-02-18;--:--;      8.000
1978-02-19;--:--;      8.000
1978-02-20;--:--;      8.000
1978-02-21;--:--;      8.000
1978-02-22;--:--;      8.000
1978-02-23;--:--;      8.000
1978-02-24;--:--;      8.000
1978-02-25;--:--;      8.000
1978-02-26;--:--;      8.000
1978-02-27;--:--;      8.000
1978-02-28;--:--;      8.000
1978-03-01;--:--;      8.000
1978-03-02;--:--;      8.000
1978-03-03;--:--;      8.000
1978-03-04;--:--;      8.000
1978-03-05;--:--;      8.000
1978-03-06;--:--;      8.000
1978-03-07;--:--;      8.000
1978-03-08;--:--;      8.000
1978-03-09;--:--;      8.000
1978-03-10;--:--;      8.000
1978-03-11;--:--;      8.000
1978-03-12;--:--;      8.000
1978-03-13;--:--;      8.000
1978-03-14;--:--;      9.000
1978-03-15;--:--;      9.000
1978-03-16;--:--;     10.000
1978-03-17;--:--;     10.000
1978-03-18;--:--;     10.000
1978-03-19;--:--;     10.000
1978-03-20;--:--;     10.000
1978-03-21;--:--;     10.000
1978-03-22;--:--;     10.000
1978-03-23;--:--;     11.000
1978-03-24;--:--;     11.000
1978-03-25;--:--;     11.000
1978-03-26;--:--;     11.000
1978-03-27;--:--;     12.000
1978-03-28;--:--;     12.000
1978-03-29;--:--;     13.000
1978-03-30;--:--;     13.000
1978-03-31;--:--;     13.000
1978-04-01;--:--;     13.000
1978-04-02;--:--;     13.000
1978-04-03;--:--;     13.000
1978-04-04;--:--;     13.000
1978-04-05;--:--;     13.000
