# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2336500
# River:                 KUNHAR RIVER
# Station:               NARAN
# Country:               PK
# Latitude (DD):       34.88125
# Longitude (DD):      73.63125
# Catchment area (km²):      1036.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2336450
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1979
# No. of years:          2
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 24
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     10.000;     10.871; 100
1978-02-01;--:--;      7.000;      8.357; 100
1978-03-01;--:--;      9.000;      9.645; 100
1978-04-01;--:--;     25.000;     26.600; 100
1978-05-01;--:--;     92.000;     92.097; 100
1978-06-01;--:--;    173.000;    179.733; 100
1978-07-01;--:--;    115.000;    115.226; 100
1978-08-01;--:--;     56.000;     56.645; 100
1978-09-01;--:--;     22.000;     23.100; 100
1978-10-01;--:--;     17.000;     17.200;  97
1978-11-01;--:--;     14.000;     14.833; 100
1978-12-01;--:--;     12.000;     12.806; 100
1979-01-01;--:--;     11.000;     11.290; 100
1979-02-01;--:--;      6.000;      7.536; 100
1979-03-01;--:--;     14.000;     14.710; 100
1979-04-01;--:--;     31.000;     32.300; 100
1979-05-01;--:--;     55.000;     55.806; 100
1979-06-01;--:--;    161.000;    167.033; 100
1979-07-01;--:--;    166.000;    166.323; 100
1979-08-01;--:--;     62.000;     62.806; 100
1979-09-01;--:--;     28.000;     29.800; 100
1979-10-01;--:--;     17.000;     17.323; 100
1979-11-01;--:--;     11.000;     12.300; 100
1979-12-01;--:--;     15.000;     15.419; 100
