# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2337100
# River:                 CHENAB RIVER
# Station:               PANJNAD
# Country:               PK
# Latitude (DD):       29.35
# Longitude (DD):      71.03
# Catchment area (km²):      280238.0
# Altitude (m ASL):        99.0
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1979
# No. of years:          7
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 84
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;    663.000;   -999.000;   0
1973-02-01;--:--;    774.000;   -999.000;   0
1973-03-01;--:--;   1114.000;   -999.000;   0
1973-04-01;--:--;   2446.000;   -999.000;   0
1973-05-01;--:--;   4688.000;   -999.000;   0
1973-06-01;--:--;  10984.000;   -999.000;   0
1973-07-01;--:--;  12082.000;   -999.000;   0
1973-08-01;--:--;   8812.000;   -999.000;   0
1973-09-01;--:--;   4955.000;   -999.000;   0
1973-10-01;--:--;   1667.000;   -999.000;   0
1973-11-01;--:--;    971.000;   -999.000;   0
1973-12-01;--:--;    802.000;   -999.000;   0
1974-01-01;--:--;    694.000;   -999.000;   0
1974-02-01;--:--;    676.000;   -999.000;   0
1974-03-01;--:--;    844.000;   -999.000;   0
1974-04-01;--:--;   1504.000;   -999.000;   0
1974-05-01;--:--;   2314.000;   -999.000;   0
1974-06-01;--:--;   4878.000;   -999.000;   0
1974-07-01;--:--;   5816.000;   -999.000;   0
1974-08-01;--:--;   5721.000;   -999.000;   0
1974-09-01;--:--;   4636.000;   -999.000;   0
1974-10-01;--:--;   1081.000;   -999.000;   0
1974-11-01;--:--;    689.000;   -999.000;   0
1974-12-01;--:--;    588.000;   -999.000;   0
1975-01-01;--:--;    567.000;   -999.000;   0
1975-02-01;--:--;    514.000;   -999.000;   0
1975-03-01;--:--;    702.000;   -999.000;   0
1975-04-01;--:--;   1630.000;   -999.000;   0
1975-05-01;--:--;   2784.000;   -999.000;   0
1975-06-01;--:--;   6244.000;   -999.000;   0
1975-07-01;--:--;   6278.000;   -999.000;   0
1975-08-01;--:--;   8056.000;   -999.000;   0
1975-09-01;--:--;   3442.000;   -999.000;   0
1975-10-01;--:--;   1347.000;   -999.000;   0
1975-11-01;--:--;    914.000;   -999.000;   0
1975-12-01;--:--;    694.000;   -999.000;   0
1976-01-01;--:--;    111.000;   -999.000;   0
1976-02-01;--:--;    120.000;   -999.000;   0
1976-03-01;--:--;    323.000;   -999.000;   0
1976-04-01;--:--;    511.000;   -999.000;   0
1976-05-01;--:--;    397.000;   -999.000;   0
1976-06-01;--:--;    898.000;   -999.000;   0
1976-07-01;--:--;   1994.000;   -999.000;   0
1976-08-01;--:--;  10626.000;   -999.000;   0
1976-09-01;--:--;   4086.000;   -999.000;   0
1976-10-01;--:--;    404.000;   -999.000;   0
1976-11-01;--:--;    200.000;   -999.000;   0
1976-12-01;--:--;    158.000;   -999.000;   0
1977-01-01;--:--;    415.000;   -999.000;   0
1977-02-01;--:--;    308.000;   -999.000;   0
1977-03-01;--:--;    150.000;   -999.000;   0
1977-04-01;--:--;    231.000;   -999.000;   0
1977-05-01;--:--;    208.000;   -999.000;   0
1977-06-01;--:--;    353.000;   -999.000;   0
1977-07-01;--:--;   2927.000;   -999.000;   0
1977-08-01;--:--;   2907.000;   -999.000;   0
1977-09-01;--:--;   1468.000;   -999.000;   0
1977-10-01;--:--;    369.000;   -999.000;   0
1977-11-01;--:--;    142.000;   -999.000;   0
1977-12-01;--:--;     94.000;   -999.000;   0
1978-01-01;--:--;    239.000;   -999.000;   0
1978-02-01;--:--;    111.000;   -999.000;   0
1978-03-01;--:--;    294.000;   -999.000;   0
1978-04-01;--:--;    271.000;   -999.000;   0
1978-05-01;--:--;    858.000;   -999.000;   0
1978-06-01;--:--;   1159.000;   -999.000;   0
1978-07-01;--:--;   5107.000;   -999.000;   0
1978-08-01;--:--;   6674.000;   -999.000;   0
1978-09-01;--:--;   2235.000;   -999.000;   0
1978-10-01;--:--;    373.000;   -999.000;   0
1978-11-01;--:--;    157.000;   -999.000;   0
1978-12-01;--:--;    129.000;   -999.000;   0
1979-01-01;--:--;    316.000;   -999.000;   0
1979-02-01;--:--;    281.000;   -999.000;   0
1979-03-01;--:--;   1173.000;   -999.000;   0
1979-04-01;--:--;    357.000;   -999.000;   0
1979-05-01;--:--;    721.000;   -999.000;   0
1979-06-01;--:--;    829.000;   -999.000;   0
1979-07-01;--:--;   2442.000;   -999.000;   0
1979-08-01;--:--;   1586.000;   -999.000;   0
1979-09-01;--:--;    442.000;   -999.000;   0
1979-10-01;--:--;    308.000;   -999.000;   0
1979-11-01;--:--;    159.000;   -999.000;   0
1979-12-01;--:--;    158.000;   -999.000;   0
