# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2340200
# River:                 KUNAR SIND
# Station:               CHITRAL
# Country:               PK
# Latitude (DD):       35.83
# Longitude (DD):      71.8
# Catchment area (km²):      11396.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1981-12
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     74.000
1978-01-02;--:--;     73.000
1978-01-03;--:--;     73.000
1978-01-04;--:--;     72.000
1978-01-05;--:--;     71.000
1978-01-06;--:--;     71.000
1978-01-07;--:--;     72.000
1978-01-08;--:--;     71.000
1978-01-09;--:--;     71.000
1978-01-10;--:--;     84.000
1978-01-11;--:--;     71.000
1978-01-12;--:--;     70.000
1978-01-13;--:--;     71.000
1978-01-14;--:--;     70.000
1978-01-15;--:--;     69.000
1978-01-16;--:--;     70.000
1978-01-17;--:--;     68.000
1978-01-18;--:--;     67.000
1978-01-19;--:--;     67.000
1978-01-20;--:--;     67.000
1978-01-21;--:--;     67.000
1978-01-22;--:--;     68.000
1978-01-23;--:--;     67.000
1978-01-24;--:--;     67.000
1978-01-25;--:--;     66.000
1978-01-26;--:--;     66.000
1978-01-27;--:--;     65.000
1978-01-28;--:--;     65.000
1978-01-29;--:--;     66.000
1978-01-30;--:--;     64.000
1978-01-31;--:--;     66.000
1978-02-01;--:--;     66.000
1978-02-02;--:--;     65.000
1978-02-03;--:--;     62.000
1978-02-04;--:--;     63.000
1978-02-05;--:--;     61.000
1978-02-06;--:--;     60.000
1978-02-07;--:--;     60.000
1978-02-08;--:--;     60.000
1978-02-09;--:--;     58.000
1978-02-10;--:--;     59.000
1978-02-11;--:--;     58.000
1978-02-12;--:--;     59.000
1978-02-13;--:--;     59.000
1978-02-14;--:--;     61.000
1978-02-15;--:--;     62.000
1978-02-16;--:--;     60.000
1978-02-17;--:--;     59.000
1978-02-18;--:--;     58.000
1978-02-19;--:--;     59.000
1978-02-20;--:--;     60.000
1978-02-21;--:--;     58.000
1978-02-22;--:--;     60.000
1978-02-23;--:--;     58.000
1978-02-24;--:--;     59.000
1978-02-25;--:--;     60.000
1978-02-26;--:--;     59.000
1978-02-27;--:--;     58.000
1978-02-28;--:--;     58.000
1978-03-01;--:--;     57.000
1978-03-02;--:--;     58.000
1978-03-03;--:--;     58.000
1978-03-04;--:--;     58.000
1978-03-05;--:--;     57.000
1978-03-06;--:--;     57.000
1978-03-07;--:--;     58.000
1978-03-08;--:--;     57.000
1978-03-09;--:--;     60.000
1978-03-10;--:--;     58.000
1978-03-11;--:--;     60.000
1978-03-12;--:--;     58.000
1978-03-13;--:--;     58.000
1978-03-14;--:--;     60.000
1978-03-15;--:--;     58.000
1978-03-16;--:--;     59.000
1978-03-17;--:--;     58.000
1978-03-18;--:--;     62.000
1978-03-19;--:--;     60.000
1978-03-20;--:--;     61.000
1978-03-21;--:--;     60.000
1978-03-22;--:--;     60.000
1978-03-23;--:--;     60.000
1978-03-24;--:--;     60.000
1978-03-25;--:--;     59.000
1978-03-26;--:--;     59.000
1978-03-27;--:--;     58.000
1978-03-28;--:--;     59.000
1978-03-29;--:--;     58.000
1978-03-30;--:--;     58.000
1978-03-31;--:--;     62.000
1978-04-01;--:--;     62.000
1978-04-02;--:--;     61.000
1978-04-03;--:--;     60.000
1978-04-04;--:--;     61.000
1978-04-05;--:--;     62.000
1978-04-06;--:--;     62.000
1978-04-07;--:--;     64.000
1978-04-08;--:--;     66.000
1978-04-09;--:--;     69.000
1978-04-10;--:--;     71.000
1978-04-11;--:--;     75.000
1978-04-12;--:--;     83.000
1978-04-13;--:--;     88.000
1978-04-14;--:--;     99.000
1978-04-15;--:--;    109.000
1978-04-16;--:--;    121.000
1978-04-17;--:--;    125.000
1978-04-18;--:--;    111.000
1978-04-19;--:--;    100.000
1978-04-20;--:--;     97.000
1978-04-21;--:--;     62.000
1978-04-22;--:--;     89.000
1978-04-23;--:--;     87.000
1978-04-24;--:--;     87.000
1978-04-25;--:--;     88.000
1978-04-26;--:--;     89.000
1978-04-27;--:--;     98.000
1978-04-28;--:--;    104.000
1978-04-29;--:--;     99.000
1978-04-30;--:--;     95.000
1978-05-01;--:--;     98.000
1978-05-02;--:--;    104.000
1978-05-03;--:--;    110.000
1978-05-04;--:--;    112.000
1978-05-05;--:--;    171.000
1978-05-06;--:--;    162.000
1978-05-07;--:--;    148.000
1978-05-08;--:--;    149.000
1978-05-09;--:--;    156.000
1978-05-10;--:--;    161.000
1978-05-11;--:--;    166.000
1978-05-12;--:--;    154.000
1978-05-13;--:--;    159.000
1978-05-14;--:--;    164.000
1978-05-15;--:--;    164.000
1978-05-16;--:--;    175.000
1978-05-17;--:--;    191.000
1978-05-18;--:--;    212.000
1978-05-19;--:--;    194.000
1978-05-20;--:--;    199.000
1978-05-21;--:--;    214.000
1978-05-22;--:--;    218.000
1978-05-23;--:--;    228.000
1978-05-24;--:--;    239.000
1978-05-25;--:--;    233.000
1978-05-26;--:--;    158.000
1978-05-27;--:--;    240.000
1978-05-28;--:--;    252.000
1978-05-29;--:--;    269.000
1978-05-30;--:--;    286.000
1978-05-31;--:--;    303.000
1978-06-01;--:--;    280.000
1978-06-02;--:--;    294.000
1978-06-03;--:--;    328.000
1978-06-04;--:--;    337.000
1978-06-05;--:--;    373.000
1978-06-06;--:--;    404.000
1978-06-07;--:--;    489.000
1978-06-08;--:--;    475.000
1978-06-09;--:--;    518.000
1978-06-10;--:--;    487.000
1978-06-11;--:--;    455.000
1978-06-12;--:--;    489.000
1978-06-13;--:--;    526.000
1978-06-14;--:--;    560.000
1978-06-15;--:--;    591.000
1978-06-16;--:--;    591.000
1978-06-17;--:--;    526.000
1978-06-18;--:--;    495.000
1978-06-19;--:--;    506.000
1978-06-20;--:--;    560.000
1978-06-21;--:--;    625.000
1978-06-22;--:--;    642.000
1978-06-23;--:--;    676.000
1978-06-24;--:--;    696.000
1978-06-25;--:--;    727.000
1978-06-26;--:--;    767.000
1978-06-27;--:--;    807.000
1978-06-28;--:--;    897.000
1978-06-29;--:--;    954.000
1978-06-30;--:--;   1178.000
1978-07-01;--:--;   1155.000
1978-07-02;--:--;   1296.000
