# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2340200
# River:                 KUNAR SIND
# Station:               CHITRAL
# Country:               PK
# Latitude (DD):       35.83
# Longitude (DD):      71.8
# Catchment area (km²):      11396.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1981
# No. of years:          4
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 48
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     69.000;     69.323; 100
1978-02-01;--:--;     54.000;     59.964; 100
1978-03-01;--:--;     58.000;     58.871; 100
1978-04-01;--:--;     82.000;     84.800; 100
1978-05-01;--:--;    186.000;    186.742; 100
1978-06-01;--:--;    556.000;    575.100; 100
1978-07-01;--:--;    870.000;    870.774; 100
1978-08-01;--:--;    777.000;    777.677; 100
1978-09-01;--:--;    378.000;    391.100; 100
1978-10-01;--:--;    183.000;    183.935; 100
1978-11-01;--:--;    106.000;    109.567; 100
1978-12-01;--:--;     86.000;     86.516; 100
1979-01-01;--:--;     72.000;     72.645; 100
1979-02-01;--:--;     59.000;     65.929; 100
1979-03-01;--:--;     61.000;     61.710; 100
1979-04-01;--:--;    102.000;    106.400; 100
1979-05-01;--:--;    174.000;    174.710; 100
1979-06-01;--:--;    403.000;    416.700; 100
1979-07-01;--:--;    778.000;    778.839; 100
1979-08-01;--:--;    680.000;    680.452; 100
1979-09-01;--:--;    294.000;    304.733; 100
1979-10-01;--:--;    171.000;    171.067;  97
1979-11-01;--:--;    119.000;    123.267; 100
1979-12-01;--:--;     96.000;     96.903; 100
1980-01-01;--:--;     83.000;     83.742; 100
1980-02-01;--:--;     69.000;     74.138; 100
1980-03-01;--:--;     65.000;     65.323; 100
1980-04-01;--:--;     94.000;     97.467; 100
1980-05-01;--:--;     97.000;     97.467;  97
1980-06-01;--:--;    176.000;    182.033; 100
1980-07-01;--:--;    496.000;    496.200;  97
1980-08-01;--:--;    674.000;    674.065; 100
1980-09-01;--:--;    335.000;    346.900; 100
1980-10-01;--:--;    145.000;    145.839; 100
1980-11-01;--:--;     99.000;    103.000; 100
1980-12-01;--:--;     87.000;     87.484; 100
1981-01-01;--:--;     73.000;     73.387; 100
1981-02-01;--:--;     59.000;     66.107; 100
1981-03-01;--:--;     62.000;     62.226; 100
1981-04-01;--:--;     93.000;     96.233; 100
1981-05-01;--:--;    260.000;    260.032; 100
1981-06-01;--:--;    402.000;    416.100; 100
1981-07-01;--:--;    826.000;    826.968; 100
1981-08-01;--:--;    725.000;    725.323; 100
1981-09-01;--:--;    326.000;    337.767; 100
1981-10-01;--:--;    169.000;    169.871; 100
1981-11-01;--:--;    104.000;    108.233; 100
1981-12-01;--:--;     85.000;     85.806; 100
