# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2340300
# River:                 KHIALI RIVER
# Station:               NEAR KALAM
# Country:               PK
# Latitude (DD):       35.5
# Longitude (DD):      72.58
# Catchment area (km²):      2020.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2340500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1979-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 730
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     15.000
1978-01-02;--:--;     14.000
1978-01-03;--:--;     14.000
1978-01-04;--:--;     14.000
1978-01-05;--:--;     14.000
1978-01-06;--:--;     15.000
1978-01-07;--:--;     15.000
1978-01-08;--:--;     14.000
1978-01-09;--:--;     13.000
1978-01-10;--:--;     14.000
1978-01-11;--:--;     14.000
1978-01-12;--:--;     14.000
1978-01-13;--:--;     14.000
1978-01-14;--:--;     15.000
1978-01-15;--:--;     15.000
1978-01-16;--:--;     15.000
1978-01-17;--:--;     14.000
1978-01-18;--:--;     13.000
1978-01-19;--:--;     12.000
1978-01-20;--:--;     13.000
1978-01-21;--:--;     12.000
1978-01-22;--:--;     13.000
1978-01-23;--:--;     13.000
1978-01-24;--:--;     13.000
1978-01-25;--:--;     13.000
1978-01-26;--:--;     13.000
1978-01-27;--:--;     13.000
1978-01-28;--:--;     13.000
1978-01-29;--:--;     13.000
1978-01-30;--:--;     13.000
1978-01-31;--:--;     13.000
1978-02-01;--:--;     13.000
1978-02-02;--:--;     13.000
1978-02-03;--:--;     13.000
1978-02-04;--:--;     13.000
1978-02-05;--:--;     13.000
1978-02-06;--:--;     13.000
1978-02-07;--:--;     13.000
1978-02-08;--:--;     12.000
1978-02-09;--:--;     12.000
1978-02-10;--:--;     12.000
1978-02-11;--:--;     13.000
1978-02-12;--:--;     13.000
1978-02-13;--:--;     13.000
