# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2340300
# River:                 KHIALI RIVER
# Station:               NEAR KALAM
# Country:               PK
# Latitude (DD):       35.5
# Longitude (DD):      72.58
# Catchment area (km²):      2020.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2340500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1979
# No. of years:          2
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 24
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     13.000;     13.645; 100
1978-02-01;--:--;     11.000;     12.607; 100
1978-03-01;--:--;     12.000;     12.968; 100
1978-04-01;--:--;     39.000;     40.333; 100
1978-05-01;--:--;    135.000;    135.806; 100
1978-06-01;--:--;    251.000;    259.867; 100
1978-07-01;--:--;    256.000;    256.871; 100
1978-08-01;--:--;    136.000;    136.516; 100
1978-09-01;--:--;     50.000;     51.700; 100
1978-10-01;--:--;     30.000;     30.645; 100
1978-11-01;--:--;     20.000;     21.167; 100
1978-12-01;--:--;     17.000;     17.839; 100
1979-01-01;--:--;     13.000;     13.484; 100
1979-02-01;--:--;     10.000;     12.036; 100
1979-03-01;--:--;     12.000;     12.613; 100
1979-04-01;--:--;     52.000;     54.333; 100
1979-05-01;--:--;     94.000;     94.000; 100
1979-06-01;--:--;    236.000;    244.200; 100
1979-07-01;--:--;    293.000;    293.355; 100
1979-08-01;--:--;    144.000;    144.323; 100
1979-09-01;--:--;     60.000;     62.733; 100
1979-10-01;--:--;     28.000;     28.097; 100
1979-11-01;--:--;     19.000;     20.333; 100
1979-12-01;--:--;     14.000;     14.774; 100
