# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2340500
# River:                 KHIALI RIVER
# Station:               CHAKDARA
# Country:               PK
# Latitude (DD):       34.63
# Longitude (DD):      72.03
# Catchment area (km²):      5776.0
# Altitude (m ASL):        2239.0
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1981-12
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     39.000
1978-01-02;--:--;     39.000
1978-01-03;--:--;     38.000
1978-01-04;--:--;     38.000
1978-01-05;--:--;     37.000
1978-01-06;--:--;     36.000
1978-01-07;--:--;     37.000
1978-01-08;--:--;     36.000
1978-01-09;--:--;     36.000
1978-01-10;--:--;     35.000
1978-01-11;--:--;     36.000
1978-01-12;--:--;     36.000
1978-01-13;--:--;     36.000
1978-01-14;--:--;     42.000
1978-01-15;--:--;     42.000
1978-01-16;--:--;     39.000
1978-01-17;--:--;     38.000
1978-01-18;--:--;     38.000
1978-01-19;--:--;     36.000
1978-01-20;--:--;     36.000
1978-01-21;--:--;     36.000
1978-01-22;--:--;     35.000
1978-01-23;--:--;     40.000
1978-01-24;--:--;     39.000
1978-01-25;--:--;     37.000
1978-01-26;--:--;     38.000
1978-01-27;--:--;     38.000
1978-01-28;--:--;     42.000
1978-01-29;--:--;     41.000
1978-01-30;--:--;     38.000
1978-01-31;--:--;     36.000
1978-02-01;--:--;     36.000
1978-02-02;--:--;     35.000
1978-02-03;--:--;     34.000
1978-02-04;--:--;     34.000
1978-02-05;--:--;     34.000
1978-02-06;--:--;     44.000
1978-02-07;--:--;     37.000
1978-02-08;--:--;     34.000
1978-02-09;--:--;     34.000
1978-02-10;--:--;     33.000
1978-02-11;--:--;     33.000
1978-02-12;--:--;     34.000
1978-02-13;--:--;     35.000
1978-02-14;--:--;     35.000
1978-02-15;--:--;     41.000
1978-02-16;--:--;     37.000
1978-02-17;--:--;     36.000
1978-02-18;--:--;     37.000
1978-02-19;--:--;     36.000
1978-02-20;--:--;     35.000
1978-02-21;--:--;     33.000
1978-02-22;--:--;     33.000
1978-02-23;--:--;     34.000
1978-02-24;--:--;     36.000
1978-02-25;--:--;     34.000
1978-02-26;--:--;     36.000
1978-02-27;--:--;     50.000
1978-02-28;--:--;     55.000
1978-03-01;--:--;     64.000
1978-03-02;--:--;     62.000
1978-03-03;--:--;     52.000
1978-03-04;--:--;     52.000
1978-03-05;--:--;     68.000
1978-03-06;--:--;     87.000
1978-03-07;--:--;     68.000
1978-03-08;--:--;     59.000
1978-03-09;--:--;     54.000
1978-03-10;--:--;    244.000
1978-03-11;--:--;    136.000
1978-03-12;--:--;    107.000
1978-03-13;--:--;     92.000
1978-03-14;--:--;     85.000
1978-03-15;--:--;     87.000
1978-03-16;--:--;    378.000
1978-03-17;--:--;    438.000
1978-03-18;--:--;    238.000
1978-03-19;--:--;    169.000
1978-03-20;--:--;    136.000
1978-03-21;--:--;    110.000
1978-03-22;--:--;    101.000
1978-03-23;--:--;     91.000
1978-03-24;--:--;     80.000
1978-03-25;--:--;     81.000
1978-03-26;--:--;     89.000
1978-03-27;--:--;    130.000
1978-03-28;--:--;    126.000
1978-03-29;--:--;    112.000
1978-03-30;--:--;     99.000
1978-03-31;--:--;     93.000
1978-04-01;--:--;     86.000
1978-04-02;--:--;     84.000
1978-04-03;--:--;     78.000
1978-04-04;--:--;    114.000
1978-04-05;--:--;     96.000
1978-04-06;--:--;     97.000
1978-04-07;--:--;    108.000
1978-04-08;--:--;    143.000
1978-04-09;--:--;    158.000
1978-04-10;--:--;    186.000
1978-04-11;--:--;    201.000
1978-04-12;--:--;    218.000
1978-04-13;--:--;    231.000
1978-04-14;--:--;    250.000
1978-04-15;--:--;    271.000
1978-04-16;--:--;    248.000
1978-04-17;--:--;    342.000
1978-04-18;--:--;    379.000
1978-04-19;--:--;    279.000
1978-04-20;--:--;    227.000
1978-04-21;--:--;    211.000
1978-04-22;--:--;    231.000
1978-04-23;--:--;    195.000
1978-04-24;--:--;    186.000
1978-04-25;--:--;    194.000
1978-04-26;--:--;    198.000
1978-04-27;--:--;    189.000
1978-04-28;--:--;    210.000
1978-04-29;--:--;    205.000
1978-04-30;--:--;    188.000
1978-05-01;--:--;    187.000
1978-05-02;--:--;    193.000
1978-05-03;--:--;    213.000
1978-05-04;--:--;    247.000
1978-05-05;--:--;    348.000
1978-05-06;--:--;    342.000
1978-05-07;--:--;    300.000
1978-05-08;--:--;    300.000
1978-05-09;--:--;    303.000
1978-05-10;--:--;    314.000
1978-05-11;--:--;    305.000
1978-05-12;--:--;    303.000
1978-05-13;--:--;    294.000
1978-05-14;--:--;    294.000
1978-05-15;--:--;    308.000
1978-05-16;--:--;    305.000
1978-05-17;--:--;    320.000
1978-05-18;--:--;    342.000
1978-05-19;--:--;    291.000
1978-05-20;--:--;    294.000
1978-05-21;--:--;    300.000
1978-05-22;--:--;    317.000
1978-05-23;--:--;    356.000
1978-05-24;--:--;    387.000
1978-05-25;--:--;    385.000
1978-05-26;--:--;    484.000
1978-05-27;--:--;    348.000
1978-05-28;--:--;    365.000
1978-05-29;--:--;    399.000
1978-05-30;--:--;    390.000
1978-05-31;--:--;    385.000
1978-06-01;--:--;    334.000
1978-06-02;--:--;    348.000
1978-06-03;--:--;    396.000
1978-06-04;--:--;    467.000
1978-06-05;--:--;    498.000
1978-06-06;--:--;    489.000
1978-06-07;--:--;    492.000
1978-06-08;--:--;    668.000
1978-06-09;--:--;    492.000
1978-06-10;--:--;    404.000
1978-06-11;--:--;    393.000
1978-06-12;--:--;    419.000
1978-06-13;--:--;    430.000
1978-06-14;--:--;    419.000
1978-06-15;--:--;    396.000
1978-06-16;--:--;    359.000
1978-06-17;--:--;    351.000
1978-06-18;--:--;    356.000
1978-06-19;--:--;    359.000
1978-06-20;--:--;    402.000
1978-06-21;--:--;    427.000
1978-06-22;--:--;    458.000
1978-06-23;--:--;    472.000
1978-06-24;--:--;    489.000
1978-06-25;--:--;    504.000
1978-06-26;--:--;    526.000
1978-06-27;--:--;    557.000
1978-06-28;--:--;    549.000
1978-06-29;--:--;    560.000
1978-06-30;--:--;    532.000
1978-07-01;--:--;    504.000
1978-07-02;--:--;    487.000
1978-07-03;--:--;    523.000
1978-07-04;--:--;    484.000
1978-07-05;--:--;    498.000
1978-07-06;--:--;    764.000
1978-07-07;--:--;    699.000
1978-07-08;--:--;    790.000
1978-07-09;--:--;    614.000
1978-07-10;--:--;    515.000
1978-07-11;--:--;    472.000
1978-07-12;--:--;    433.000
1978-07-13;--:--;    410.000
1978-07-14;--:--;    407.000
1978-07-15;--:--;    382.000
1978-07-16;--:--;    362.000
1978-07-17;--:--;    379.000
1978-07-18;--:--;    365.000
1978-07-19;--:--;    376.000
1978-07-20;--:--;    373.000
1978-07-21;--:--;    430.000
1978-07-22;--:--;    390.000
1978-07-23;--:--;    359.000
1978-07-24;--:--;    354.000
1978-07-25;--:--;    334.000
1978-07-26;--:--;    410.000
1978-07-27;--:--;    444.000
1978-07-28;--:--;    373.000
1978-07-29;--:--;    348.000
1978-07-30;--:--;    387.000
1978-07-31;--:--;    342.000
1978-08-01;--:--;    373.000
1978-08-02;--:--;    345.000
1978-08-03;--:--;    447.000
1978-08-04;--:--;    481.000
1978-08-05;--:--;    368.000
1978-08-06;--:--;    373.000
1978-08-07;--:--;    325.000
1978-08-08;--:--;    303.000
1978-08-09;--:--;    342.000
1978-08-10;--:--;    382.000
1978-08-11;--:--;    484.000
1978-08-12;--:--;    396.000
1978-08-13;--:--;    413.000
1978-08-14;--:--;    291.000
1978-08-15;--:--;    264.000
1978-08-16;--:--;    241.000
1978-08-17;--:--;    236.000
1978-08-18;--:--;    223.000
1978-08-19;--:--;    253.000
1978-08-20;--:--;    314.000
1978-08-21;--:--;    334.000
1978-08-22;--:--;    271.000
1978-08-23;--:--;    266.000
1978-08-24;--:--;    265.000
1978-08-25;--:--;    262.000
1978-08-26;--:--;    257.000
1978-08-27;--:--;    261.000
1978-08-28;--:--;    269.000
1978-08-29;--:--;    252.000
