# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2340500
# River:                 KHIALI RIVER
# Station:               CHAKDARA
# Country:               PK
# Latitude (DD):       34.63
# Longitude (DD):      72.03
# Catchment area (km²):      5776.0
# Altitude (m ASL):        2239.0
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1981
# No. of years:          4
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 48
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;     37.000;     37.742; 100
1978-02-01;--:--;     33.000;     36.607; 100
1978-03-01;--:--;    122.000;    122.194; 100
1978-04-01;--:--;    187.000;    193.433; 100
1978-05-01;--:--;    319.000;    319.968; 100
1978-06-01;--:--;    436.000;    451.533; 100
1978-07-01;--:--;    451.000;    451.871; 100
1978-08-01;--:--;    311.000;    311.839; 100
1978-09-01;--:--;    106.000;    110.500; 100
1978-10-01;--:--;     64.000;     64.290; 100
1978-11-01;--:--;     54.000;     55.900; 100
1978-12-01;--:--;     39.000;     39.839; 100
1979-01-01;--:--;     34.000;     34.387; 100
1979-02-01;--:--;     37.000;     41.000; 100
1979-03-01;--:--;     76.000;     76.000; 100
1979-04-01;--:--;    202.000;    209.300; 100
1979-05-01;--:--;    232.000;    232.935; 100
1979-06-01;--:--;    367.000;    379.700; 100
1979-07-01;--:--;    426.000;    426.097; 100
1979-08-01;--:--;    258.000;    258.290; 100
1979-09-01;--:--;    129.000;    134.233; 100
1979-10-01;--:--;     57.000;     57.548; 100
1979-11-01;--:--;     43.000;     44.800; 100
1979-12-01;--:--;     36.000;     36.871; 100
1980-01-01;--:--;     37.000;     37.194; 100
1980-02-01;--:--;     46.000;     49.828; 100
1980-03-01;--:--;    128.000;    128.226; 100
1980-04-01;--:--;   -999.000;   -999.000;   0
1980-05-01;--:--;   -999.000;   -999.000;   0
1980-06-01;--:--;   -999.000;   -999.000;   0
1980-07-01;--:--;   -999.000;   -999.000;   0
1980-08-01;--:--;   -999.000;   -999.000;   0
1980-09-01;--:--;   -999.000;   -999.000;   0
1980-10-01;--:--;   -999.000;   -999.000;   0
1980-11-01;--:--;   -999.000;   -999.000;   0
1980-12-01;--:--;   -999.000;   -999.000;   0
1981-01-01;--:--;     38.000;     38.484; 100
1981-02-01;--:--;     43.000;     48.500; 100
1981-03-01;--:--;    120.000;    120.258; 100
1981-04-01;--:--;    288.000;    298.267; 100
1981-05-01;--:--;    401.000;    401.677; 100
1981-06-01;--:--;    327.000;    338.133; 100
1981-07-01;--:--;    406.000;    406.903; 100
1981-08-01;--:--;    240.000;    240.903; 100
1981-09-01;--:--;    101.000;    104.933; 100
1981-10-01;--:--;     62.000;     62.290; 100
1981-11-01;--:--;     41.000;     42.600; 100
1981-12-01;--:--;     30.000;     30.710; 100
