# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2340800
# River:                 BARA RIVER
# Station:               JHANSI POST
# Country:               PK
# Latitude (DD):       33.83
# Longitude (DD):      71.35
# Catchment area (km²):      1846.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1982
# No. of years:          5
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 60
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      1.000;      1.065; 100
1978-02-01;--:--;      0.000;      1.036; 100
1978-03-01;--:--;      8.000;      8.226; 100
1978-04-01;--:--;     11.000;     11.833; 100
1978-05-01;--:--;      7.000;      7.355; 100
1978-06-01;--:--;      2.000;      2.633; 100
1978-07-01;--:--;      6.000;      6.290; 100
1978-08-01;--:--;      6.000;      6.226; 100
1978-09-01;--:--;      3.000;      3.767; 100
1978-10-01;--:--;      3.000;      3.355; 100
1978-11-01;--:--;      5.000;      5.167; 100
1978-12-01;--:--;      2.000;      2.000; 100
1979-01-01;--:--;      4.000;      4.613; 100
1979-02-01;--:--;      3.000;      4.179; 100
1979-03-01;--:--;      7.000;      7.032; 100
1979-04-01;--:--;     10.000;     10.500; 100
1979-05-01;--:--;      6.000;      6.839; 100
1979-06-01;--:--;      2.000;      2.633; 100
1979-07-01;--:--;      8.000;      8.032; 100
1979-08-01;--:--;      8.000;      8.903; 100
1979-09-01;--:--;      2.000;      2.967; 100
1979-10-01;--:--;      1.000;      1.742; 100
1979-11-01;--:--;      1.000;      1.533; 100
1979-12-01;--:--;      0.000;      0.000; 100
1980-01-01;--:--;      3.000;      3.258; 100
1980-02-01;--:--;      1.000;      1.138; 100
1980-03-01;--:--;      3.000;      3.935; 100
1980-04-01;--:--;     11.000;     12.300; 100
1980-05-01;--:--;      5.000;      5.032; 100
1980-06-01;--:--;      1.000;      1.333; 100
1980-07-01;--:--;      0.000;      0.710; 100
1980-08-01;--:--;      1.000;      1.097; 100
1980-09-01;--:--;      1.000;      1.100; 100
1980-10-01;--:--;      0.000;      0.742; 100
1980-11-01;--:--;      1.000;      1.167; 100
1980-12-01;--:--;      1.000;      1.645; 100
1981-01-01;--:--;      4.000;      4.516; 100
1981-02-01;--:--;      0.000;      0.036; 100
1981-03-01;--:--;     14.000;     14.613; 100
1981-04-01;--:--;     21.000;     22.033; 100
1981-05-01;--:--;     10.000;     10.806; 100
1981-06-01;--:--;      3.000;      3.267; 100
1981-07-01;--:--;      5.000;      5.742; 100
1981-08-01;--:--;      3.000;      3.645; 100
1981-09-01;--:--;      0.000;      0.800; 100
1981-10-01;--:--;      0.000;      0.065; 100
1981-11-01;--:--;      0.000;      0.000; 100
1981-12-01;--:--;      0.000;      0.000; 100
1982-01-01;--:--;      2.000;      2.032; 100
1982-02-01;--:--;      0.000;      0.000; 100
1982-03-01;--:--;      1.000;      1.467;  97
1982-04-01;--:--;      5.000;      5.333; 100
1982-05-01;--:--;      2.000;      2.677; 100
1982-06-01;--:--;      0.000;      0.467; 100
1982-07-01;--:--;      0.000;      0.355; 100
1982-08-01;--:--;      0.000;      0.452; 100
1982-09-01;--:--;      0.000;      0.067; 100
1982-10-01;--:--;      0.000;      0.516; 100
1982-11-01;--:--;      0.000;      0.200; 100
1982-12-01;--:--;      0.000;      0.065; 100
