# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2341300
# River:                 KURRAM RIVER
# Station:               THAL
# Country:               PK
# Latitude (DD):       33.35
# Longitude (DD):      70.52
# Catchment area (km²):      5543.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1979-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 730
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     28.000
1978-01-02;--:--;     25.000
1978-01-03;--:--;     22.000
1978-01-04;--:--;     19.000
1978-01-05;--:--;     18.000
1978-01-06;--:--;     16.000
1978-01-07;--:--;     14.000
1978-01-08;--:--;     13.000
1978-01-09;--:--;     14.000
1978-01-10;--:--;     15.000
1978-01-11;--:--;     16.000
1978-01-12;--:--;     17.000
1978-01-13;--:--;     18.000
1978-01-14;--:--;     20.000
1978-01-15;--:--;     18.000
1978-01-16;--:--;     17.000
1978-01-17;--:--;     16.000
1978-01-18;--:--;     15.000
1978-01-19;--:--;     14.000
1978-01-20;--:--;     13.000
1978-01-21;--:--;     12.000
1978-01-22;--:--;     13.000
1978-01-23;--:--;     13.000
1978-01-24;--:--;     15.000
1978-01-25;--:--;     15.000
1978-01-26;--:--;     16.000
1978-01-27;--:--;     17.000
1978-01-28;--:--;     19.000
1978-01-29;--:--;     19.000
1978-01-30;--:--;     19.000
1978-01-31;--:--;     19.000
1978-02-01;--:--;     18.000
1978-02-02;--:--;     16.000
1978-02-03;--:--;     15.000
1978-02-04;--:--;     14.000
1978-02-05;--:--;     14.000
1978-02-06;--:--;     14.000
1978-02-07;--:--;     15.000
1978-02-08;--:--;     17.000
1978-02-09;--:--;     17.000
1978-02-10;--:--;     18.000
1978-02-11;--:--;     18.000
1978-02-12;--:--;     17.000
1978-02-13;--:--;     15.000
1978-02-14;--:--;     13.000
1978-02-15;--:--;     12.000
1978-02-16;--:--;     10.000
1978-02-17;--:--;      9.000
1978-02-18;--:--;     10.000
1978-02-19;--:--;     10.000
1978-02-20;--:--;     11.000
1978-02-21;--:--;     12.000
1978-02-22;--:--;     13.000
1978-02-23;--:--;     13.000
1978-02-24;--:--;     14.000
1978-02-25;--:--;     14.000
1978-02-26;--:--;     12.000
1978-02-27;--:--;     11.000
1978-02-28;--:--;     12.000
1978-03-01;--:--;     13.000
1978-03-02;--:--;     15.000
1978-03-03;--:--;     16.000
1978-03-04;--:--;     17.000
1978-03-05;--:--;     19.000
1978-03-06;--:--;     20.000
1978-03-07;--:--;     21.000
1978-03-08;--:--;     20.000
1978-03-09;--:--;     21.000
1978-03-10;--:--;     22.000
1978-03-11;--:--;     22.000
1978-03-12;--:--;     22.000
1978-03-13;--:--;     20.000
1978-03-14;--:--;     19.000
1978-03-15;--:--;     20.000
1978-03-16;--:--;     23.000
1978-03-17;--:--;     32.000
1978-03-18;--:--;     34.000
1978-03-19;--:--;     31.000
1978-03-20;--:--;     27.000
1978-03-21;--:--;     25.000
1978-03-22;--:--;     24.000
1978-03-23;--:--;     22.000
1978-03-24;--:--;     21.000
1978-03-25;--:--;     21.000
1978-03-26;--:--;     25.000
1978-03-27;--:--;     27.000
1978-03-28;--:--;     28.000
1978-03-29;--:--;     29.000
1978-03-30;--:--;     26.000
1978-03-31;--:--;     24.000
1978-04-01;--:--;     22.000
1978-04-02;--:--;     21.000
1978-04-03;--:--;     19.000
1978-04-04;--:--;     17.000
1978-04-05;--:--;     16.000
1978-04-06;--:--;     15.000
1978-04-07;--:--;     14.000
1978-04-08;--:--;     14.000
1978-04-09;--:--;     17.000
1978-04-10;--:--;     22.000
1978-04-11;--:--;     28.000
