# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-21
#
# GRDC-No.:              2341700
# River:                 TOCHI RIVER
# Station:               TANGI POST
# Country:               PK
# Latitude (DD):       32.921239
# Longitude (DD):      70.348953
# Catchment area (km²):      5128.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-02 - 1980-12
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1052
# DATA
YYYY-MM-DD;hh:mm; Value
1978-02-14;--:--;      3.000
1978-02-15;--:--;      3.000
1978-02-16;--:--;      5.000
1978-02-17;--:--;      5.000
1978-02-18;--:--;      3.000
1978-02-19;--:--;      3.000
1978-02-20;--:--;      2.000
1978-02-21;--:--;      2.000
1978-02-22;--:--;      0.000
1978-02-23;--:--;      0.000
1978-02-24;--:--;      0.000
1978-02-25;--:--;      0.000
1978-02-26;--:--;      3.000
1978-02-27;--:--;      8.000
1978-02-28;--:--;      6.000
1978-03-01;--:--;      5.000
1978-03-02;--:--;      5.000
1978-03-03;--:--;     13.000
1978-03-04;--:--;      8.000
1978-03-05;--:--;      6.000
1978-03-06;--:--;      5.000
1978-03-07;--:--;      1.000
1978-03-08;--:--;      0.000
1978-03-09;--:--;      0.000
1978-03-10;--:--;      0.000
1978-03-11;--:--;      0.000
1978-03-12;--:--;      0.000
1978-03-13;--:--;      0.000
1978-03-14;--:--;      0.000
1978-03-15;--:--;      0.000
1978-03-16;--:--;      0.000
1978-03-17;--:--;      0.000
1978-03-18;--:--;      0.000
1978-03-19;--:--;      3.000
1978-03-20;--:--;      2.000
1978-03-21;--:--;      2.000
1978-03-22;--:--;      2.000
1978-03-23;--:--;      2.000
1978-03-24;--:--;     10.000
1978-03-25;--:--;     10.000
1978-03-26;--:--;      8.000
1978-03-27;--:--;      5.000
1978-03-28;--:--;      3.000
1978-03-29;--:--;      0.000
1978-03-30;--:--;      0.000
1978-03-31;--:--;      1.000
1978-04-01;--:--;      0.000
1978-04-02;--:--;      3.000
1978-04-03;--:--;      4.000
1978-04-04;--:--;      3.000
1978-04-05;--:--;      2.000
1978-04-06;--:--;      2.000
1978-04-07;--:--;      2.000
1978-04-08;--:--;      2.000
1978-04-09;--:--;      2.000
1978-04-10;--:--;      2.000
1978-04-11;--:--;      2.000
1978-04-12;--:--;      3.000
1978-04-13;--:--;      3.000
1978-04-14;--:--;      2.000
1978-04-15;--:--;      1.000
1978-04-16;--:--;      1.000
1978-04-17;--:--;      2.000
1978-04-18;--:--;      2.000
1978-04-19;--:--;      2.000
1978-04-20;--:--;      2.000
1978-04-21;--:--;      4.000
1978-04-22;--:--;      5.000
1978-04-23;--:--;      1.000
1978-04-24;--:--;      1.000
1978-04-25;--:--;      1.000
1978-04-26;--:--;      2.000
1978-04-27;--:--;      3.000
1978-04-28;--:--;      2.000
1978-04-29;--:--;      2.000
1978-04-30;--:--;      2.000
1978-05-01;--:--;      1.000
1978-05-02;--:--;      2.000
1978-05-03;--:--;      1.000
1978-05-04;--:--;      1.000
1978-05-05;--:--;      1.000
1978-05-06;--:--;      0.000
1978-05-07;--:--;      0.000
1978-05-08;--:--;      0.000
1978-05-09;--:--;      0.000
1978-05-10;--:--;      2.000
1978-05-11;--:--;      5.000
1978-05-12;--:--;      1.000
1978-05-13;--:--;      2.000
1978-05-14;--:--;      0.000
1978-05-15;--:--;      0.000
1978-05-16;--:--;      0.000
1978-05-17;--:--;      0.000
1978-05-18;--:--;      0.000
1978-05-19;--:--;      0.000
1978-05-20;--:--;      0.000
1978-05-21;--:--;      0.000
1978-05-22;--:--;      0.000
1978-05-23;--:--;      0.000
1978-05-24;--:--;      0.000
1978-05-25;--:--;      0.000
1978-05-26;--:--;      0.000
1978-05-27;--:--;      0.000
1978-05-28;--:--;      0.000
1978-05-29;--:--;      5.000
1978-05-30;--:--;      0.000
1978-05-31;--:--;      0.000
1978-06-01;--:--;      0.000
1978-06-02;--:--;      0.000
1978-06-03;--:--;      0.000
1978-06-04;--:--;      0.000
1978-06-05;--:--;      0.000
1978-06-06;--:--;      0.000
1978-06-07;--:--;      1.000
1978-06-08;--:--;      0.000
1978-06-09;--:--;      0.000
1978-06-10;--:--;      1.000
1978-06-11;--:--;      1.000
1978-06-12;--:--;      1.000
1978-06-13;--:--;      1.000
1978-06-14;--:--;      1.000
1978-06-15;--:--;      2.000
1978-06-16;--:--;      2.000
1978-06-17;--:--;      2.000
1978-06-18;--:--;      2.000
1978-06-19;--:--;      1.000
1978-06-20;--:--;      1.000
1978-06-21;--:--;      1.000
1978-06-22;--:--;      1.000
1978-06-23;--:--;      1.000
1978-06-24;--:--;      1.000
1978-06-25;--:--;      1.000
1978-06-26;--:--;      1.000
1978-06-27;--:--;      0.000
1978-06-28;--:--;      0.000
1978-06-29;--:--;      0.000
1978-06-30;--:--;      0.000
1978-07-01;--:--;      0.000
1978-07-02;--:--;      0.000
1978-07-03;--:--;      0.000
1978-07-04;--:--;      4.000
1978-07-05;--:--;      1.000
1978-07-06;--:--;    275.000
1978-07-07;--:--;    105.000
1978-07-08;--:--;    156.000
1978-07-09;--:--;     32.000
1978-07-10;--:--;    106.000
1978-07-11;--:--;     27.000
1978-07-12;--:--;     18.000
1978-07-13;--:--;     19.000
1978-07-14;--:--;     44.000
1978-07-15;--:--;     27.000
1978-07-16;--:--;     10.000
1978-07-17;--:--;     11.000
1978-07-18;--:--;      8.000
1978-07-19;--:--;      7.000
1978-07-20;--:--;      6.000
1978-07-21;--:--;     36.000
1978-07-22;--:--;     59.000
1978-07-23;--:--;     29.000
1978-07-24;--:--;      8.000
1978-07-25;--:--;      4.000
1978-07-26;--:--;      4.000
1978-07-27;--:--;      5.000
1978-07-28;--:--;     10.000
1978-07-29;--:--;      3.000
1978-07-30;--:--;      4.000
1978-07-31;--:--;      2.000
1978-08-01;--:--;      1.000
1978-08-02;--:--;      4.000
1978-08-03;--:--;     82.000
1978-08-04;--:--;      5.000
1978-08-05;--:--;      4.000
1978-08-06;--:--;      3.000
1978-08-07;--:--;      3.000
1978-08-08;--:--;      1.000
1978-08-09;--:--;      0.000
1978-08-10;--:--;      0.000
1978-08-11;--:--;      8.000
1978-08-12;--:--;    168.000
1978-08-13;--:--;      8.000
1978-08-14;--:--;     14.000
1978-08-15;--:--;      4.000
1978-08-16;--:--;      2.000
1978-08-17;--:--;      1.000
1978-08-18;--:--;      1.000
1978-08-19;--:--;    250.000
1978-08-20;--:--;    258.000
1978-08-21;--:--;     23.000
1978-08-22;--:--;     15.000
1978-08-23;--:--;      7.000
1978-08-24;--:--;      2.000
1978-08-25;--:--;      1.000
1978-08-26;--:--;      1.000
1978-08-27;--:--;      1.000
1978-08-28;--:--;     28.000
1978-08-29;--:--;      5.000
1978-08-30;--:--;      5.000
1978-08-31;--:--;      7.000
1978-09-01;--:--;      3.000
1978-09-02;--:--;      1.000
1978-09-03;--:--;      1.000
1978-09-04;--:--;      0.000
1978-09-05;--:--;      0.000
1978-09-06;--:--;      0.000
1978-09-07;--:--;      0.000
1978-09-08;--:--;      0.000
1978-09-09;--:--;      0.000
1978-09-10;--:--;      0.000
1978-09-11;--:--;      0.000
1978-09-12;--:--;      0.000
1978-09-13;--:--;      0.000
1978-09-14;--:--;      0.000
1978-09-15;--:--;      0.000
1978-09-16;--:--;      0.000
1978-09-17;--:--;      0.000
1978-09-18;--:--;      0.000
1978-09-19;--:--;      0.000
1978-09-20;--:--;      0.000
1978-09-21;--:--;      0.000
1978-09-22;--:--;      0.000
1978-09-23;--:--;      0.000
1978-09-24;--:--;      0.000
1978-09-25;--:--;      1.000
1978-09-26;--:--;      0.000
1978-09-27;--:--;      0.000
1978-09-28;--:--;      0.000
1978-09-29;--:--;      0.000
1978-09-30;--:--;      1.000
1978-10-01;--:--;      1.000
1978-10-02;--:--;      1.000
1978-10-03;--:--;      1.000
1978-10-04;--:--;      1.000
1978-10-05;--:--;      2.000
1978-10-06;--:--;      1.000
1978-10-07;--:--;      1.000
1978-10-08;--:--;      2.000
1978-10-09;--:--;      2.000
1978-10-10;--:--;      2.000
1978-10-11;--:--;      1.000
1978-10-12;--:--;      1.000
1978-10-13;--:--;      1.000
1978-10-14;--:--;      1.000
1978-10-15;--:--;      1.000
1978-10-16;--:--;      1.000
1978-10-17;--:--;      1.000
1978-10-18;--:--;      1.000
1978-10-19;--:--;      1.000
1978-10-20;--:--;      1.000
1978-10-21;--:--;      1.000
1978-10-22;--:--;      1.000
1978-10-23;--:--;      1.000
1978-10-24;--:--;      1.000
1978-10-25;--:--;      1.000
1978-10-26;--:--;      1.000
1978-10-27;--:--;      1.000
1978-10-28;--:--;      1.000
1978-10-29;--:--;      1.000
1978-10-30;--:--;      1.000
1978-10-31;--:--;      1.000
1978-11-01;--:--;      1.000
1978-11-02;--:--;      1.000
1978-11-03;--:--;      1.000
1978-11-04;--:--;      1.000
1978-11-05;--:--;      2.000
1978-11-06;--:--;      5.000
1978-11-07;--:--;      3.000
1978-11-08;--:--;      2.000
1978-11-09;--:--;      1.000
1978-11-10;--:--;      2.000
1978-11-11;--:--;      2.000
1978-11-12;--:--;      2.000
1978-11-13;--:--;      2.000
1978-11-14;--:--;      2.000
1978-11-15;--:--;      2.000
1978-11-16;--:--;      1.000
1978-11-17;--:--;      1.000
1978-11-18;--:--;      1.000
1978-11-19;--:--;      1.000
1978-11-20;--:--;      1.000
1978-11-21;--:--;      1.000
1978-11-22;--:--;      1.000
1978-11-23;--:--;      1.000
1978-11-24;--:--;      1.000
1978-11-25;--:--;      1.000
1978-11-26;--:--;      1.000
1978-11-27;--:--;      1.000
1978-11-28;--:--;      1.000
1978-11-29;--:--;      1.000
1978-11-30;--:--;      1.000
1978-12-01;--:--;      2.000
1978-12-02;--:--;      2.000
1978-12-03;--:--;      2.000
1978-12-04;--:--;      2.000
1978-12-05;--:--;      2.000
1978-12-06;--:--;      2.000
1978-12-07;--:--;      2.000
1978-12-08;--:--;      2.000
1978-12-09;--:--;      2.000
1978-12-10;--:--;      2.000
1978-12-11;--:--;      2.000
1978-12-12;--:--;      2.000
1978-12-13;--:--;      2.000
1978-12-14;--:--;      2.000
1978-12-15;--:--;      2.000
1978-12-16;--:--;      2.000
1978-12-17;--:--;      2.000
1978-12-18;--:--;      3.000
1978-12-19;--:--;      2.000
1978-12-20;--:--;      2.000
1978-12-21;--:--;      2.000
1978-12-22;--:--;      2.000
1978-12-23;--:--;      2.000
1978-12-24;--:--;      1.000
1978-12-25;--:--;      2.000
1978-12-26;--:--;      1.000
1978-12-27;--:--;      2.000
1978-12-28;--:--;      2.000
1978-12-29;--:--;      2.000
1978-12-30;--:--;      2.000
1978-12-31;--:--;      2.000
1979-01-01;--:--;      2.000
1979-01-02;--:--;      2.000
1979-01-03;--:--;      2.000
1979-01-04;--:--;      2.000
1979-01-05;--:--;      2.000
1979-01-06;--:--;      2.000
1979-01-07;--:--;      2.000
1979-01-08;--:--;      2.000
1979-01-09;--:--;      2.000
1979-01-10;--:--;      2.000
1979-01-11;--:--;      2.000
1979-01-12;--:--;      3.000
1979-01-13;--:--;      8.000
1979-01-14;--:--;      4.000
1979-01-15;--:--;      3.000
1979-01-16;--:--;      3.000
1979-01-17;--:--;      3.000
1979-01-18;--:--;      3.000
1979-01-19;--:--;      3.000
1979-01-20;--:--;      3.000
1979-01-21;--:--;      3.000
1979-01-22;--:--;      2.000
1979-01-23;--:--;      2.000
1979-01-24;--:--;      2.000
1979-01-25;--:--;      2.000
1979-01-26;--:--;      2.000
1979-01-27;--:--;      2.000
1979-01-28;--:--;      2.000
1979-01-29;--:--;      2.000
1979-01-30;--:--;      2.000
1979-01-31;--:--;      2.000
1979-02-01;--:--;      2.000
1979-02-02;--:--;      2.000
1979-02-03;--:--;      2.000
1979-02-04;--:--;      2.000
1979-02-05;--:--;      2.000
1979-02-06;--:--;      2.000
1979-02-07;--:--;      2.000
1979-02-08;--:--;      2.000
1979-02-09;--:--;      2.000
1979-02-10;--:--;      1.000
1979-02-11;--:--;      1.000
1979-02-12;--:--;      6.000
1979-02-13;--:--;      7.000
1979-02-14;--:--;      4.000
1979-02-15;--:--;      3.000
1979-02-16;--:--;      3.000
1979-02-17;--:--;      3.000
1979-02-18;--:--;     10.000
1979-02-19;--:--;     14.000
1979-02-20;--:--;      6.000
1979-02-21;--:--;      5.000
1979-02-22;--:--;      5.000
1979-02-23;--:--;      4.000
1979-02-24;--:--;      4.000
1979-02-25;--:--;      4.000
1979-02-26;--:--;      4.000
1979-02-27;--:--;      4.000
1979-02-28;--:--;      4.000
1979-03-01;--:--;      4.000
1979-03-02;--:--;      5.000
1979-03-03;--:--;      5.000
1979-03-04;--:--;      5.000
1979-03-05;--:--;      5.000
1979-03-06;--:--;      6.000
1979-03-07;--:--;      5.000
1979-03-08;--:--;      5.000
1979-03-09;--:--;      4.000
1979-03-10;--:--;      4.000
1979-03-11;--:--;      3.000
1979-03-12;--:--;      3.000
1979-03-13;--:--;      3.000
1979-03-14;--:--;      3.000
1979-03-15;--:--;      3.000
1979-03-16;--:--;      3.000
1979-03-17;--:--;      4.000
1979-03-18;--:--;      6.000
1979-03-19;--:--;      7.000
1979-03-20;--:--;      5.000
1979-03-21;--:--;      4.000
1979-03-22;--:--;      4.000
1979-03-23;--:--;      4.000
1979-03-24;--:--;      4.000
1979-03-25;--:--;      3.000
1979-03-26;--:--;      3.000
1979-03-27;--:--;      3.000
1979-03-28;--:--;      3.000
1979-03-29;--:--;      3.000
1979-03-30;--:--;     76.000
1979-03-31;--:--;     35.000
1979-04-01;--:--;     35.000
1979-04-02;--:--;     18.000
1979-04-03;--:--;     16.000
1979-04-04;--:--;     12.000
1979-04-05;--:--;     10.000
1979-04-06;--:--;      8.000
1979-04-07;--:--;      6.000
1979-04-08;--:--;      6.000
1979-04-09;--:--;      4.000
1979-04-10;--:--;      4.000
1979-04-11;--:--;      4.000
1979-04-12;--:--;      2.000
1979-04-13;--:--;      3.000
1979-04-14;--:--;      3.000
1979-04-15;--:--;      6.000
1979-04-16;--:--;      4.000
1979-04-17;--:--;      2.000
1979-04-18;--:--;      2.000
1979-04-19;--:--;      2.000
1979-04-20;--:--;      1.000
1979-04-21;--:--;      3.000
1979-04-22;--:--;      1.000
1979-04-23;--:--;      1.000
1979-04-24;--:--;      4.000
1979-04-25;--:--;      1.000
1979-04-26;--:--;      0.000
1979-04-27;--:--;      0.000
1979-04-28;--:--;      0.000
1979-04-29;--:--;      0.000
1979-04-30;--:--;      3.000
1979-05-01;--:--;     12.000
1979-05-02;--:--;      4.000
1979-05-03;--:--;      4.000
1979-05-04;--:--;      3.000
1979-05-05;--:--;      2.000
1979-05-06;--:--;      2.000
1979-05-07;--:--;      1.000
1979-05-08;--:--;      1.000
1979-05-09;--:--;     15.000
1979-05-10;--:--;     17.000
1979-05-11;--:--;     11.000
1979-05-12;--:--;      3.000
1979-05-13;--:--;      3.000
1979-05-14;--:--;      3.000
1979-05-15;--:--;      2.000
1979-05-16;--:--;      2.000
1979-05-17;--:--;      1.000
1979-05-18;--:--;      1.000
1979-05-19;--:--;      1.000
1979-05-20;--:--;      0.000
1979-05-21;--:--;      0.000
1979-05-22;--:--;      1.000
1979-05-23;--:--;      1.000
1979-05-24;--:--;      1.000
1979-05-25;--:--;      1.000
1979-05-26;--:--;      1.000
1979-05-27;--:--;      1.000
1979-05-28;--:--;      1.000
1979-05-29;--:--;      1.000
1979-05-30;--:--;      1.000
1979-05-31;--:--;      1.000
1979-06-01;--:--;      1.000
1979-06-02;--:--;      1.000
1979-06-03;--:--;      1.000
1979-06-04;--:--;      0.000
1979-06-05;--:--;      1.000
1979-06-06;--:--;      1.000
1979-06-07;--:--;      1.000
1979-06-08;--:--;      0.000
1979-06-09;--:--;      0.000
1979-06-10;--:--;      0.000
1979-06-11;--:--;      0.000
1979-06-12;--:--;      0.000
1979-06-13;--:--;      0.000
1979-06-14;--:--;      0.000
1979-06-15;--:--;      0.000
1979-06-16;--:--;      0.000
1979-06-17;--:--;      0.000
