# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2341700
# River:                 TOCHI RIVER
# Station:               TANGI POST
# Country:               PK
# Latitude (DD):       32.921239
# Longitude (DD):      70.348953
# Catchment area (km²):      5128.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2335950
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1980
# No. of years:          3
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 35
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-02-01;--:--;      2.000;   -999.000;  54
1978-03-01;--:--;      2.000;      2.935; 100
1978-04-01;--:--;      2.000;      2.167; 100
1978-05-01;--:--;      0.000;      0.677; 100
1978-06-01;--:--;      0.000;      0.733; 100
1978-07-01;--:--;     32.000;     32.903; 100
1978-08-01;--:--;     29.000;     29.419; 100
1978-09-01;--:--;      0.000;      0.233; 100
1978-10-01;--:--;      1.000;      1.129; 100
1978-11-01;--:--;      1.000;      1.467; 100
1978-12-01;--:--;      1.000;      1.968; 100
1979-01-01;--:--;      2.000;      2.516; 100
1979-02-01;--:--;      3.000;      3.929; 100
1979-03-01;--:--;      7.000;      7.419; 100
1979-04-01;--:--;      5.000;      5.367; 100
1979-05-01;--:--;      3.000;      3.161; 100
1979-06-01;--:--;      0.000;      0.367; 100
1979-07-01;--:--;      0.000;      0.806; 100
1979-08-01;--:--;     19.000;     19.677; 100
1979-09-01;--:--;      2.000;      2.300; 100
1979-10-01;--:--;      2.000;      2.484; 100
1979-11-01;--:--;      1.000;      1.400; 100
1979-12-01;--:--;      2.000;      2.806; 100
1980-01-01;--:--;      4.000;      4.097; 100
1980-02-01;--:--;      4.000;      4.517; 100
1980-03-01;--:--;     29.000;     29.226; 100
1980-04-01;--:--;      7.000;      8.233; 100
1980-05-01;--:--;      1.000;      1.452; 100
1980-06-01;--:--;      1.000;      1.800; 100
1980-07-01;--:--;      2.000;      2.355; 100
1980-08-01;--:--;      7.000;      7.484; 100
1980-09-01;--:--;      0.000;      0.567; 100
1980-10-01;--:--;      0.000;      0.677; 100
1980-11-01;--:--;      1.000;      2.000; 100
1980-12-01;--:--;      3.000;      3.258; 100
