# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2836100
# River:                 JHELUM RIVER
# Station:               BARAMULA BR.
# Country:               IN
# Latitude (DD):       34.20833333
# Longitude (DD):      74.33638889
# Catchment area (km²):      12494.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2336350
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 1979
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;    108.000;   -999.000;   0
1968-02-01;--:--;    114.000;   -999.000;   0
1968-03-01;--:--;    353.000;   -999.000;   0
1968-04-01;--:--;    502.000;   -999.000;   0
1968-05-01;--:--;    517.000;   -999.000;   0
1968-06-01;--:--;    553.000;   -999.000;   0
1968-07-01;--:--;    428.000;   -999.000;   0
1968-08-01;--:--;    319.000;   -999.000;   0
1968-09-01;--:--;    139.000;   -999.000;   0
1968-10-01;--:--;    107.000;   -999.000;   0
1968-11-01;--:--;    103.000;   -999.000;   0
1968-12-01;--:--;     87.000;   -999.000;   0
1969-01-01;--:--;     83.000;   -999.000;   0
1969-02-01;--:--;    172.000;   -999.000;   0
1969-03-01;--:--;    394.000;   -999.000;   0
1969-04-01;--:--;    592.000;   -999.000;   0
1969-05-01;--:--;    767.000;   -999.000;   0
1969-06-01;--:--;    625.000;   -999.000;   0
1969-07-01;--:--;    463.000;   -999.000;   0
1969-08-01;--:--;    294.000;   -999.000;   0
1969-09-01;--:--;    134.000;   -999.000;   0
1969-10-01;--:--;    112.000;   -999.000;   0
1969-11-01;--:--;    112.000;   -999.000;   0
1969-12-01;--:--;     67.000;   -999.000;   0
1970-01-01;--:--;     63.000;   -999.000;   0
1970-02-01;--:--;     66.000;   -999.000;   0
1970-03-01;--:--;    133.000;   -999.000;   0
1970-04-01;--:--;    236.000;   -999.000;   0
1970-05-01;--:--;    270.000;   -999.000;   0
1970-06-01;--:--;    191.000;   -999.000;   0
1970-07-01;--:--;    167.000;   -999.000;   0
1970-08-01;--:--;    129.000;   -999.000;   0
1970-09-01;--:--;    177.000;   -999.000;   0
1970-10-01;--:--;    103.000;   -999.000;   0
1970-11-01;--:--;     75.000;   -999.000;   0
1970-12-01;--:--;     51.000;   -999.000;   0
1971-01-01;--:--;     42.000;   -999.000;   0
1971-02-01;--:--;     48.000;   -999.000;   0
1971-03-01;--:--;     98.000;   -999.000;   0
1971-04-01;--:--;    183.000;   -999.000;   0
1971-05-01;--:--;    193.000;   -999.000;   0
1971-06-01;--:--;    164.000;   -999.000;   0
1971-07-01;--:--;    114.000;   -999.000;   0
1971-08-01;--:--;    107.000;   -999.000;   0
1971-09-01;--:--;     86.000;   -999.000;   0
1971-10-01;--:--;     43.000;   -999.000;   0
1971-11-01;--:--;     40.000;   -999.000;   0
1971-12-01;--:--;     37.000;   -999.000;   0
1972-01-01;--:--;     36.000;   -999.000;   0
1972-02-01;--:--;     70.000;   -999.000;   0
1972-03-01;--:--;    208.000;   -999.000;   0
1972-04-01;--:--;    342.000;   -999.000;   0
1972-05-01;--:--;    421.000;   -999.000;   0
1972-06-01;--:--;    475.000;   -999.000;   0
1972-07-01;--:--;    385.000;   -999.000;   0
1972-08-01;--:--;    196.000;   -999.000;   0
1972-09-01;--:--;    245.000;   -999.000;   0
1972-10-01;--:--;    162.000;   -999.000;   0
1972-11-01;--:--;    152.000;   -999.000;   0
1972-12-01;--:--;    118.000;   -999.000;   0
1973-01-01;--:--;    171.000;   -999.000;   0
1973-02-01;--:--;    205.000;   -999.000;   0
1973-03-01;--:--;    377.000;   -999.000;   0
1973-04-01;--:--;    601.000;   -999.000;   0
1973-05-01;--:--;    616.000;   -999.000;   0
1973-06-01;--:--;    493.000;   -999.000;   0
1973-07-01;--:--;    378.000;   -999.000;   0
1973-08-01;--:--;    565.000;   -999.000;   0
1973-09-01;--:--;    290.000;   -999.000;   0
1973-10-01;--:--;    105.000;   -999.000;   0
1973-11-01;--:--;     55.000;   -999.000;   0
1973-12-01;--:--;     49.000;   -999.000;   0
1974-01-01;--:--;     50.000;   -999.000;   0
1974-02-01;--:--;     94.000;   -999.000;   0
1974-03-01;--:--;    255.000;   -999.000;   0
1974-04-01;--:--;    293.000;   -999.000;   0
1974-05-01;--:--;    272.000;   -999.000;   0
1974-06-01;--:--;    305.000;   -999.000;   0
1974-07-01;--:--;    343.000;   -999.000;   0
1974-08-01;--:--;    168.000;   -999.000;   0
1974-09-01;--:--;     62.000;   -999.000;   0
1974-10-01;--:--;     51.000;   -999.000;   0
1974-11-01;--:--;     37.000;   -999.000;   0
1974-12-01;--:--;     45.000;   -999.000;   0
1975-01-01;--:--;   -999.000;   -999.000;   0
1975-02-01;--:--;   -999.000;   -999.000;   0
1975-03-01;--:--;   -999.000;   -999.000;   0
1975-04-01;--:--;   -999.000;   -999.000;   0
1975-05-01;--:--;   -999.000;   -999.000;   0
1975-06-01;--:--;   -999.000;   -999.000;   0
1975-07-01;--:--;   -999.000;   -999.000;   0
1975-08-01;--:--;   -999.000;   -999.000;   0
1975-09-01;--:--;   -999.000;   -999.000;   0
1975-10-01;--:--;   -999.000;   -999.000;   0
1975-11-01;--:--;   -999.000;   -999.000;   0
1975-12-01;--:--;   -999.000;   -999.000;   0
1976-01-01;--:--;     58.000;   -999.000;   0
1976-02-01;--:--;    151.000;   -999.000;   0
1976-03-01;--:--;    246.000;   -999.000;   0
1976-04-01;--:--;    380.000;   -999.000;   0
1976-05-01;--:--;    499.000;   -999.000;   0
1976-06-01;--:--;    422.000;   -999.000;   0
1976-07-01;--:--;    289.000;   -999.000;   0
1976-08-01;--:--;    671.000;   -999.000;   0
1976-09-01;--:--;    330.000;   -999.000;   0
1976-10-01;--:--;    108.000;   -999.000;   0
1976-11-01;--:--;     74.000;   -999.000;   0
1976-12-01;--:--;     60.000;   -999.000;   0
1977-01-01;--:--;     69.000;   -999.000;   0
1977-02-01;--:--;    101.000;   -999.000;   0
1977-03-01;--:--;    126.000;   -999.000;   0
1977-04-01;--:--;    262.000;   -999.000;   0
1977-05-01;--:--;    391.000;   -999.000;   0
1977-06-01;--:--;    332.000;   -999.000;   0
1977-07-01;--:--;    337.000;   -999.000;   0
1977-08-01;--:--;    202.000;   -999.000;   0
1977-09-01;--:--;    120.000;   -999.000;   0
1977-10-01;--:--;     95.000;   -999.000;   0
1977-11-01;--:--;     94.000;   -999.000;   0
1977-12-01;--:--;     73.000;   -999.000;   0
1978-01-01;--:--;     73.000;   -999.000;   0
1978-02-01;--:--;     77.000;   -999.000;   0
1978-03-01;--:--;    235.000;   -999.000;   0
1978-04-01;--:--;    401.000;   -999.000;   0
1978-05-01;--:--;    538.000;   -999.000;   0
1978-06-01;--:--;    377.000;   -999.000;   0
1978-07-01;--:--;    339.000;   -999.000;   0
1978-08-01;--:--;    311.000;   -999.000;   0
1978-09-01;--:--;    132.000;   -999.000;   0
1978-10-01;--:--;     78.000;   -999.000;   0
1978-11-01;--:--;     81.000;   -999.000;   0
1978-12-01;--:--;     57.000;   -999.000;   0
1979-01-01;--:--;     45.000;   -999.000;   0
1979-02-01;--:--;     68.000;   -999.000;   0
1979-03-01;--:--;    230.000;   -999.000;   0
1979-04-01;--:--;    373.000;   -999.000;   0
1979-05-01;--:--;    460.000;   -999.000;   0
1979-06-01;--:--;    382.000;   -999.000;   0
1979-07-01;--:--;    301.000;   -999.000;   0
1979-08-01;--:--;    151.000;   -999.000;   0
1979-09-01;--:--;    104.000;   -999.000;   0
1979-10-01;--:--;     93.000;   -999.000;   0
1979-11-01;--:--;     81.000;   -999.000;   0
1979-12-01;--:--;     96.000;   -999.000;   0
