# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2836500
# River:                 JHELUM RIVER
# Station:               MUNSHIBAG
# Country:               IN
# Latitude (DD):       34.06944444
# Longitude (DD):      74.83861111
# Catchment area (km²):      4324.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2836100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 1979
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;     48.000;   -999.000;   0
1968-02-01;--:--;     37.000;   -999.000;   0
1968-03-01;--:--;   -999.000;   -999.000;   0
1968-04-01;--:--;    211.000;   -999.000;   0
1968-05-01;--:--;    166.000;   -999.000;   0
1968-06-01;--:--;    274.000;   -999.000;   0
1968-07-01;--:--;    199.000;   -999.000;   0
1968-08-01;--:--;    171.000;   -999.000;   0
1968-09-01;--:--;     57.000;   -999.000;   0
1968-10-01;--:--;     76.000;   -999.000;   0
1968-11-01;--:--;     54.000;   -999.000;   0
1968-12-01;--:--;     40.000;   -999.000;   0
1969-01-01;--:--;   -999.000;   -999.000;   0
1969-02-01;--:--;   -999.000;   -999.000;   0
1969-03-01;--:--;    175.000;   -999.000;   0
1969-04-01;--:--;    212.000;   -999.000;   0
1969-05-01;--:--;    378.000;   -999.000;   0
1969-06-01;--:--;    278.000;   -999.000;   0
1969-07-01;--:--;    231.000;   -999.000;   0
1969-08-01;--:--;    124.000;   -999.000;   0
1969-09-01;--:--;    262.000;   -999.000;   0
1969-10-01;--:--;     60.000;   -999.000;   0
1969-11-01;--:--;     56.000;   -999.000;   0
1969-12-01;--:--;     47.000;   -999.000;   0
1970-01-01;--:--;     42.000;   -999.000;   0
1970-02-01;--:--;     39.000;   -999.000;   0
1970-03-01;--:--;     50.000;   -999.000;   0
1970-04-01;--:--;     99.000;   -999.000;   0
1970-05-01;--:--;    106.000;   -999.000;   0
1970-06-01;--:--;    131.000;   -999.000;   0
1970-07-01;--:--;     78.000;   -999.000;   0
1970-08-01;--:--;     99.000;   -999.000;   0
1970-09-01;--:--;     81.000;   -999.000;   0
1970-10-01;--:--;     53.000;   -999.000;   0
1970-11-01;--:--;     49.000;   -999.000;   0
1970-12-01;--:--;   -999.000;   -999.000;   0
1971-01-01;--:--;   -999.000;   -999.000;   0
1971-02-01;--:--;   -999.000;   -999.000;   0
1971-03-01;--:--;   -999.000;   -999.000;   0
1971-04-01;--:--;     68.000;   -999.000;   0
1971-05-01;--:--;     78.000;   -999.000;   0
1971-06-01;--:--;     74.000;   -999.000;   0
1971-07-01;--:--;     61.000;   -999.000;   0
1971-08-01;--:--;    107.000;   -999.000;   0
1971-09-01;--:--;     43.000;   -999.000;   0
1971-10-01;--:--;     25.000;   -999.000;   0
1971-11-01;--:--;     25.000;   -999.000;   0
1971-12-01;--:--;     23.000;   -999.000;   0
1972-01-01;--:--;     20.000;   -999.000;   0
1972-02-01;--:--;     26.000;   -999.000;   0
1972-03-01;--:--;   -999.000;   -999.000;   0
1972-04-01;--:--;    156.000;   -999.000;   0
1972-05-01;--:--;    355.000;   -999.000;   0
1972-06-01;--:--;    234.000;   -999.000;   0
1972-07-01;--:--;    356.000;   -999.000;   0
1972-08-01;--:--;    181.000;   -999.000;   0
1972-09-01;--:--;    118.000;   -999.000;   0
1972-10-01;--:--;     91.000;   -999.000;   0
1972-11-01;--:--;     73.000;   -999.000;   0
1972-12-01;--:--;     60.000;   -999.000;   0
1973-01-01;--:--;     58.000;   -999.000;   0
1973-02-01;--:--;     76.000;   -999.000;   0
1973-03-01;--:--;    187.000;   -999.000;   0
1973-04-01;--:--;    335.000;   -999.000;   0
1973-05-01;--:--;    274.000;   -999.000;   0
1973-06-01;--:--;    213.000;   -999.000;   0
1973-07-01;--:--;    205.000;   -999.000;   0
1973-08-01;--:--;    657.000;   -999.000;   0
1973-09-01;--:--;    106.000;   -999.000;   0
1973-10-01;--:--;     63.000;   -999.000;   0
1973-11-01;--:--;     56.000;   -999.000;   0
1973-12-01;--:--;     46.000;   -999.000;   0
1974-01-01;--:--;     47.000;   -999.000;   0
1974-02-01;--:--;     54.000;   -999.000;   0
1974-03-01;--:--;     93.000;   -999.000;   0
1974-04-01;--:--;    137.000;   -999.000;   0
1974-05-01;--:--;    119.000;   -999.000;   0
1974-06-01;--:--;    361.000;   -999.000;   0
1974-07-01;--:--;    131.000;   -999.000;   0
1974-08-01;--:--;     62.000;   -999.000;   0
1974-09-01;--:--;     47.000;   -999.000;   0
1974-10-01;--:--;     35.000;   -999.000;   0
1974-11-01;--:--;     27.000;   -999.000;   0
1974-12-01;--:--;     28.000;   -999.000;   0
1975-01-01;--:--;   -999.000;   -999.000;   0
1975-02-01;--:--;   -999.000;   -999.000;   0
1975-03-01;--:--;   -999.000;   -999.000;   0
1975-04-01;--:--;   -999.000;   -999.000;   0
1975-05-01;--:--;   -999.000;   -999.000;   0
1975-06-01;--:--;   -999.000;   -999.000;   0
1975-07-01;--:--;   -999.000;   -999.000;   0
1975-08-01;--:--;   -999.000;   -999.000;   0
1975-09-01;--:--;   -999.000;   -999.000;   0
1975-10-01;--:--;   -999.000;   -999.000;   0
1975-11-01;--:--;   -999.000;   -999.000;   0
1975-12-01;--:--;   -999.000;   -999.000;   0
1976-01-01;--:--;     48.000;   -999.000;   0
1976-02-01;--:--;     70.000;   -999.000;   0
1976-03-01;--:--;    103.000;   -999.000;   0
1976-04-01;--:--;    139.000;   -999.000;   0
1976-05-01;--:--;    186.000;   -999.000;   0
1976-06-01;--:--;    177.000;   -999.000;   0
1976-07-01;--:--;    132.000;   -999.000;   0
1976-08-01;--:--;    670.000;   -999.000;   0
1976-09-01;--:--;     79.000;   -999.000;   0
1976-10-01;--:--;     63.000;   -999.000;   0
1976-11-01;--:--;     42.000;   -999.000;   0
1976-12-01;--:--;     38.000;   -999.000;   0
1977-01-01;--:--;     44.000;   -999.000;   0
1977-02-01;--:--;     43.000;   -999.000;   0
1977-03-01;--:--;     58.000;   -999.000;   0
