# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2837100
# River:                 CHENAB RIVER
# Station:               AKHNOOR
# Country:               IN
# Latitude (DD):       32.90083333
# Longitude (DD):      74.75888889
# Catchment area (km²):      22681.0
# Altitude (m ASL):        305.0
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 1979
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;    205.000;   -999.000;   0
1968-02-01;--:--;    245.000;   -999.000;   0
1968-03-01;--:--;    411.000;   -999.000;   0
1968-04-01;--:--;    586.000;   -999.000;   0
1968-05-01;--:--;    748.000;   -999.000;   0
1968-06-01;--:--;   1856.000;   -999.000;   0
1968-07-01;--:--;   2172.000;   -999.000;   0
1968-08-01;--:--;   2013.000;   -999.000;   0
1968-09-01;--:--;    911.000;   -999.000;   0
1968-10-01;--:--;    303.000;   -999.000;   0
1968-11-01;--:--;    163.000;   -999.000;   0
1968-12-01;--:--;    134.000;   -999.000;   0
1969-01-01;--:--;    141.000;   -999.000;   0
1969-02-01;--:--;    245.000;   -999.000;   0
1969-03-01;--:--;    404.000;   -999.000;   0
1969-04-01;--:--;    526.000;   -999.000;   0
1969-05-01;--:--;    897.000;   -999.000;   0
1969-06-01;--:--;   1702.000;   -999.000;   0
1969-07-01;--:--;   2393.000;   -999.000;   0
1969-08-01;--:--;   2163.000;   -999.000;   0
1969-09-01;--:--;    844.000;   -999.000;   0
1969-10-01;--:--;    291.000;   -999.000;   0
1969-11-01;--:--;    167.000;   -999.000;   0
1969-12-01;--:--;    119.000;   -999.000;   0
1970-01-01;--:--;    104.000;   -999.000;   0
1970-02-01;--:--;    129.000;   -999.000;   0
1970-03-01;--:--;    182.000;   -999.000;   0
1970-04-01;--:--;    391.000;   -999.000;   0
1970-05-01;--:--;    712.000;   -999.000;   0
1970-06-01;--:--;   1122.000;   -999.000;   0
1970-07-01;--:--;   1515.000;   -999.000;   0
1970-08-01;--:--;   1698.000;   -999.000;   0
1970-09-01;--:--;   1118.000;   -999.000;   0
1970-10-01;--:--;    305.000;   -999.000;   0
1970-11-01;--:--;    168.000;   -999.000;   0
1970-12-01;--:--;    126.000;   -999.000;   0
1971-01-01;--:--;    100.000;   -999.000;   0
1971-02-01;--:--;    109.000;   -999.000;   0
1971-03-01;--:--;    198.000;   -999.000;   0
1971-04-01;--:--;    311.000;   -999.000;   0
1971-05-01;--:--;    469.000;   -999.000;   0
1971-06-01;--:--;   1413.000;   -999.000;   0
1971-07-01;--:--;   1652.000;   -999.000;   0
1971-08-01;--:--;   1951.000;   -999.000;   0
1971-09-01;--:--;    604.000;   -999.000;   0
1971-10-01;--:--;    250.000;   -999.000;   0
1971-11-01;--:--;    152.000;   -999.000;   0
1971-12-01;--:--;    112.000;   -999.000;   0
1972-01-01;--:--;    106.000;   -999.000;   0
1972-02-01;--:--;    213.000;   -999.000;   0
1972-03-01;--:--;    303.000;   -999.000;   0
1972-04-01;--:--;    388.000;   -999.000;   0
1972-05-01;--:--;    826.000;   -999.000;   0
1972-06-01;--:--;   1787.000;   -999.000;   0
1972-07-01;--:--;   1988.000;   -999.000;   0
1972-08-01;--:--;   1557.000;   -999.000;   0
1972-09-01;--:--;    905.000;   -999.000;   0
1972-10-01;--:--;    278.000;   -999.000;   0
1972-11-01;--:--;    205.000;   -999.000;   0
1972-12-01;--:--;    195.000;   -999.000;   0
1973-01-01;--:--;    290.000;   -999.000;   0
1973-02-01;--:--;    327.000;   -999.000;   0
1973-03-01;--:--;    580.000;   -999.000;   0
1973-04-01;--:--;    928.000;   -999.000;   0
1973-05-01;--:--;   1470.000;   -999.000;   0
1973-06-01;--:--;   2890.000;   -999.000;   0
1973-07-01;--:--;   2675.000;   -999.000;   0
1973-08-01;--:--;   2670.000;   -999.000;   0
1973-09-01;--:--;   1228.000;   -999.000;   0
1973-10-01;--:--;    296.000;   -999.000;   0
1973-11-01;--:--;    147.000;   -999.000;   0
1973-12-01;--:--;    123.000;   -999.000;   0
1974-01-01;--:--;    147.000;   -999.000;   0
1974-02-01;--:--;    181.000;   -999.000;   0
1974-03-01;--:--;    292.000;   -999.000;   0
1974-04-01;--:--;    436.000;   -999.000;   0
1974-05-01;--:--;    593.000;   -999.000;   0
1974-06-01;--:--;   1052.000;   -999.000;   0
1974-07-01;--:--;   1776.000;   -999.000;   0
1974-08-01;--:--;   1711.000;   -999.000;   0
1974-09-01;--:--;    711.000;   -999.000;   0
1974-10-01;--:--;    282.000;   -999.000;   0
1974-11-01;--:--;    182.000;   -999.000;   0
1974-12-01;--:--;    168.000;   -999.000;   0
1975-01-01;--:--;   -999.000;   -999.000;   0
1975-02-01;--:--;   -999.000;   -999.000;   0
1975-03-01;--:--;   -999.000;   -999.000;   0
1975-04-01;--:--;   -999.000;   -999.000;   0
1975-05-01;--:--;   -999.000;   -999.000;   0
1975-06-01;--:--;   -999.000;   -999.000;   0
1975-07-01;--:--;   -999.000;   -999.000;   0
1975-08-01;--:--;   -999.000;   -999.000;   0
1975-09-01;--:--;   -999.000;   -999.000;   0
1975-10-01;--:--;   -999.000;   -999.000;   0
1975-11-01;--:--;   -999.000;   -999.000;   0
1975-12-01;--:--;   -999.000;   -999.000;   0
1976-01-01;--:--;    173.000;   -999.000;   0
1976-02-01;--:--;    329.000;   -999.000;   0
1976-03-01;--:--;    422.000;   -999.000;   0
1976-04-01;--:--;    692.000;   -999.000;   0
1976-05-01;--:--;   1070.000;   -999.000;   0
1976-06-01;--:--;   1422.000;   -999.000;   0
1976-07-01;--:--;   2211.000;   -999.000;   0
1976-08-01;--:--;   2454.000;   -999.000;   0
